"","TREE_ID","INVENTORY_ID_IFN2","PLOT_ID.x","TREE_ID_IFN3_2.x","TREE_ID_IFN3.x","TREE_ID_IFN2.x","TREE_ID_compare","expan_IFN2","dbh_IFN2","h_IFN2","g_IFN2","bal_IFN2","circ_normal_IFN2","esbeltez_IFN2","cr_IFN2","lcw_IFN2","hcb_IFN2","hlcw_IFN2","vob_IFN2","vub_IFN2","vbark_IFN2","v_desenrollo.x","v_chapa.x","v_sierra_gruesa_IFN2","v_sierra_IFN2","v_sierra_canter_IFN2","v_poste.x","v_estaca.x","v_trituracion_IFN2","wsw_IFN2","wthickb_IFN2","wb2_7_IFN2","wtbl_IFN2","wr_IFN2","wt_IFN2","sheet_SM4_IFN2","dbh_i_IFN2","h_i_IFN2","dbh","TREE_ID.y","INVENTORY_ID_IFN3","PLOT_ID.y","TREE_ID_IFN3_2.y","TREE_ID_IFN3.y","TREE_ID_IFN2.y","expan_IFN3","dbh_IFN3","h_IFN3","g_IFN3","bal_IFN3","g_ha","circ_normal_IFN3","esbeltez_IFN3","cr_IFN3","lcw_IFN3","hcb_IFN3","hlcw_IFN3","vob_IFN3","vub_IFN3","vbark_IFN3","v_ha","v_desenrollo.y","v_chapa.y","v_sierra_gruesa_IFN3","v_sierra_IFN3","v_sierra_canter_IFN3","v_poste.y","v_estaca.y","v_trituracion_IFN3","wsw_IFN3","wthickb_IFN3","wb2_7_IFN3","wtbl_IFN3","wr_IFN3","wt_IFN3","sheet_SM4_IFN3","dbh_i_IFN3","h_i_IFN3"
"2762","9_1543_7","IFN2","9_1543",NA,NA,7,NA,31.65,17.47,11.19,239.61,3.57,54.87,64.05,0.42,2.96,6.53,7.98,124.87,110.62,14.25,0,0,0,0,0,0,89.43,115.28,52.56,0,8.57,17.65,39.66,118.44,"Nodo 3 - Pies inventariados",4.27,3.19,13.2,"9_1543_18","IFN3","9_1543",18,18,7,31.83,17.09,11.82,229.3,3.52,0.73,53.68,69.17,0.46,2.95,6.36,7.77,126.98,111.83,15.15,4.04,0,0,0,0,0,0,89.81,115.48,53.14,0,7.68,15.78,37.95,114.56,"Nodo 1 - Pies inventariados",3.89,3.82
"2763","9_1543_8","IFN2","9_1543",NA,NA,8,NA,125.89,13.04,9.65,133.46,31.74,40.95,74.04,0.36,2.18,6.2,7.39,62.35,53.15,9.2,0,0,0,0,0,0,49.02,55.24,25.26,0,4.39,11,22.09,62.73,"Nodo 3 - Pies inventariados",4.14,3.15,8.9,"9_1543_19","IFN3","9_1543",19,19,8,127.32,10.95,8.59,94.17,18.61,1.2,34.4,78.46,0.44,1.96,4.81,5.86,40.02,33.39,6.63,5.1,0,0,0,0,0,0,33.22,34.78,15.86,0,3.02,8.57,15.59,43.04,"Nodo 1 - Pies inventariados",2.05,2.09
"2764","9_1543_9","IFN2","9_1543",NA,NA,9,NA,126.04,13.31,9.16,139.19,24.83,41.82,68.83,0.38,2.28,5.69,6.88,61.4,52.63,8.76,0,0,0,0,0,0,49.52,55.44,25.01,0,4.87,12.23,23.04,65.14,"Nodo 3 - Pies inventariados",4.16,3.16,9.15,"9_1543_22","IFN3","9_1543",22,22,9,127.32,11.78,8.45,109.06,12,1.39,37.02,71.75,0.46,2.14,4.58,5.64,45.07,38.05,7.02,5.74,0,0,0,0,0,0,37.6,39.41,18.08,0,3.75,10.26,18.05,50.14,"Nodo 1 - Pies inventariados",2.63,2.45
"2765","9_1549_1","IFN2","9_1549",NA,NA,1,NA,14.09,27.93,9.44,612.69,2.13,87.75,33.79,0.62,5.52,3.57,5.21,248.61,238.59,10.02,0,0,0,0,175.16,0,26.89,228.67,113.36,0,36.19,60.29,101.41,311.26,"Nodo 3 - Pies inventariados",5.38,2.94,22.55,"9_1549_1","IFN3","9_1549",1,1,1,14.15,31.28,10.41,768.48,1.23,1.09,98.27,33.28,0.63,6.13,3.87,5.73,339.51,330.11,9.41,4.8,0,0,0,0,211.64,234.98,25.13,317.27,156.85,0,45.21,69.07,127.2,398.32,"Nodo 1 - Pies inventariados",8.73,3.91
"2766","9_1549_2","IFN2","9_1549",NA,NA,2,NA,31.68,23.53,9.45,434.83,2.99,73.92,40.16,0.62,4.64,3.6,5.24,181.45,169.58,11.87,0,0,0,0,84.9,0,45.65,167.09,80.58,0,22.59,41.28,71.97,216.42,"Nodo 3 - Pies inventariados",5.28,2.95,18.25,"9_1549_2","IFN3","9_1549",2,2,2,14.15,24.83,9.41,484.24,3.29,0.69,78.01,37.89,0.62,4.92,3.53,5.2,199.48,188.03,11.46,2.82,0,0,0,0,152.11,0,42.3,184.58,89.34,0,26.28,46.7,80.15,242.48,"Nodo 1 - Pies inventariados",6.58,2.91
"2767","9_1549_3","IFN2","9_1549",NA,NA,3,NA,14.09,32.31,11.43,820.11,0,101.52,35.37,0.62,6.22,4.32,6.31,397.52,386.81,10.7,0,0,0,161.92,227.62,255.11,25.29,372.26,183.79,0,45.44,66.61,135.75,431.58,"Nodo 3 - Pies inventariados",5.46,2.93,26.85,"9_1549_3","IFN3","9_1549",3,3,3,14.15,33.24,12.32,867.62,0,1.23,104.42,37.06,0.63,6.34,4.6,6.82,452.82,441.05,11.77,6.41,0,0,0,174.39,229.11,257.86,25.35,427.8,209.56,0,45.89,65,143.61,464.06,"Nodo 1 - Pies inventariados",6.39,3.82
"2768","9_1549_4","IFN2","9_1549",NA,NA,4,NA,14.09,29.61,11.43,688.54,1.16,93.02,38.62,0.62,5.69,4.36,6.35,338.42,324.89,13.53,0,0,0,0,202.42,227.37,27.67,317.03,154.37,0,35.74,54.93,113.97,359.01,"Nodo 3 - Pies inventariados",5.41,2.93,24.2,"9_1549_4","IFN3","9_1549",4,4,4,14.15,29.67,12.77,691.51,2.31,0.98,93.22,43.05,0.62,5.6,4.87,7.16,381.44,364.5,16.95,5.4,0,0,0,0,271.9,239.44,28.36,359.08,173.19,0,32.54,48.58,114.46,368.77,"Nodo 1 - Pies inventariados",5.47,4.27
"2769","9_1568_1","IFN2","9_1568",NA,NA,1,NA,126.47,14.49,7.39,165,2.57,45.53,50.99,0.6,2.91,2.94,4.1,57.39,50.33,7.06,0,0,0,0,0,0,48.59,48.78,23.91,0,7.46,18.88,27.31,77.57,"Nodo 3 - Pies inventariados",4.74,2.89,9.75,"9_1568_2","IFN3","9_1568",2,2,1,31.83,14.33,9.05,161.28,0.58,0.51,45.02,63.12,0.67,2.94,2.96,4.87,69.4,60.2,9.19,2.21,0,0,0,0,0,0,53.88,62.65,28.61,0,6.03,14.59,26.7,75.92,"Nodo 1 - Pies inventariados",4.58,4.55
"2770","9_1568_2","IFN2","9_1568",NA,NA,2,NA,126.26,12.52,7.9,123.18,4.66,39.34,63.1,0.59,2.49,3.21,4.44,46.99,40.17,6.82,0,0,0,0,0,0,40.26,41.84,19.09,0,4.71,12.68,20.39,56.86,"Nodo 3 - Pies inventariados",4.67,2.9,7.85,"9_1568_6","IFN3","9_1568",6,6,2,127.32,10.92,8.18,93.61,1.1,1.19,34.3,74.94,0.67,2.26,2.67,4.39,37.82,31.61,6.21,4.82,0,0,0,0,0,0,25.47,33.43,15.02,0,3.13,9.01,15.49,42.65,"Nodo 1 - Pies inventariados",3.07,3.18
"2771","9_1568_3","IFN2","9_1568",NA,NA,3,NA,126.59,16.09,8.89,203.33,0,50.55,55.23,0.6,3.17,3.52,4.91,84.37,74.57,9.8,0,0,0,0,0,0,61.38,76.47,35.43,0,8.42,19.21,33.66,96.72,"Nodo 3 - Pies inventariados",4.79,2.89,11.3,"9_1568_21","IFN3","9_1568",21,21,3,31.83,15.27,10.55,183.12,0,0.58,47.97,69.06,0.67,3.07,3.47,5.71,91.6,79.69,11.9,2.92,0,0,0,0,0,0,72.59,82.63,37.87,0,6.25,14.06,30.31,88.49,"Nodo 1 - Pies inventariados",3.97,4.55
