"","X","PLOT_ID","ID_escenario","Hoja_arboles.x","INVENTORY_ID_IFN2","Anho.x","T_IFN2","N_IFN2","N_muerto_IFN2","N_incorporado_IFN2","G_IFN2","G_muerta_IFN2","G_incorporada_IFN2","dg_IFN2","Do_IFN2","Seccion_dominante_IFN2","Ho_IFN2","d_copa_IFN2","Do_copa_IFN2","FCC_IFN2","Esbeltez.x","Esbeltez_dominante.x","SDI_IFN2","SDImax","Hart_IFN2","Hart_tresbolillo_IFN2","SI_IFN2","VOB_IFN2","VUB_IFN2","VBARK_IFN2","V_muerto_IFN2","V_incorporado_IFN2","V_desenrollo.x","V_chapa.x","V_sierra_gruesa_IFN2","V_sierra_IFN2","V_sierra_canter_IFN2","V_postes.x","V_estacas.x","V_trituracion_IFN2","WSW_IFN2","WTHICKB_IFN2","WB2_7_IFN2","WTBL_IFN2","WR_IFN2","WT_IFN2","WT_muerta_IFN2","WT_incorporada_IFN2","Hoja_arboles.y","INVENTORY_ID_IFN3","Anho.y","T_IFN3","N_IFN3","N_muerto_IFN3.x","N_incorporado_IFN3.x","G_IFN3","G_muerta_IFN3.x","G_incorporada_IFN3.x","dg_IFN3","Do_IFN3","Seccion_dominante_IFN3","Ho_IFN3","d_copa_IFN3","Do_copa_IFN3","FCC_IFN3","Esbeltez.y","Esbeltez_dominante.y","SDI_IFN3","Hart_IFN3","Hart_tresbolillo_IFN3","SI_IFN3","VOB_IFN3","VUB_IFN3","VBARK_IFN3","V_muerto_IFN3.x","V_incorporado_IFN3.x","V_desenrollo.y","V_chapa.y","V_sierra_gruesa_IFN3","V_sierra_IFN3","V_sierra_canter_IFN3","V_postes.y","V_estacas.y","V_trituracion_IFN3","WSW_IFN3","WTHICKB_IFN3","WB2_7_IFN3","WTBL_IFN3","WR_IFN3","WT_IFN3","WT_muerta_IFN3.x","WT_incorporada_IFN3.x","G_incorporada_IFN3.y","N_incorporado_IFN3.y","V_incorporado_IFN3.y","WT_incorporada_IFN3.y","G_cortada_IFN3","N_cortado_IFN3","V_cortado_IFN3","WT_cortada_IFN3","G_muerta_IFN3.y","N_muerto_IFN3.y","V_muerto_IFN3.y","WT_muerta_IFN3.y"
"100",100,"9_1587","Nodo 3 - Pies inventariados",35,"IFN2",10,25,316.53,1.78,0,5.37,0,0,14.69,16.15,205.41,7.44,3,3.02,0.2,49.63,46.05,125.09,0,75.56,81.2,4.92,17.06,15.05,2.01,0,0,0,0,0,0,0,0,11.88,14.69,7.15,0,2.31,5.74,8.2,23.41,0,0,"Nodo 1 - Pies inventariados","IFN3",2003,26,127.32,0,0,2.97,NA,NA,17.23,17.86,251.22,9.42,3.46,3.48,0.09,54.12,52.76,66.36,94.04,101.05,9.28,9.04,8.08,0.96,NA,NA,0,0,0,0,0,0,6.07,8.18,3.84,0,0.96,2.1,3.64,10.55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"101",101,"9_1589","Nodo 3 - Pies inventariados",35,"IFN2",10,40,414.4,2.94,0,17.85,0,0,23.42,29.16,669.77,12.16,4.08,4.19,0.57,45.55,41.71,369.8,0,40.39,43.4,8.76,85.46,80.18,5.29,0.03,0,0,0,0,2.41,48.63,29.08,18.96,79.23,38.1,0,8.6,14.83,29.55,91.08,0.03,0,"Nodo 1 - Pies inventariados","IFN3",2003,41,233.43,0,0,13.08,NA,NA,26.71,30.83,750.04,12.38,4.69,4.79,0.42,44.29,40.15,262.04,52.88,56.82,12.48,67.22,63.86,3.37,NA,NA,0,0,0,7.22,39.69,35.31,10.42,62.8,30.34,0,6.36,10.02,21.65,68.37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"102",102,"9_1595","Nodo 3 - Pies inventariados",35,"IFN2",10,40,2086.61,28.38,0,59.98,0,0,19.13,26.68,559.91,10.62,3.07,3.14,1.61,52.13,39.82,1307.72,0,20.61,22.14,7.37,271.11,246.56,24.56,0.02,0,0,0,0,0,96.68,12.23,120.67,248.15,117.15,0,26.46,52.06,99.28,294.95,0.03,0,"Nodo 1 - Pies inventariados","IFN3",2003,41,834.68,0,0,29.46,NA,NA,21.2,26.89,569.04,11.14,3.63,3.67,0.88,49.85,41.43,625.46,31.07,33.39,11.17,139.88,128.44,11.44,NA,NA,0,0,0,0,68.15,14.74,50.29,129.26,61.03,0,13.11,24.38,48.77,147.27,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA
"103",103,"9_1596","Nodo 3 - Pies inventariados",35,"IFN2",10,47,703.51,3.84,0,37.44,0,0,26.03,33.04,866.24,15.58,4.22,4.27,0.77,52.98,47.15,754.94,0,24.2,26.01,11.37,207.38,195.15,12.23,0,0,0,0,0,27.71,127.82,108.99,28.37,196.36,92.72,0.04,12.49,18.46,52.37,176.09,0,0,"Nodo 1 - Pies inventariados","IFN3",2003,48,385.51,0,0,26.6,NA,NA,29.64,33.83,899.97,15.56,4.56,4.6,0.52,52.02,45.99,519.35,32.74,35.18,15.64,140.56,132.94,7.62,NA,NA,0,0,0,24.89,91.87,71.19,15.13,133.38,63.16,0,8.11,11.62,34.11,116.99,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA
"104",104,"9_1602","Nodo 3 - Pies inventariados",35,"IFN2",10,35,2782.58,50.38,0,75.7,0,0,18.61,25.76,521.06,12.73,2.8,2.86,1.79,62.63,49.42,1662.14,0,14.89,16.01,9.12,410.45,369.06,41.39,0.03,0,0,0,0,0,150.31,64.25,196.57,379.16,175.35,0,28.08,54.05,125.3,382.79,0.03,0,"Nodo 1 - Pies inventariados","IFN3",2003,36,2412.08,0,0,56.96,NA,NA,17.34,24.59,476.63,12.31,2.68,2.79,1.48,64.96,50.08,1271.6,16.53,17.77,12.35,303.48,271.41,32.07,NA,NA,0,0,0,0,108.59,37.18,150.51,279.04,128.95,0,25.03,56.74,94.29,305.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.18261182,31.83,0.4325697,23.3638566
"105",105,"9_1608","Nodo 3 - Pies inventariados",35,"IFN2",10,27,1675.18,11.86,0,31.12,0.02,0,15.38,18.63,272.64,9.26,2.73,2.74,0.99,58.41,49.69,717.17,0,26.39,28.36,6.37,131.08,115.14,15.94,0.03,0,0,0,0,0,1.83,0,100,117.35,54.71,0,12.53,29.15,51.51,147.9,0.05,0,"Nodo 1 - Pies inventariados","IFN3",2003,28,636.62,0,0,14.96,NA,NA,17.3,20.77,338.95,11.23,3.1,3.14,0.49,62.27,54.09,334.22,35.28,37.91,11.33,74.72,66.45,8.26,NA,NA,0,0,0,0,15.02,0,43.77,68.36,31.57,0,5.65,11.67,24.77,73.66,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"106",106,"9_1609","Nodo 3 - Pies inventariados",35,"IFN2",10,42,1919.38,22.31,0,55.16,0.04,0,19.13,24.61,475.78,11.33,3.06,3.11,1.46,55.18,46.05,1202.65,0,20.14,21.64,8,269.24,243.94,25.3,0.1,0,0,0,0,0,98.58,17.13,122.88,247.95,115.91,0,22.63,44.14,91.3,273.98,0.12,0,"Nodo 1 - Pies inventariados","IFN3",2003,43,1556.18,0,0,39.85,NA,NA,18.06,24.22,461.08,10.56,3.08,3.14,1.21,48.37,43.62,880.61,24,25.79,10.63,179.64,163.06,16.58,NA,NA,0,0,0,0,68,0,81.28,164.81,77.48,0,23.6,80.58,65.96,247.61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.84715856,286.47,0.3784587,59.5007739
"107",107,"9_1617","Nodo 3 - Pies inventariados",35,"IFN2",10,38,1545.36,21.43,0,59.12,0.02,0,22.07,31.01,756.22,16.14,3.28,3.35,1.36,61.28,52.06,1243.06,0,15.76,16.93,12.12,363.42,333.29,30.13,0.05,0,0,0,0,16.4,190.19,146.79,112.1,340.86,158.36,0,22.06,37.4,97.85,315.68,0.05,0,"Nodo 1 - Pies inventariados","IFN3",2003,39,1206.04,0,0,45.04,NA,NA,21.81,33.63,888.86,15.05,3.51,3.62,1.24,51.87,44.76,949.39,19.13,20.56,14.95,256.02,237.33,18.69,NA,NA,0,0,0,27.4,136.48,99.36,66.41,239.81,112.76,0,34.63,113,74.55,334.94,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.71809413,254.64,0.9545817,112.4515704
"108",108,"9_1620","Nodo 3 - Pies inventariados",35,"IFN2",10,25,410.94,2.87,0,5.89,0,0,13.51,15.24,184.57,7.08,2.74,2.76,0.25,49.04,46.43,140.26,0,69.7,74.9,4.4,18.47,16.13,2.34,0.02,0,0,0,0,0,0,0,13.57,15.9,7.66,0,2.83,7.61,9.75,27.86,0.03,0,"Nodo 1 - Pies inventariados","IFN3",2003,26,127.32,0,0,2.23,NA,NA,14.95,15.36,187.37,6.61,3.15,3.17,0.1,44.33,43.06,51.75,134,143.99,6.58,6.94,6.16,0.78,NA,NA,0,0,0,0,0,0,5.18,6.01,2.93,0,1.15,2.93,3.7,10.71,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"109",109,"9_1626","Nodo 3 - Pies inventariados",35,"IFN2",10,36,2316.54,35.41,0,59.8,0,0,18.13,26.6,556.85,12.38,2.86,2.93,1.56,58.15,46.54,1321.69,0,16.78,18.03,8.94,293.1,264.07,29.02,0.02,0,0,0,0,0,89.19,36.69,148.02,269.63,125.47,0,23.97,47.83,98.98,296.25,0.03,0,"Nodo 1 - Pies inventariados","IFN3",2003,37,1191.89,0,0,26.17,NA,NA,16.72,25.52,512.58,11.36,2.99,3.07,0.88,48.34,44.54,589.45,25.49,27.39,11.52,113.2,102.4,10.79,NA,NA,0,0,0,0,37.49,16.37,52.14,103.13,48.66,0,19.65,79.16,43.31,190.77,NA,NA,NA,NA,NA,NA,0,0,0,NA,2.2128216,254.64,0.458352,72.34959
"110",110,"9_1688","Nodo 3 - Pies inventariados",35,"IFN2",10,34,317.3,1.01,0,6.99,0,0,16.74,22.77,407.74,9.27,4.05,4.07,0.25,43.1,40.72,157.57,0,60.56,65.08,6,24.66,22.79,1.88,0,0,0,0,0,0,7.68,0,9.13,22.48,10.83,0,3.36,6.74,10.62,31.55,0.02,0,"Nodo 1 - Pies inventariados","IFN3",2003,35,265.26,0,0,5.38,NA,NA,16.08,20.62,340.28,6.89,4.06,4.09,0.18,41.45,33.44,122.49,89.07,95.71,6.86,13.49,12.53,0.95,NA,NA,0,0,0,0,3.49,0,5.86,12,5.96,0,2.72,5.86,7.23,21.76,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"111",111,"9_1735","Nodo 3 - Pies inventariados",35,"IFN2",10,30,442.96,2.67,0,7.86,0,0,15.03,17.25,235.92,6.87,3.02,3.03,0.32,44.19,39.81,182.22,0,69.19,74.35,4.08,24.29,21.57,2.72,0,0,0,0,0,0,0,0,17.09,21,10.25,0,4.06,10.28,13.01,37.6,0.02,0,"Nodo 1 - Pies inventariados","IFN3",2003,31,159.15,0,0,3.3,NA,NA,16.24,17.42,241.47,5.85,3.39,3.43,0.15,36.79,33.6,74.82,135.43,145.52,5.94,8.88,8.03,0.85,NA,NA,0,0,0,0,0,0,5.66,7.57,3.81,0,2.06,5.13,5.46,16.46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"112",112,"9_1810","Nodo 3 - Pies inventariados",35,"IFN2",10,29,337.61,1.92,0,15.85,0,0,24.45,29.51,687.58,12.08,4.3,4.36,0.5,46.85,40.93,324.81,0,45.05,48.41,8.79,80.31,75.24,5.08,0.02,0,0,0,0,2.64,45.35,26.16,17,74.79,35.75,0,7.32,12.29,26.24,81.61,0.02,0,"Nodo 1 - Pies inventariados","IFN3",2003,30,304.16,0,0,14.16,NA,NA,24.35,29.94,708.62,11.65,4.31,4.39,0.46,46.5,38.9,290.37,49.24,52.91,11.52,70.48,66.12,4.36,NA,NA,0,0,0,5.01,35.69,22.55,15.58,65.69,31.42,0,6.67,11.19,23.44,72.72,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"113",113,"9_1884","Nodo 3 - Pies inventariados",35,"IFN2",10,40,1368.08,4.19,0,30.51,0,0,16.85,30.41,731.77,14.69,3.77,3.84,0.57,46.22,48.3,686.94,0,18.41,19.78,10.58,132.1,122.21,9.89,0.03,0,0,0,0,10,73.15,53,34.77,124.32,58.07,0,8.24,13.37,35.49,115.17,0.03,0,"Nodo 1 - Pies inventariados","IFN3",2003,41,1266.17,0,0,27.53,NA,NA,16.64,31.22,774.88,12.85,3.92,4.03,0.5,34.25,41.16,620.93,21.87,23.5,12.2,96.49,90.04,6.44,NA,NA,0,0,0,12.58,47.03,37.22,24.99,90.29,42.78,0,7.56,12.35,28.94,91.63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.23367958,541.11,0,NA
"114",114,"9_1959","Nodo 3 - Pies inventariados",35,"IFN2",10,35,517,2.9,0,18.48,0,0,21.34,24.92,493.8,10.9,3.75,3.77,0.58,53.56,43.73,392.02,0,40.36,43.36,7.85,94.74,86.65,8.09,0.02,0,0,0,0,0,46.64,8.88,33.92,88.06,41.17,0,7.72,14.07,30.6,93.55,0.02,0,"Nodo 1 - Pies inventariados","IFN3",2003,36,519.91,0,0,18.14,NA,NA,21.08,24.92,495.03,11.12,3.74,3.77,0.58,52.2,44.62,385.63,39.45,42.39,11.15,92.19,84.34,7.85,NA,NA,0,0,0,0,43.56,9.2,32.27,85.52,40.07,0,9.44,22.92,30.02,102.46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.58904598,31.83,0.1801578,13.1757102
"115",115,"9_218","Nodo 3 - Pies inventariados",35,"IFN2",10,43,1393.22,14.42,0,42.18,0,0,19.63,27.22,585.13,11.23,3.3,3.37,1.24,47.61,41.27,913.67,0,23.85,25.63,7.97,181.16,165.99,15.16,0.02,0,0,0,0,0,71.6,15.22,74.22,165.22,78.87,0,19.84,39.24,69.82,207.77,0.02,0,"Nodo 1 - Pies inventariados","IFN3",2003,44,477.46,0,0,16.86,NA,NA,21.2,27.33,589.3,10.91,3.81,3.87,0.56,45.87,39.92,357.88,41.95,45.08,11.14,75.18,69.53,5.65,NA,NA,0,0,0,0,34.81,17.92,24.86,69.07,33.03,0,8.1,15.35,27.9,84.39,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA
"116",116,"9_2337","Nodo 3 - Pies inventariados",35,"IFN2",10,41,2805.32,116.06,0,75.41,0,0,18.5,30.5,732.82,17.71,2.47,2.58,1.47,90.73,58.06,1658.28,0,10.66,11.46,13.5,577.86,513.97,63.89,0.07,0,0,0,0,14.4,226.84,151.69,269.03,542.62,244.21,0,21.38,36.59,124.82,427,0.06,0,"Nodo 1 - Pies inventariados","IFN3",2003,42,1152.99,0,0,40.73,NA,NA,21.21,30.89,752.1,17.73,3.09,3.17,0.91,78.26,57.41,864.54,16.61,17.85,17.78,310.64,281.3,29.34,NA,NA,0,0,0,16.98,152.14,103.9,108.7,293.31,133.66,0,13.07,23.33,67.41,237.46,NA,NA,NA,NA,NA,NA,0,0,0,NA,0.39688827,31.83,0.1992558,5.44293
"117",117,"9_2346","Nodo 3 - Pies inventariados",35,"IFN2",10,24,313.92,2.41,0,35.9,0,0,38.16,42.76,1438.25,23.46,5.02,5.08,0.64,61.95,54.88,656.85,0,24.05,25.85,19.2,358.66,347.36,11.3,0.09,0,2.57,2.57,2.23,229.99,120.73,103.94,12.62,344.55,165.04,0.94,12.05,13.32,59.41,250.76,0.06,0,"Nodo 1 - Pies inventariados","IFN3",2003,25,298.22,0,0,31.99,NA,NA,36.95,42.05,1393.04,19.83,5.21,5.29,0.65,55.33,47.16,590.96,29.2,31.38,19.83,275.06,267.03,8.03,NA,NA,2.63,2.63,2.28,165.75,102.45,87.23,11.18,262.9,126.88,0.84,12.13,14.14,52.94,206.92,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"118",118,"9_2351","Nodo 3 - Pies inventariados",35,"IFN2",10,31,826.3,8.37,0,24.34,0,0,19.37,29.9,711.49,12.16,3.27,3.39,0.75,55.07,40.66,529.1,0,28.62,30.75,8.93,118.64,108.61,10.03,0.02,0,0,0,0,7.51,39.44,19.61,49,109.79,51.61,0,10.45,19.56,40.29,121.9,0.02,0,"Nodo 1 - Pies inventariados","IFN3",2003,32,590.64,0,0,18.06,NA,NA,19.73,30.19,726.99,14.1,3.2,3.38,0.53,68.21,46.69,390.39,29.19,31.37,14.01,107.56,98.16,9.41,NA,NA,0,0,0,9.83,44.71,23.36,41.4,100.13,46.64,0,6.82,11.65,29.9,95.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"119",119,"9_2413","Nodo 3 - Pies inventariados",35,"IFN2",10,71,670.45,10.17,0,33.8,0.02,0,25.34,35,982.86,20.46,3.56,3.68,0.71,72.03,58.46,686.28,0,18.87,20.28,16.44,286.26,266.28,19.98,0.09,0,2.49,2.49,2.16,58.89,169.43,136.22,47.58,272.39,126.52,0.26,10.65,15.11,55.95,208.49,0.07,0,"Nodo 1 - Pies inventariados","IFN3",2003,72,341.09,0,0,21.52,NA,NA,28.34,34.46,960.51,18.58,4.3,4.4,0.52,63.09,53.91,424.89,29.14,31.32,18.61,167,157.32,9.68,NA,NA,0,0,2.09,34.46,92.75,76.79,21.54,159.22,74.75,0.36,7.67,10.44,35.62,128.83,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA
"120",120,"9_245","Nodo 3 - Pies inventariados",35,"IFN2",10,41,77.5,0.31,0,4.68,0,0,27.72,27.69,603.52,8.61,5.53,5.54,0.19,31.1,31.1,92.82,0,131.89,141.72,5.8,17.28,16.63,0.64,0.01,0,0,0,0,0,8.98,0,2.03,15.75,7.9,0,2.99,5.11,7.74,23.74,0.02,0,"Nodo 1 - Pies inventariados","IFN3",2003,42,42.44,0,0,2.79,NA,NA,28.94,28.9,657.98,7.5,6,6.01,0.12,25.95,25.95,54.84,204.67,219.93,7.5,8.91,8.69,0.22,NA,NA,0,0,0,0,5.45,0,0.99,8.01,4.13,0,2.1,3.64,4.62,14.49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"121",121,"9_246","Nodo 3 - Pies inventariados",35,"IFN2",10,45,800.51,5.87,0,22.02,0,0,18.72,26.59,558.93,8.62,3.36,3.45,0.75,46.68,32.41,482.86,0,41.01,44.07,5.7,85.44,78.02,7.43,0.02,0,0,0,0,0,24.23,0,41.68,77.11,37.07,0,11.13,22.71,36.45,107.36,0.02,0,"Nodo 1 - Pies inventariados","IFN3",2003,46,120.25,0,0,6.27,NA,NA,25.76,26.32,563.29,8.32,5,5.13,0.25,33.89,31.62,126.75,109.6,117.77,8.56,21.66,20.67,0.99,NA,NA,0,0,0,0,10.46,0,4.36,19.62,9.82,0,4.45,7.83,10.38,32.47,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA
"122",122,"9_305","Nodo 3 - Pies inventariados",35,"IFN2",10,39,544.18,4.02,0,28.74,0,0,25.93,32.13,814.48,15.83,4.2,4.25,0.77,50.49,49.27,580.04,0,27.08,29.1,12.06,171.15,160.89,10.25,0.02,0,0,0,0,19.6,101.44,81.39,27.7,161.07,76.45,0,12.13,19.27,47.57,155.41,0.02,0,"Nodo 1 - Pies inventariados","IFN3",2003,40,173.3,0,0,11.21,NA,NA,28.7,31.25,774.62,14.38,4.98,5.03,0.34,47.24,46.02,220.7,52.82,56.76,14.12,66.62,63.45,3.17,NA,NA,0,0,0,14.96,39.87,31.1,7.36,62.76,30.15,0,4.97,7.35,18.56,61.03,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA
"123",123,"9_355","Nodo 3 - Pies inventariados",35,"IFN2",10,30,1013.43,5.15,0,19.64,0,0,15.71,21.98,381.49,8.74,3.21,3.26,0.61,43.72,39.76,450.15,0,35.94,38.62,5.75,60.07,54.37,5.7,0.01,0,0,0,0,0,10.92,0,33.98,53.24,25.83,0,8.73,19.58,28.12,82.26,0.02,0,"Nodo 1 - Pies inventariados","IFN3",2003,31,618.94,0,0,14.05,NA,NA,17,21.35,360.1,9.25,3.13,3.22,0.43,48.87,43.31,315.23,43.47,46.71,9.24,46.19,41.72,4.47,NA,NA,0,0,0,0,12.42,0,23.97,41.25,19.82,0,5.62,12.32,19.6,57.36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"124",124,"9_382","Nodo 3 - Pies inventariados",35,"IFN2",10,31,1539.96,16.23,0,38.77,0,0,17.9,25.84,524.9,11.13,2.98,3.06,1.03,55.97,43.06,859.72,0,22.9,24.61,8.26,169.37,153.12,16.24,0.02,0,0,0,0,0,58.67,27.03,80.94,155.48,72.75,0,14.72,29.44,59,175.92,0.03,0,"Nodo 1 - Pies inventariados","IFN3",2003,32,997.37,0,0,24.32,NA,NA,17.62,26.54,556.09,11.59,2.91,3.02,0.61,60.57,43.66,540.76,27.32,29.36,11.73,102.46,92.07,10.4,NA,NA,0,0,0,0,33.94,19.52,50.5,94.29,43.74,0,7.74,15.32,33.24,100.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"125",125,"9_393","Nodo 3 - Pies inventariados",35,"IFN2",10,29,474.85,2.61,0,12.74,0,0,18.48,21.87,376.03,7.98,3.54,3.57,0.47,42.51,36.49,280.18,0,57.51,61.79,5.12,45.29,41.24,4.05,0.01,0,0,0,0,0,8.64,0,24.55,40.49,19.59,0,6.66,14.4,21.08,61.73,0.02,0,"Nodo 1 - Pies inventariados","IFN3",2003,30,314.77,0,0,9.59,NA,NA,19.7,22.62,402.93,8.19,3.81,3.84,0.36,41.03,36.2,207.39,68.82,73.96,7.93,34.73,31.89,2.84,NA,NA,0,0,0,0,7.08,0,16.45,31.11,15.15,0,5.14,10.68,15.88,46.84,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA
"126",126,"9_467","Nodo 3 - Pies inventariados",35,"IFN2",10,31,899.18,6.23,0,24.69,0,0,18.7,26.44,550.84,13.16,3.41,3.45,0.72,55.66,49.77,541.49,0,25.35,27.24,9.79,121.17,110.26,10.91,0.02,0,0,0,0,0,47.84,22.91,52.5,112.16,52.39,0,9.7,18.4,39.54,120.03,0.02,0,"Nodo 1 - Pies inventariados","IFN3",2003,32,537.59,0,0,12.46,NA,NA,17.18,21.92,382.63,12.02,3.37,3.41,0.37,60.58,54.82,278.8,35.9,38.57,11.93,57.75,51.93,5.81,NA,NA,0,0,0,0,15.38,5.8,30.58,53.39,24.68,0,4.37,8.59,18.66,56.28,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA
"127",127,"9_610","Nodo 3 - Pies inventariados",35,"IFN2",10,45,610.88,4.52,0,31.82,0.01,0,25.75,30.92,752.09,14.4,4.08,4.15,0.83,54.02,46.56,643.31,0,28.11,30.2,10.81,195.25,182.77,12.48,0.04,0,0,0,0,11.76,121.79,97.35,35.22,183.88,86.84,0,12.84,19.91,52.66,172.25,0.04,0,"Nodo 1 - Pies inventariados","IFN3",2003,46,544.66,0,0,28.71,NA,NA,25.91,31.84,797.91,12.58,4.28,4.37,0.82,46.16,39.5,579.71,34.07,36.61,12.48,150.91,142.66,8.25,NA,NA,0,0,0,9.71,86.47,77.76,25.43,141.11,67.79,0,13.39,21.34,47.52,150.03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"128",128,"9_621","Nodo 3 - Pies inventariados",35,"IFN2",10,35,1296.01,9.06,0,36.73,0,0,19,22.62,401.82,10.04,3.26,3.29,1.1,50.97,44.39,802.21,0,27.67,29.73,7.12,161.62,146.37,15.25,0.02,0,0,0,0,0,45.63,0,79.59,147.77,69.55,0,16.29,32.99,60.79,179.61,0.02,0,"Nodo 1 - Pies inventariados","IFN3",2003,36,930.17,0,0,27.69,NA,NA,19.47,23.12,420.05,11.34,3.42,3.46,0.88,52.26,49.08,600.48,28.9,31.06,11.33,127.56,115.56,12,NA,NA,0,0,0,0,45.13,2.46,58.9,117.04,54.9,0,17.3,46.17,45.83,164.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.07789112,31.83,0.2530485,32.4745575
"129",129,"9_68","Nodo 3 - Pies inventariados",35,"IFN2",10,35,884.59,6.68,0,22.05,0,0,17.81,23.38,430.62,9.63,3.19,3.25,0.74,50.37,41.21,489.47,0,34.9,37.5,6.5,91.06,82.25,8.81,0.01,0,0,0,0,0,20.35,0,49.74,82.54,39.08,0,10.05,21.18,36.49,106.8,0.02,0,"Nodo 1 - Pies inventariados","IFN3",2003,36,534.05,0,0,15.45,NA,NA,19.19,22.92,414.6,9.35,3.49,3.53,0.52,51.47,40.79,336.22,46.28,49.73,9.08,69.15,62.74,6.41,NA,NA,0,0,0,0,25,0,33.21,63.29,29.81,0,6.85,13.67,25.57,75.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"130",130,"9_714","Nodo 3 - Pies inventariados",35,"IFN2",10,37,1165.3,8.91,0,37.31,0,0,20.19,26.44,550.61,12.02,3.34,3.38,1.04,55.48,45.44,802.47,0,24.38,26.2,8.67,190.7,173.45,17.25,0.02,0,0,0,0,0,76.47,18.83,80.93,176.96,82.41,0,15.16,28.48,61.76,187.81,0.02,0,"Nodo 1 - Pies inventariados","IFN3",2003,38,859.44,0,0,27.24,NA,NA,20.09,26.38,551.38,11.27,3.46,3.51,0.83,52.08,42.72,586.1,30.27,32.53,11.23,129.38,118.03,11.34,NA,NA,0,0,0,0,53.56,9.64,54.98,119.14,56.08,0,11.78,22.51,45.09,135.46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"131",131,"9_72","Nodo 3 - Pies inventariados",35,"IFN2",10,30,218.08,1.19,0,6.12,0,0,18.9,21.95,394.73,7.71,3.71,3.81,0.25,37.6,35.13,133.87,0,87.8,94.35,4.19,19.84,18.37,1.47,0,0,0,0,0,0,5.28,0,8.53,17.83,8.73,0,3.62,7.72,10.13,30.2,0.02,0,"Nodo 1 - Pies inventariados","IFN3",2003,31,106.1,0,0,3.93,NA,NA,21.71,21.36,382.32,7.35,4.29,4.42,0.16,34.6,34.4,82.88,132.09,141.94,7.26,13.42,12.67,0.75,NA,NA,0,0,0,0,5.32,0,3.99,12.19,6.02,0,2.44,4.76,6.5,19.71,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"132",132,"9_76","Nodo 3 - Pies inventariados",35,"IFN2",10,30,1046.26,4.16,0,18.75,0,0,15.1,19.79,307.61,8.75,3.34,3.35,0.59,50.99,44.19,434.01,0,35.35,37.99,5.75,63.93,57.64,6.29,0.01,0,0,0,0,0,5.73,0,39.7,57.45,27.39,0,7.95,17.35,27.62,80.3,0.02,0,"Nodo 1 - Pies inventariados","IFN3",2003,31,763.94,0,0,14.56,NA,NA,15.58,20.22,321.5,9.12,3.39,3.41,0.44,55.35,45.12,333.87,39.65,42.61,8.93,46.87,42.3,4.57,NA,NA,0,0,0,0,4.31,0,27.11,42.14,20.1,0,5.83,12.69,20.04,58.66,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
