"","PLOT_ID","Hoja_arboles","INVENTORY_ID_IFN2","T_IFN2","N_IFN2","N_muerto_IFN2","N_incorporado_IFN2","G_IFN2","G_muerta_IFN2","G_incorporada_IFN2","dg_IFN2","Do_IFN2","Seccion_domi.nte_IFN2","Ho_IFN2","d_copa_IFN2","Do_copa_IFN2","FCC_IFN2","Esbeltez_(hq/dq)","Esbeltez_(h100/d100)","SDI_IFN2","Hart_IFN2","Hart_tresbolillo_IFN2","SI_IFN2","VOB_IFN2","VUB_IFN2","VBARK_IFN2","V_muerto_IFN2","V_incorporado_IFN2","V_sierra_gruesa_IFN2","V_sierra_IFN2","V_sierra_canter_IFN2","V_trituracion_IFN2","WSW_IFN2","WB2_t_IFN2","WTBL_IFN2","WR_IFN2","WT_IFN2","WT_muerta_IFN2","WT_incorporada_IFN2","W_descorchado","V_descorchado","INVENTORY_ID_IFN3","Nombre_modelo","T_IFN3","N_IFN3","G_IFN3","dg_IFN3","Do_IFN3","Seccion_domi.nte_IFN3","Ho_IFN3","d_copa_IFN3","Do_copa_IFN3","FCC_IFN3","Esbeltez (hq/dq)","Esbeltez (h100/d100)","SDI_IFN3","Hart_IFN3","SI_IFN3","VOB_IFN3","VUB_IFN3","VBARK_IFN3","V_sierra_gruesa_IFN3","V_sierra_IFN3","V_sierra_canter_IFN3","V_trituracion_IFN3","WSW_IFN3","WB2_t_IFN3","WTBL_IFN3","WR_IFN3","WT_IFN3","G_incorporada_IFN3","N_incorporado_IFN3","V_incorporado_IFN3","WT_incorporada_IFN3","G_cortada_IFN3","N_cortado_IFN3","V_cortado_IFN3","WT_cortada_IFN3","G_muerta_IFN3","N_muerto_IFN3","V_muerto_IFN3","WT_muerta_IFN3"
"36","19_611","Nodo 3 - Pies inventariados","IFN2",30,259.26,0,100.11,9.81,.,3.43,21.95,23.11,419.43,10.29,3.44,3.44,0.24,42.86,44.52,209.82,60.37,64.87,18.89,43.25,28.75,14.5,0,14.64,0,0,24.17,39.97,19.87,1.62,4.34,6.67,32.5,.,6.94,.,.,"IFN3","Ppi.ster_me__sim__v01",30,399.66,17.58,23.67,28.95,666.18,11.35,3.52,3.61,0.41,43.5,39.2,365.54,44.08,20.94,84.75,57,27.75,0,7.56,44.84,78.51,38.45,3.42,8.09,13.31,63.26,14.12312952,328.95,69.0320897,51.1109189,.,.,.,.,.,.,.,.
"37","19_613","Nodo 3 - Pies inventariados","IFN2",30,149.54,0,57.59,8.42,.,2.66,26.78,27.76,611.84,11.37,4.13,4.15,0.2,43.18,40.93,167.27,71.95,77.32,19.79,44.79,30.36,14.42,0,12.71,0,4.85,28.44,41.86,19.86,1.78,3.98,6.78,32.4,.,6.17,.,.,"IFN3","Ppi.ster_me__sim__v01",30,190.99,8.69,24.07,28.43,646.78,12.15,4.19,4.24,0.18,41.24,42.72,179.52,59.57,21.99,42.66,29.06,13.6,0,10.19,24.01,39.99,18.64,1.68,3.62,6.32,30.26,3.85354025,70.75,20.195729,14.6088845,.,.,.,.,.,.,.,.
"38","19_616","Nodo 3 - Pies inventariados","IFN2",35,814.48,0,103.59,35.98,.,4.18,23.72,27.99,615.36,11.06,3.46,3.49,0.78,43.95,39.53,747.4,31.68,34.04,20.04,173.97,116.67,57.3,0,19.29,0,0,102.58,161.51,78.44,6.66,16.38,26.41,127.89,.,10.35,.,.,"IFN3","Ppi.ster_me__sim__v01",35,679.06,31.44,24.28,30.55,733.71,11.92,3.51,3.58,0.68,46.05,39.03,647.43,32.18,20.06,162.48,109.52,52.96,0,13.84,93.9,151.26,72.04,6.18,14.53,24.04,116.79,10.56231249,215.78,53.9648472,39.5121434,.,.,.,.,.,.,.,.
"39","19_617","Nodo 3 - Pies inventariados","IFN2",35,693.28,0,169.84,24.76,.,5.47,21.33,27.21,582.06,9.77,3.18,3.26,0.58,38.24,35.91,535.13,38.87,41.77,18.02,97.23,64.62,32.62,0,20.55,0,0,52.88,88.38,46.8,4.27,11.02,17.25,79.34,.,11.67,.,.,"IFN3","Ppi.ster_me__sim__v01",35,417.34,18.75,23.92,29.47,684.98,9.35,3.63,3.69,0.45,35.62,31.73,388.34,52.36,17.02,74.54,49.87,24.67,0,4.73,40.48,68.15,36.28,3.61,8.61,14.12,62.62,6.22529338,148.56,24.5837875,20.4443098,.,.,.,.,.,.,.,.
"40","42_1858","Nodo 3 - Pies inventariados","IFN2",25,792.44,0,187.65,16.15,.,3.08,16.11,19.66,303.69,8.03,2.51,2.54,0.4,42.58,40.87,387.37,44.21,47.51,18.93,52.95,34.21,18.74,0,9.08,0,0,5.44,47.02,25.9,1.94,6.51,8.73,43.08,.,4.23,.,.,"IFN3","Ppi.ster_me__sim__v01",27,700.28,10.15,13.59,20.57,333.68,8.99,2.53,2.6,0.17,56.41,43.67,259.38,42.05,18.78,25.91,16.89,9.01,0,0,6.81,23.5,12.05,0.87,2.75,3.82,19.5,.,.,.,.,.,.,.,.,.,.,.,.
"41","42_1890","Nodo 3 - Pies inventariados","IFN2",30,687.27,0,139.07,27.7,.,5.19,22.65,30.44,729.6,10.15,3.33,3.41,0.63,42.51,33.35,585.34,37.57,40.37,20.83,122.53,81.89,40.64,0,21.64,0,9.57,56.86,112.82,56.96,5.12,12.56,20.24,94.87,.,11.97,.,.,"IFN3","Ppi.ster_me__sim__v01",32,399.66,.,18.87,30.37,733.01,11.96,4.27,4.33,0.21,51.68,39.36,252.74,41.84,20.8,48.56,33.12,15.44,0,12.86,24.41,45.41,21.72,2.08,4.37,7.73,35.91,.,.,.,.,0,0,0,0,.,.,.,.
"42","42_1902","Nodo 3 - Pies inventariados","IFN2",25,869.03,0,200.58,20.91,.,4.95,17.5,24.39,467.94,7.62,2.67,2.72,0.51,41.7,31.25,486.24,44.51,47.83,19.88,72.07,46.96,25.11,0,16.41,0,0,13.83,63.78,35.2,2.85,8.7,12.33,59.08,.,8.87,.,.,"IFN3","Ppi.ster_me__sim__v01",27,251.11,5.92,17.33,20.66,339.49,7.94,2.73,2.79,0.15,44.72,38.42,138.2,79.51,18.2,21.79,14.22,7.57,0,0,4.8,19.49,10.38,0.8,2.46,3.48,17.13,.,.,.,.,.,.,.,.,.,.,.,.
"43","42_1927","Nodo 3 - Pies inventariados","IFN2",30,235.24,0,107.91,11.35,.,4.59,24.79,28.12,624.76,11.51,3.8,3.84,0.27,42.41,40.94,232.04,56.63,60.86,21.48,55.96,37.71,18.25,0,21.4,0,0,30.51,52.21,25.22,2.23,5.25,8.68,41.37,.,10.36,.,.,"IFN3","Ppi.ster_me__sim__v01",32,155.62,4.77,19.76,21.03,356.74,10.7,3.39,3.43,0.08,53.99,50.9,106.1,74.9,19.66,17.22,11.5,5.71,0,0,10.25,16.06,7.51,0.58,1.5,2.33,11.92,.,.,.,.,.,.,.,.,.,.,.,.
"44","42_1928","Nodo 3 - Pies inventariados","IFN2",30,619.37,0,191.42,19.46,.,6.52,20,28.72,657.14,10.93,3.01,3.09,0.46,38.65,38.04,430.58,36.78,39.52,21.7,76.4,50.76,25.64,0,27.08,0,11,25.1,69.81,36.47,3.24,8.53,13.15,61.38,.,14.4,.,.,"IFN3","Ppi.ster_me__sim__v01",32,268.8,.,18.42,20.9,345.03,9.27,3.15,3.18,0.09,47.4,44.34,163.37,65.81,17.92,14.68,9.7,4.98,0,0,6.85,13.51,6.75,0.53,1.49,2.21,10.98,.,.,.,.,0,0,0,0,.,.,.,.
"45","42_1980","Nodo 3 - Pies inventariados","IFN2",27,470.5,0,106.21,22.54,.,5.14,24.7,31.19,823.15,10.55,3.64,3.74,0.52,39.75,33.83,461.27,43.69,46.95,22.65,104.74,70.82,33.93,0,23.42,0,20.37,52.64,96.91,48.73,4.84,10.59,18.17,82.33,.,13.72,.,.,"IFN3","Ppi.ster_me__sim__v01",29,807.94,.,14.79,25.77,543.64,11.8,3.63,3.7,0.18,71.09,45.8,343.49,29.81,21.93,42.85,28.92,13.93,0,4.11,22.92,40.09,18.69,1.6,3.66,6.13,30.09,.,.,.,.,0,0,0,0,.,.,.,.
