"","TREE_ID","INVENTORY_ID_IFN2","PLOT_ID.x","expan_IFN2","dbh_IFN2","h_IFN2","g_IFN2","bal_IFN2","circ_normal_IFN2","esbeltez_IFN2","cr_IFN2","lcw_IFN2","hcb_IFN2","hlcw_IFN2","vob_IFN2","vub_IFN2","vbark_IFN2","v_sierra_gruesa_IFN2","v_sierra_IFN2","v_sierra_canter_IFN2","v_trituracion_IFN2","wsw_IFN2","wb2_t_IFN2","wtbl_IFN2","wr_IFN2","wt_IFN2","n_descorches","w_descorchado","v_descorchado","sheet_SM4_IFN2","dbh_i_IFN2","h_i_IFN2","dbh","TREE_ID.y","INVENTORY_ID_IFN3","PLOT_ID.y","TREE_ID_IFN3_2","TREE_ID_IFN3","TREE_ID_IFN2","expan_IFN3","dbh_IFN3","h_IFN3","g_IFN3","bal_IFN3","circ_normal_IFN3","esbeltez_IFN3","cr_IFN3","lcw_IFN3","hcb_IFN3","hlcw_IFN3","vob_IFN3","vub_IFN3","vbark_IFN3","v_sierra_gruesa_IFN3","v_sierra_IFN3","v_sierra_canter_IFN3","v_trituracion_IFN3","wsw_IFN3","wb2_t_IFN3","wtbl_IFN3","wr_IFN3","wt_IFN3","sheet_SM4_IFN3","dbh_i_IFN3","h_i_IFN3"
"1046","42_1890_3","IFN2","42_1890",19.14,29.64,9.55,689.82,4.49,93.1,32.21,0.43,4.5,5.48,6.53,300.03,203.62,96.41,0,0,201.99,276.65,145.37,15.99,33.51,59.48,254.35,0,0,0,"Nodo 3 - Pies inventariados",5.94,2.05,23.7,"42_1890_5","IFN3","42_1890",5,4,3,14.15,29.84,10.83,699.45,4.74,93.75,36.3,0.49,4.61,5.52,7.06,344.06,234.32,109.74,0,0,212.73,320.08,159.51,16.34,34.06,60.65,270.56,"Nodo 1 - Pies mayores",6.14,3.33
"1047","42_1890_4","IFN2","42_1890",43.06,25.57,10.31,513.69,9.65,80.34,40.32,0.41,3.84,6.1,7.23,243.47,163.81,79.65,0,0,176.87,226.12,111.64,10.07,23.81,39.34,184.85,0,0,0,"Nodo 3 - Pies inventariados",5.77,2.31,19.8,"42_1890_6","IFN3","42_1890",6,5,4,14.15,26.69,10.92,559.3,5.73,83.84,40.91,0.49,4.12,5.6,7.14,279.4,188.81,90.58,0,0,191.09,258.93,126.52,11.5,26.28,44.33,208.63,"Nodo 1 - Pies mayores",6.89,2.92
"1048","42_1890_5",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"42_1890_7","IFN3","42_1890",7,0,5,0,0,0,.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Nodo 1 - Pies mayores",.,.
"1049","42_1890_6","IFN2","42_1890",39.42,22.93,8.67,412.93,14.05,72.04,37.83,0.41,3.47,5.12,6.03,166.56,110.75,55.81,0,0,85.62,152.32,79.63,7.14,18.48,28.97,134.22,0,0,0,"Nodo 3 - Pies inventariados",5.68,2.17,17.25,"42_1890_9","IFN3","42_1890",9,7,6,14.15,23.25,9.83,424.41,7.29,73.03,42.3,0.49,3.61,5,6.37,193.33,129.06,64.27,0,0,90.72,177.71,88.59,7.46,19.08,30.1,145.23,"Nodo 1 - Pies mayores",6,3.33
"1050","42_1890_7","IFN2","42_1890",43.06,27.83,9.03,608.22,7.03,87.43,32.47,0.42,4.23,5.2,6.19,251.83,169.93,81.9,0,0,185.96,233.23,123,13.12,28.96,49.86,214.94,0,0,0,"Nodo 3 - Pies inventariados",5.88,2.03,21.95,"42_1890_10","IFN3","42_1890",10,0,7,0,0,0,.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Nodo 1 - Pies mayores",.,.
"1051","42_1890_8","IFN2","42_1890",153.81,16.84,9.14,222.76,24.28,52.91,54.27,0.38,2.52,5.65,6.57,96.65,62.95,33.7,0,0,0,87.53,42.82,2.71,9.03,12.19,66.75,0,0,0,"Nodo 3 - Pies inventariados",5.34,2.64,11.5,"42_1890_11","IFN3","42_1890",11,0,8,0,0,0,.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Nodo 1 - Pies mayores",.,.
"1052","42_1890_9","IFN2","42_1890",43.06,25.42,9.13,507.59,11.87,79.87,35.91,0.41,3.85,5.37,6.35,213.67,143.29,70.38,0,0,104.21,198.03,102.24,9.88,23.48,38.69,174.28,0,0,0,"Nodo 3 - Pies inventariados",5.77,2.13,19.65,"42_1890_12","IFN3","42_1890",12,8,9,14.15,26.23,11.17,540.45,6.52,82.41,42.57,0.48,4.04,5.77,7.35,276.35,186.62,89.72,0,0,187.95,259.26,123.74,10.9,25.25,42.25,202.13,"Nodo 1 - Pies mayores",6.58,4.17
"1053","42_1902_1","IFN2","42_1902",40.28,19.26,7.49,291.21,6.97,60.49,38.88,0.46,2.99,4.04,4.88,103.01,67.42,35.59,0,0,0,93.02,50.26,4.13,12.32,17.75,84.46,0,0,0,"Nodo 3 - Pies inventariados",6.06,2.49,13.2,"42_1902_3","IFN3","42_1902",3,3,1,31.83,18.24,7.5,261.43,2.36,57.32,41.11,0.57,2.94,3.24,4.49,93,60.63,32.36,0,0,0,84.09,44.89,3.48,10.87,15.26,74.51,"Nodo 1 - Pies mayores",5.04,2.5
"1054","42_1902_2","IFN2","42_1902",40.28,21.62,7.29,367.27,5.49,67.94,33.69,0.47,3.37,3.89,4.72,125.47,82.74,42.73,0,0,72.74,113.88,63.16,5.94,16.13,24.58,109.81,0,0,0,"Nodo 3 - Pies inventariados",6.17,2.29,15.45,"42_1902_4","IFN3","42_1902",4,4,2,31.83,21.09,8.33,349.24,1.25,66.25,39.52,0.56,3.39,3.63,5.04,136.28,90,46.29,0,0,72.11,125.28,65.07,5.49,15.22,22.9,108.68,"Nodo 1 - Pies mayores",5.64,3.33
"1055","42_1902_3","IFN2","42_1902",40.28,18.78,7.53,276.89,8.14,58.99,40.09,0.46,2.91,4.08,4.93,98.64,64.45,34.19,0,0,0,88.84,47.8,3.81,11.62,16.54,79.78,0,0,0,"Nodo 3 - Pies inventariados",6.03,2.53,12.75,"42_1902_5","IFN3","42_1902",5,5,3,31.83,17.87,8.75,250.87,3.19,56.15,48.96,0.56,2.86,3.88,5.37,103.89,67.88,36,0,0,0,94.89,47.27,3.27,10.37,14.4,75.31,"Nodo 1 - Pies mayores",5.12,3.75
