"","X","PLOT_ID","Hoja_arboles.x","INVENTORY_ID_IFN2","simanfor.plot.MARTONNE_1","simanfor.plot.MARTONNE_2","simanfor.plot.MARTONNE_3","simanfor.plot.MARTONNE_4","Anho.x","T_IFN2","N_IFN2","N_muerto_IFN2","N_incorporado_IFN2","G_IFN2","G_muerta_IFN2","G_incorporada_IFN2","dg_IFN2","Do_IFN2","Seccion_dominante_IFN2","Ho_IFN2","d_copa_IFN2","Do_copa_IFN2","FCC_IFN2","Esbeltez.x","Esbeltez_dominante.x","SDI_IFN2","Hart_IFN2","Hart_tresbolillo_IFN2","SI_IFN2","VOB_IFN2","VUB_IFN2","VBARK_IFN2","V_muerto_IFN2","V_incorporado_IFN2","V_desenrollo.x","V_chapa.x","V_sierra_gruesa_IFN2","V_sierra_IFN2","V_sierra_canter_IFN2","V_postes.x","V_estacas.x","V_trituracion_IFN2","WSW_IFN2","WTHICKB_IFN2","WB2_7_IFN2","WTBL_IFN2","WR_IFN2","WT_IFN2","WT_muerta_IFN2","WT_incorporada_IFN2","Hoja_arboles.y","INVENTORY_ID_IFN3","Anho.y","T_IFN3","N_IFN3","N_muerto_IFN3.x","N_incorporado_IFN3.x","G_IFN3","G_muerta_IFN3.x","G_incorporada_IFN3.x","dg_IFN3","Do_IFN3","Seccion_dominante_IFN3","Ho_IFN3","d_copa_IFN3","Do_copa_IFN3","FCC_IFN3","Esbeltez.y","Esbeltez_dominante.y","SDI_IFN3","Hart_IFN3","Hart_tresbolillo_IFN3","SI_IFN3","VOB_IFN3","VUB_IFN3","VBARK_IFN3","V_muerto_IFN3.x","V_incorporado_IFN3.x","V_desenrollo.y","V_chapa.y","V_sierra_gruesa_IFN3","V_sierra_IFN3","V_sierra_canter_IFN3","V_postes.y","V_estacas.y","V_trituracion_IFN3","WSW_IFN3","WTHICKB_IFN3","WB2_7_IFN3","WTBL_IFN3","WR_IFN3","WT_IFN3","WT_muerta_IFN3.x","WT_incorporada_IFN3.x","G_incorporada_IFN3.y","N_incorporado_IFN3.y","V_incorporado_IFN3.y","WT_incorporada_IFN3.y","G_cortada_IFN3","N_cortado_IFN3","V_cortado_IFN3","WT_cortada_IFN3","G_muerta_IFN3.y","N_muerto_IFN3.y","V_muerto_IFN3.y","WT_muerta_IFN3.y"
"57",57,"9_1343","Nodo 3 - Pies inventariados","IFN2",NA,NA,NA,NA,10,35,2437.01,39.98,192.23,57.49,0,5.93,17.33,24.24,461.88,12.83,2.67,2.75,1.44,67.3,52.92,1283.48,15.79,16.97,10.91,311.87,277.98,33.89,0.03,31.57,0,0,0,0,85.33,18.42,167.05,287.48,132.08,0,20.66,40.99,95.15,288.88,0.03,28.45,"Nodo 1 - Pies inventariados","IFN3",2003,36,735.65,0,0,27.55,NA,NA,21.84,27.81,608.28,17.54,3.36,3.4,0.67,74.92,63.07,580.54,21.02,22.59,17.49,205.2,185.74,19.46,NA,NA,0,0,0,2.29,110.28,76.54,67.85,194,88.25,0,8.49,13.86,45.6,156.19,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA
"58",58,"9_1351","Nodo 3 - Pies inventariados","IFN2",NA,NA,NA,NA,10,35,2179.99,24,184.5,50.52,0,6.01,17.18,24.18,459.24,11.22,2.77,2.84,1.38,60.89,46.43,1130.34,19.08,20.5,9.56,242.9,216.8,26.1,0.04,28.64,0,0,0,0,50.59,0,143.81,222.26,103.01,0,19.78,40.77,83.61,247.18,0.04,28.42,"Nodo 1 - Pies inventariados","IFN3",2003,36,717.97,0,0,25.04,NA,NA,21.07,25.42,509.54,13.76,3.5,3.52,0.7,61.94,54.13,532.43,27.12,29.14,13.78,148.78,135.03,13.75,NA,NA,0,0,0,0,76.86,22.64,53.34,139.37,64.16,0,9.09,16.14,41.45,130.85,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA
"59",59,"9_1357","Nodo 3 - Pies inventariados","IFN2",NA,NA,NA,NA,10,30,989.27,8.16,138,14.8,0,2.18,13.8,18.39,266,9.45,2.54,2.59,0.52,63.31,51.35,349.77,33.66,36.17,10.41,62.93,54.78,8.15,0.01,9.29,0,0,0,0,2.2,0,45.77,55.94,26.03,0,5.65,13.77,24.5,69.95,0.01,9.18,"Nodo 1 - Pies inventariados","IFN3",2003,31,544.66,0,0,16.61,NA,NA,19.7,27.44,601.84,16.16,3.34,3.36,0.19,71.28,58.91,359.12,26.51,28.48,15.59,40.79,36.52,4.27,NA,NA,0,0,0,0,15.04,10.16,19.74,38.24,17.35,0,2.15,3.94,10.79,34.23,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA
"60",60,"9_1360","Nodo 3 - Pies inventariados","IFN2",NA,NA,NA,NA,10,25,672,4.64,153.2,22.88,0,5.56,20.82,27.34,589.01,8.35,3.73,3.86,0.79,37.22,30.54,487.83,46.19,49.64,7.44,83.08,77.71,5.37,0.02,19.86,0,0,0,0,30.23,0,24,74.87,36.92,0,13.22,26.34,37.86,114.35,0.02,26.57,"Nodo 1 - Pies inventariados","IFN3",2003,26,272.33,0,0,16.52,NA,NA,27.79,32.16,816.57,14.89,4.87,4.91,0.4,53.79,46.3,327.73,40.7,43.73,14.8,92.19,87.62,4.57,NA,NA,0,0,0,17.56,57.16,48.34,9.37,87.24,41.63,0,5.94,8.53,23.7,79.8,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA
"61",61,"9_1361","Nodo 3 - Pies inventariados","IFN2",NA,NA,NA,NA,10,35,1638.6,12.43,144.36,44.88,0,5.31,18.67,24.52,473.24,11.14,3.12,3.16,1.29,52.04,45.44,983.51,22.17,23.82,9.55,200.33,181.22,19.11,0.02,24.72,0,0,0,0,60.63,0,101.95,183.18,86.1,0,19.51,39.65,74.29,219.55,0.03,25.14,"Nodo 1 - Pies inventariados","IFN3",2003,36,1294.46,0,0,43.16,NA,NA,20.6,27.27,586.93,16.45,3.13,3.17,1.02,70.83,60.32,922.77,16.9,18.16,16.39,291.02,262.38,28.64,NA,NA,0,0,0,2.34,153.94,82.09,114.12,273.6,124.67,0,13.96,24.29,71.44,234.35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"62",62,"9_1389","Nodo 3 - Pies inventariados","IFN2",NA,NA,NA,NA,10,28,1426.29,10.71,163.76,16.72,0,2.41,12.22,17.64,244.91,6.95,2.35,2.4,0.64,50.46,39.4,407.49,38.1,40.94,6.37,49.41,42.86,6.56,0.01,7.04,0,0,0,0,0,0,33.01,41.12,20.36,0,8.19,23.38,27.68,79.62,0.02,11,"Nodo 1 - Pies inventariados","IFN3",2003,29,1669.36,0,0,22.74,NA,NA,13.17,21.43,361.63,11.72,2.54,2.61,0.47,72.23,54.7,543.85,20.88,22.44,11.71,73.31,64.25,9.06,NA,NA,0,0,0,0,16.3,0,45.94,66.29,30.53,0,5.19,11.56,24.4,71.68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63",63,"9_1390","Nodo 3 - Pies inventariados","IFN2",NA,NA,NA,NA,10,30,1775.02,13.09,196.55,17.23,0,2.51,11.12,14.11,156.44,6.44,2.15,2.18,0.66,56.71,45.65,429.77,36.84,39.59,5.58,52.26,44.47,7.8,0.02,7.22,0,0,0,0,0,0,36.52,42.41,21.13,0,7.59,22.8,28.51,80.03,0.03,11.1,"Nodo 1 - Pies inventariados","IFN3",2003,31,827.61,0,0,11.28,NA,NA,13.17,17.51,241.73,11.86,2.36,2.39,0.37,89.12,67.73,269.68,29.3,31.49,11.78,63.64,54.08,9.56,NA,NA,0,0,0,0,3.62,0,50.75,57.2,25.7,0,3.25,7.58,18.67,55.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64",64,"9_1391","Nodo 3 - Pies inventariados","IFN2",NA,NA,NA,NA,10,48,974.17,8.92,105.97,36.28,0.01,4.39,21.77,29.84,705.05,15.22,3.39,3.47,0.92,63.39,50.99,764.98,21.06,22.63,13.44,226.92,207.65,19.27,0.04,26.88,0,0,0,6.19,116.35,93.29,71.51,213.02,98.66,0,13.22,22.36,60.04,194.29,0.04,21.6,"Nodo 1 - Pies inventariados","IFN3",2003,49,717.97,0,0,32.03,NA,NA,23.83,33.45,885.09,17.26,3.76,3.86,0.84,58.21,51.59,660.41,21.62,23.24,17.1,212.36,197.64,14.72,NA,NA,0,0,0,30.77,120.44,92.82,45.15,200.42,93.91,0.03,17.57,45.32,53.02,209.86,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.68145158,95.49,0.5172375,38.0037468
"65",65,"9_1394","Nodo 3 - Pies inventariados","IFN2",NA,NA,NA,NA,10,49,1200.28,17.26,96.38,49.25,0,3.96,22.86,31.35,772.31,17.54,3.27,3.36,1.07,70.81,55.97,1026.01,16.45,17.68,15.44,359.01,329.2,29.8,0.04,28.1,0,0,0,20.77,201.62,144.94,99.73,339.44,156.42,0,16.29,25.55,81.52,279.78,0.04,20.57,"Nodo 1 - Pies inventariados","IFN3",2003,50,477.46,0,0,34.96,NA,NA,30.53,35.93,1015.16,18.89,4.39,4.47,0.75,60.89,52.58,677.43,24.23,26.03,18.74,280.41,265.99,14.42,NA,NA,0,0,0,103.51,153.11,123.23,26.07,267.09,126.38,0,12.45,16.35,57.86,213.04,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA
"66",66,"9_1398","Nodo 3 - Pies inventariados","IFN2",NA,NA,NA,NA,10,31,1357.77,10.68,222.54,27.02,0,6.6,15.92,23.06,417.7,8.35,2.87,2.96,0.93,46.01,36.19,616.12,32.51,34.94,7.37,93.39,84.1,9.29,0.04,23.22,0,0,0,0,15.89,0,54.46,82.97,39.96,0,13.67,31.79,44.72,130.13,0.05,30.63,"Nodo 1 - Pies inventariados","IFN3",2003,32,640.16,0,0,19.87,NA,NA,19.88,25.22,503.68,10.59,3.57,3.62,0.66,47.65,41.97,428.57,37.34,40.12,10.31,85.95,78.67,7.28,NA,NA,0,0,0,0,32.71,8.8,36.06,78.8,37.38,0,9.27,18.29,32.88,97.82,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"67",67,"9_1401","Nodo 3 - Pies inventariados","IFN2",NA,NA,NA,NA,10,25,1301.85,9.78,133.88,21.12,0,2.2,14.37,18.65,273.41,8.04,2.67,2.71,0.75,51.88,43.13,494.15,34.45,37.02,7.12,74,65.19,8.81,0.02,7.53,0,0,0,0,2.07,0,53.9,64.74,30.97,0,9.74,24.23,34.96,99.9,0.02,9.77,"Nodo 1 - Pies inventariados","IFN3",2003,26,1128.23,0,0,23.31,NA,NA,16.22,21.85,375.26,14.01,3.07,3.1,0.56,85.63,64.15,529.12,21.24,22.83,14,130.98,116.41,14.57,NA,NA,0,0,0,0,49.81,12.56,69.08,122.52,55.31,0,6.42,11.97,33.7,107.4,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA
"68",68,"9_1405","Nodo 3 - Pies inventariados","IFN2",NA,NA,NA,NA,10,50,1092.55,11.22,74.56,50.94,0,3.44,24.36,32.19,815.67,15.95,3.53,3.6,1.11,65.46,49.56,1044.4,18.97,20.38,14.12,360.76,332.94,27.82,0.04,23.65,0,0,0,23.31,218.44,167.17,81.31,341.82,158.19,0,17.66,27.19,84.31,287.35,0.03,17.87,"Nodo 1 - Pies inventariados","IFN3",2003,51,679.06,0,0,44.4,NA,NA,28.85,35.74,1004.85,19.67,4.04,4.11,0.9,64.61,55.06,872.69,19.5,20.96,19.66,362.12,340.37,21.75,NA,NA,0,0,0,94.79,220.26,174.01,41.2,345.4,161.72,0,15.05,20.4,73.49,270.66,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA
"69",69,"9_1406","Nodo 3 - Pies inventariados","IFN2",NA,NA,NA,NA,10,48,931.01,7.29,75.32,45.07,0.01,3.28,24.83,31.24,767.59,15.08,3.79,3.83,1.07,57.2,48.28,919.71,21.73,23.35,13.5,285.43,265.14,20.29,0.05,20.1,0,0,0,12.8,176.99,157.01,56.49,269.33,125.98,0,17.21,27.19,74.6,244.97,0.05,16.36,"Nodo 1 - Pies inventariados","IFN3",2003,49,565.88,0,0,39.45,NA,NA,29.79,35.35,982.63,17.14,4.43,4.47,0.89,55.31,48.48,769.15,24.53,26.35,17.26,282.91,268.05,14.87,NA,NA,0,0,0,65.18,174.32,142.16,27.15,268.46,127.36,0,15.08,20.9,65.29,228.63,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA
"70",70,"9_1415","Nodo 3 - Pies inventariados","IFN2",NA,NA,NA,NA,10,36,834.51,4.81,107.21,16.53,0,2,15.88,20.05,317.64,8,3,3.03,0.6,47.4,39.9,377.28,43.27,46.5,7.12,58.36,52.08,6.28,0.01,6.85,0,0,0,0,2.66,0,39.66,51.82,24.75,0,8.03,19.06,27.37,79.2,0.02,8.89,"Nodo 1 - Pies inventariados","IFN3",2003,37,583.57,0,0,17.71,NA,NA,19.65,23.12,423.7,9.91,3.56,3.59,0.59,49.96,42.88,383.06,41.76,44.87,9.88,79.12,72,7.12,NA,NA,0,0,0,0,26.02,3.07,36.17,72.28,34.21,0,7.9,15.64,29.31,87.06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"71",71,"9_1427","Nodo 3 - Pies inventariados","IFN2",NA,NA,NA,NA,10,34,348.87,1.28,95.52,10.76,0,3.25,19.82,22.61,402.41,7.02,3.89,3.92,0.42,35.4,31.05,232.39,76.24,81.92,6.25,33.57,31.03,2.53,0.01,10.03,0,0,0,0,5.79,0,14.66,30.02,14.75,0,6.55,14.07,17.82,53.18,0.01,15.2,"Nodo 1 - Pies inventariados","IFN3",2003,35,229.89,0,0,8.78,NA,NA,22.05,23.69,443.34,8.72,4.35,4.37,0.25,36.78,36.82,184.48,75.61,81.25,8.73,24.88,23.23,1.66,NA,NA,0,0,0,0,10.68,0,7.07,22.66,11.04,0,3.68,7.01,10.91,32.63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"72",72,"9_1428","Nodo 3 - Pies inventariados","IFN2",NA,NA,NA,NA,10,42,1191.03,24.81,115.91,47.74,0.01,4.22,22.59,34.38,937.47,15.08,3.4,3.57,1.19,56.3,43.85,997.56,19.22,20.65,13.19,276.71,257.42,19.29,0.08,23.69,0,0,0,29.1,144.09,111.76,64.68,259.39,122.31,0.02,20.41,34.41,79.03,256.18,0.07,21.16,"Nodo 1 - Pies inventariados","IFN3",2003,43,1030.76,0,0,48.72,NA,NA,24.53,38.69,1186.66,16.03,4,4.24,1.37,48.67,41.43,997.17,19.43,20.88,16.03,268.35,255.03,13.32,NA,NA,0,0,0,79.98,129.2,101.31,37.87,251.07,121.17,0.45,52.67,163.89,78.01,416.19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.07119878,205.13,2.3462927,187.7413139
"73",73,"9_1430","Nodo 3 - Pies inventariados","IFN2",NA,NA,NA,NA,10,25,177.34,1.02,51.03,1.21,0,0.33,9.31,9.31,68.05,3.31,2.1,2.1,0.06,35.51,35.51,31.47,227.17,244.11,3,1.94,1.65,0.29,0.01,0.52,0,0,0,0,0,0,0,1.45,0.78,0,0.81,3.2,2,6.79,0.04,1.74,"Nodo 1 - Pies inventariados","IFN3",2003,26,31.83,0,0,0.41,NA,NA,12.81,12.81,128.89,7.82,2.87,2.87,0.02,61.03,61.03,9.88,226.71,243.61,7.82,1.54,1.32,0.22,NA,NA,0,0,0,0,0,0,1.33,1.37,0.63,0,0.16,0.43,0.68,1.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"74",74,"9_1432","Nodo 3 - Pies inventariados","IFN2",NA,NA,NA,NA,10,35,341.18,1.31,123.2,12.11,0,4.72,21.26,25.34,505.46,9.08,4.01,4.06,0.44,39.91,35.83,256.86,59.64,64.09,7.86,46,42.74,3.26,0.02,17.81,0,0,0,0,16.56,0,16.22,41.81,20.31,0,6.53,12.77,20.04,59.65,0.02,21.56,"Nodo 1 - Pies inventariados","IFN3",2003,36,148.54,0,0,7.19,NA,NA,24.83,26.36,558.29,10.18,4.67,4.74,0.26,40.54,38.63,146.75,80.58,86.58,10.01,31.86,30.12,1.74,NA,NA,0,0,0,2.31,18.6,7.01,6.71,29.5,14.31,0,3.76,6.45,11.9,36.43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"75",75,"9_1438","Nodo 3 - Pies inventariados","IFN2",NA,NA,NA,NA,10,45,1120.1,7.81,123.46,35.89,0,4.84,20.2,26.32,545.16,10.5,3.44,3.5,1.07,48.09,39.88,771.12,28.46,30.59,9.5,158.22,145,13.23,0.02,21.18,0,0,0,0,64.26,8.22,62.72,145.24,68.89,0,16.68,32.45,59.4,177.42,0.03,22.85,"Nodo 1 - Pies inventariados","IFN3",2003,46,756.87,0,0,30.97,NA,NA,22.83,30.26,721.87,13.43,3.7,3.77,0.85,55.14,44.38,645.49,27.06,29.08,13.48,176.35,163.02,13.32,NA,NA,0,0,0,4.9,95.43,67.04,48.24,164.72,77.46,0,12.64,21.59,51.27,162.95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"76",76,"9_1444","Nodo 3 - Pies inventariados","IFN2",NA,NA,NA,NA,10,35,745.86,4.04,176.95,8.38,0,2.44,11.96,14.24,159.16,6,2.46,2.47,0.36,41.67,42.18,205.21,60.98,65.52,4.75,20.19,17.55,2.64,0.02,6.3,0,0,0,0,0,0,13.71,16.48,8.34,0,4.68,14.46,13.87,41.35,0.03,11.11,"Nodo 1 - Pies inventariados","IFN3",2003,36,190.99,0,0,3.79,NA,NA,15.89,17.38,238.25,7.83,3.22,3.25,0.16,47.96,45.04,86.4,92.46,99.35,7.8,13.46,11.99,1.47,NA,NA,0,0,0,0,0,0,9.39,11.93,5.7,0,1.8,4.26,6.27,18.03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"77",77,"9_1447","Nodo 3 - Pies inventariados","IFN2",NA,NA,NA,NA,10,35,1033.53,24.08,134.5,31.64,0.01,5.41,19.74,37.09,1100.1,16.81,2.94,3.2,0.83,66.34,45.32,683.72,18.5,19.88,15.06,193.94,180.27,13.67,0.06,33.29,0,0,0,51.03,66.78,50.46,58.32,181.57,85.65,0.32,12.49,20.86,52.37,171.69,0.06,27.03,"Nodo 1 - Pies inventariados","IFN3",2003,36,851.94,0,0,24.78,NA,NA,19.25,35.82,1032.41,20.4,2.91,3.14,0.66,71.98,56.96,539.02,16.79,18.04,18.78,185.5,171.34,14.16,NA,NA,0,0,2.07,52.31,76.11,50.63,49.38,174.72,81.41,0.36,14.86,43.21,41.02,180.86,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.61542791,205.13,1.0707052,45.8273876
"78",78,"9_1448","Nodo 3 - Pies inventariados","IFN2",NA,NA,NA,NA,10,35,1167.26,9.7,207.88,28.42,0,6.19,17.61,24.39,468.78,9.83,3.1,3.2,0.94,45.89,40.29,631.93,29.79,32.01,8.5,107.6,97.96,9.63,0.02,24,0,0,0,0,28.85,0,51.92,96.32,46.55,0,14.12,30.32,47.03,138.01,0.02,28.7,"Nodo 1 - Pies inventariados","IFN3",2003,36,1018.59,0,0,25.81,NA,NA,17.96,26.43,550.37,14.13,3.26,3.34,0.64,63.75,53.45,571.06,22.18,23.83,13.93,133.07,120.67,12.41,NA,NA,0,0,0,0,61.43,29.42,49.8,123.97,57.33,0,8.26,14.98,37.58,118.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"79",79,"9_1458","Nodo 3 - Pies inventariados","IFN2",NA,NA,NA,NA,10,30,288.79,1.68,35.82,2.63,0,0.31,10.77,11.41,102.27,3.86,2.35,2.36,0.13,35.94,33.83,66.11,152.42,163.79,3.5,4.86,4.19,0.67,0.02,0.57,0,0,0,0,0,0,3.18,3.39,1.99,0,1.72,6,4.35,14.06,0.04,1.57,"Nodo 1 - Pies inventariados","IFN3",2003,31,63.66,0,0,1.03,NA,NA,14.36,14.36,162.04,7.41,3.11,3.11,0.05,51.61,51.61,24.14,169.16,181.77,7.41,3.6,3.15,0.45,NA,NA,0,0,0,0,0,0,3.06,3.05,1.5,0,0.46,1.18,1.71,4.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"80",80,"9_1459","Nodo 3 - Pies inventariados","IFN2",NA,NA,NA,NA,10,32,1164.38,11.28,206.58,23.47,0,6.7,16.02,24.21,460.4,8.91,2.83,2.97,0.81,48.33,36.79,534.33,32.9,35.35,8.29,87.18,78.9,8.28,0.02,25.2,0,0,0,0,20.65,0,41.13,77.03,37.49,0,11.49,25.68,38.84,113.51,0.04,30.84,"Nodo 1 - Pies inventariados","IFN3",2003,33,671.99,0,0,17.27,NA,NA,18.09,26.12,538.65,11.08,3.11,3.29,0.57,55.49,42.41,381.43,34.83,37.43,11.18,79.52,72.53,6.99,NA,NA,0,0,0,0,32.78,14.3,29.58,72.62,34.46,0,7.59,14.75,28.58,85.39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"81",81,"9_1473","Nodo 3 - Pies inventariados","IFN2",NA,NA,NA,NA,10,42,1112.78,10.97,151.13,32.88,0,5.33,19.4,26.15,538.65,10.96,3.28,3.4,1.01,48.44,41.91,713.75,27.35,29.39,9.44,142.58,130.8,11.78,0.02,22.44,0,0,0,0,62.03,11.68,52.8,130.57,62.15,0,15.76,31.08,54.43,163.42,0.03,25.22,"Nodo 1 - Pies inventariados","IFN3",2003,43,795.77,0,0,25.95,NA,NA,20.38,29.59,690.37,12.29,3.37,3.54,0.78,50.13,41.53,556.4,28.84,30.99,12.52,128.64,119.22,9.42,NA,NA,0,0,0,4.83,64.91,42.72,34.69,119.24,56.65,0,11.78,21.88,42.95,133.26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"82",82,"9_1474","Nodo 3 - Pies inventariados","IFN2",NA,NA,NA,NA,10,33,1623.32,18.86,174.42,41.31,0,5.79,18,25.75,521.39,12.28,2.9,2.99,1.14,60.5,47.68,913.65,20.21,21.72,10.82,209.57,188.72,20.85,0.03,29.79,0,0,0,0,69.63,33.78,99.75,192.85,89.67,0,16.11,31.73,68.38,205.89,0.03,27.45,"Nodo 1 - Pies inventariados","IFN3",2003,34,1213.11,0,0,38.26,NA,NA,20.04,29.61,690.31,15.13,3.07,3.17,0.96,68.11,51.08,823.83,18.98,20.39,15.1,240.39,218.15,22.25,NA,NA,0,0,0,7,118.61,92.61,87.3,224.86,103.65,0,13.31,23.19,63.34,203.49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"83",83,"9_1475","Nodo 3 - Pies inventariados","IFN2",NA,NA,NA,NA,10,30,924.83,6.4,39.95,7.7,0,0.32,10.29,11.3,100.32,5,2.13,2.13,0.33,50.06,44.25,195.74,65.75,70.66,4.5,19.35,16.37,2.98,0.02,0.79,0,0,0,0,0,0,11.73,15.23,7.78,0,3.77,12.6,12.74,36.89,0.03,1.42,"Nodo 1 - Pies inventariados","IFN3",2003,31,509.3,0,0,6.3,NA,NA,12.55,13.6,145.27,8.14,2.51,2.51,0.25,60.87,59.84,152.45,54.46,58.52,7.93,23.21,19.89,3.32,NA,NA,0,0,0,0,0,0,18.2,20.16,9.45,0,2.49,6.76,10.43,29.13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"84",84,"9_1476","Nodo 3 - Pies inventariados","IFN2",NA,NA,NA,NA,10,30,857.11,4.66,161.48,11.56,0.01,2.29,13.1,15.05,177.84,6.32,2.62,2.64,0.47,43.67,41.98,276.68,54.08,58.11,5.5,31.66,27.72,3.94,0.01,6.34,0,0,0,0,0,0,23.24,26.66,13.17,0,6.12,17.41,19.13,55.83,0.03,10.31,"Nodo 1 - Pies inventariados","IFN3",2003,31,413.8,0,0,9.94,NA,NA,17.48,18.83,278.56,9.89,3.31,3.32,0.36,54.09,52.53,221.33,49.71,53.42,10,43.66,39.04,4.63,NA,NA,0,0,0,0,2,0,27.93,39.7,18.55,0,4.16,8.9,16.45,48.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"85",85,"9_1477","Nodo 3 - Pies inventariados","IFN2",NA,NA,NA,NA,10,30,987.68,5.94,166.02,11.85,0,2.38,12.36,15.9,198.58,5.03,2.47,2.51,0.49,44.6,31.63,287.99,63.26,67.98,4.75,30.17,26.25,3.92,0,5.86,0,0,0,0,0,0,21.07,24.67,12.47,0,6.7,19.83,19.62,58.62,0.02,11.29,"Nodo 1 - Pies inventariados","IFN3",2003,31,509.3,0,0,9.85,NA,NA,15.69,19.3,293.09,12.26,2.91,2.95,0.31,61.8,63.54,225.5,36.14,38.84,11.93,43.47,38.3,5.18,NA,NA,0,0,0,0,6.17,0,28.29,39.65,18.2,0,3.19,6.92,14.52,42.82,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA
"86",86,"9_1488","Nodo 3 - Pies inventariados","IFN2",NA,NA,NA,NA,10,41,2807.63,54.54,206.05,58.19,0,6.37,16.24,24.57,477.31,12.82,2.47,2.55,1.43,74.48,52.18,1320.36,14.72,15.82,11.15,328.7,289.96,38.73,0.03,34.85,0,0,0,0,78.98,37.63,198.45,301.81,137.77,0,19.5,39.39,96.32,292.98,0.03,30.65,"Nodo 1 - Pies inventariados","IFN3",2003,42,2069.01,0,0,53.25,NA,NA,18.1,26.38,551.97,14.83,2.84,2.91,1.3,68.66,56.21,1175.92,14.83,15.93,14.7,320.45,287.42,33.03,NA,NA,0,0,0,2.49,139.43,69.32,142.45,298.53,136.57,0,21.15,52.91,86.82,297.45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.39265799,159.15,0.4790415,28.3840842
"87",87,"9_1489","Nodo 3 - Pies inventariados","IFN2",NA,NA,NA,NA,10,40,853.26,8.21,97.53,34,0,4.11,22.53,31.47,782.36,13.38,3.7,3.81,0.97,47.62,42.53,710.99,25.58,27.49,11.75,169.75,158.49,11.27,0.03,20.23,0,0,0,9.04,85.57,59.25,44.51,157.87,75.3,0,16.11,28.83,56.28,176.53,0.03,19.98,"Nodo 1 - Pies inventariados","IFN3",2003,41,693.21,0,0,33.9,NA,NA,24.95,36.35,1042.49,15.39,4.23,4.35,1.03,39.28,42.35,690.9,24.67,26.51,15.52,178.04,170.03,8,NA,NA,0,0,0,52.65,88.45,70.54,21.63,166.48,80.79,0.08,33.13,108,56.11,278.11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.86343903,173.3,1.0888596,111.6547062
"88",88,"9_1490","Nodo 3 - Pies inventariados","IFN2",NA,NA,NA,NA,10,30,1567.89,15.79,218.48,26.07,0,7.15,14.55,26.84,569.65,9.77,2.59,2.72,0.91,46.75,36.42,608.1,25.84,27.77,6.94,87.46,78.94,8.51,0.03,27.44,0,0,0,0,19.01,0,42.9,75.81,37.51,0,13.4,32.34,43.16,126.4,0.03,33.8,"Nodo 1 - Pies inventariados","IFN3",2003,31,930.17,0,0,20.2,NA,NA,16.63,25.44,523.46,11.63,2.93,3.04,0.67,56.17,45.71,455.72,28.2,30.3,11.64,93.99,84.7,9.29,NA,NA,0,0,0,2.75,22.92,6.66,45.73,86.21,40.24,0,12.5,45.9,33.44,132.09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.02008784,127.32,0.1820676,37.0959552
