"","TREE_ID","INVENTORY_ID_IFN2","PLOT_ID.x","TREE_ID_IFN3_2.x","TREE_ID_IFN3.x","TREE_ID_IFN2.x","TREE_ID_compare","expan_IFN2","dbh_IFN2","h_IFN2","g_IFN2","bal_IFN2","circ_normal_IFN2","esbeltez_IFN2","cr_IFN2","lcw_IFN2","hcb_IFN2","hlcw_IFN2","vob_IFN2","vub_IFN2","vbark_IFN2","v_desenrollo.x","v_chapa.x","v_sierra_gruesa_IFN2","v_sierra_IFN2","v_sierra_canter_IFN2","v_poste.x","v_estaca.x","v_trituracion_IFN2","wsw_IFN2","wthickb_IFN2","wb2_7_IFN2","wtbl_IFN2","wr_IFN2","wt_IFN2","sheet_SM4_IFN2","dbh_i_IFN2","h_i_IFN2","dbh","TREE_ID.y","INVENTORY_ID_IFN3","PLOT_ID.y","TREE_ID_IFN3_2.y","TREE_ID_IFN3.y","TREE_ID_IFN2.y","expan_IFN3","dbh_IFN3","h_IFN3","g_IFN3","bal_IFN3","g_ha","circ_normal_IFN3","esbeltez_IFN3","cr_IFN3","lcw_IFN3","hcb_IFN3","hlcw_IFN3","vob_IFN3","vub_IFN3","vbark_IFN3","v_ha","v_desenrollo.y","v_chapa.y","v_sierra_gruesa_IFN3","v_sierra_IFN3","v_sierra_canter_IFN3","v_poste.y","v_estaca.y","v_trituracion_IFN3","wsw_IFN3","wthickb_IFN3","wb2_7_IFN3","wtbl_IFN3","wr_IFN3","wt_IFN3","sheet_SM4_IFN3","dbh_i_IFN3","h_i_IFN3"
"56","40_1033_28","IFN2","40_1033",NA,NA,28,NA,31.83,18.34,11.26,264.09,25.1,57.61,61.4,0.39,3.05,6.89,8.16,137.53,122.72,14.81,0,0,0,0,56.78,0,86.51,126.28,58.31,0,9.74,19.5,43.71,131.25,"Nodo 3 - Pies inventariados",4.44,3.26,13.9,"40_1033_43","IFN3","40_1033",43,42,28,31.83,17.47,10.92,239.64,17.93,0.76,54.88,62.5,0.45,3.03,6.02,7.27,121.73,107.96,13.77,3.87,0,0,0,0,0,0,87.72,112.61,51.3,0,8.77,18.16,39.67,117.89,"Nodo 1 - Pies inventariados",3.57,2.92
"57","40_1033_3","IFN2","40_1033",NA,NA,3,NA,31.83,20.03,11.76,315.04,21.3,62.92,58.71,0.4,3.31,7.11,8.44,169.34,152.87,16.47,0,0,0,0,67.58,0,71.92,158.94,72.64,0,11.93,22.51,52.15,159.23,"Nodo 3 - Pies inventariados",4.48,3.26,15.55,"40_1033_4","IFN3","40_1033",4,4,3,31.83,20.04,11.42,315.5,12.39,1,62.97,56.96,0.46,3.48,6.15,7.48,164.42,148.64,15.78,5.23,0,0,0,0,66.97,0,70.7,150.87,70.63,0,12.28,23.33,52.22,158.45,"Nodo 1 - Pies inventariados",4.49,2.92
"58","40_1033_4","IFN2","40_1033",NA,NA,4,NA,31.83,19.87,12.26,310.04,22.3,62.42,61.69,0.39,3.25,7.47,8.84,174.25,156.82,17.43,0,0,0,0,67.35,0,73.84,161.69,74.51,0,11.24,21.09,51.32,158.16,"Nodo 3 - Pies inventariados",4.47,3.26,15.4,"40_1033_7","IFN3","40_1033",7,7,4,31.83,20.12,12.33,317.8,10.37,1.01,63.2,61.31,0.46,3.44,6.62,8.05,179.44,161.75,17.69,5.71,0,0,0,0,69.11,0,72.82,167.25,76.85,0,11.57,21.51,52.6,162.54,"Nodo 1 - Pies inventariados",4.72,3.33
"59","40_1033_5","IFN2","40_1033",NA,NA,5,NA,31.83,24.36,9.78,466.07,7.66,76.53,40.13,0.44,4.29,5.46,6.69,200.44,188.05,12.39,0,0,0,0,149.71,0,44.23,184.64,89.35,0,24.09,42.84,77.14,233.43,"Nodo 3 - Pies inventariados",4.61,3.28,19.75,"40_1033_8","IFN3","40_1033",8,8,5,14.15,24.85,11.08,485.02,4.23,0.69,78.07,44.6,0.48,4.4,5.71,7.04,237.07,221.84,15.23,3.35,0,0,0,0,162.77,0,46.6,219.59,105.41,0,22.73,38.74,80.28,247.16,"Nodo 1 - Pies inventariados",5.1,4.58
"60","40_1033_6","IFN2","40_1033",NA,NA,6,NA,31.83,17.72,10.76,246.6,27.56,55.67,60.71,0.38,2.96,6.62,7.84,123.09,109.48,13.61,0,0,0,0,0,0,87.68,113.71,52.02,0,9.24,19.06,40.82,121.13,"Nodo 3 - Pies inventariados",4.42,3.26,13.3,"40_1033_9","IFN3","40_1033",9,9,6,31.83,17.94,11.25,252.64,17.13,0.8,56.35,62.73,0.45,3.1,6.19,7.48,131.89,117.29,14.6,4.2,0,0,0,0,0,0,88.53,121.03,55.73,0,9.17,18.59,41.82,125.31,"Nodo 1 - Pies inventariados",4.64,3.75
"61","40_1033_7","IFN2","40_1033",NA,NA,7,NA,31.83,18.55,10.76,270.19,24.24,58.27,58.01,0.39,3.12,6.53,7.77,133.95,119.98,13.97,0,0,0,0,57.11,0,73.34,123.77,57.01,0,10.47,21.07,44.72,133.26,"Nodo 3 - Pies inventariados",4.45,3.26,14.1,"40_1033_10","IFN3","40_1033",10,10,7,31.83,16.89,11.25,224.13,18.7,0.71,53.07,66.6,0.45,2.91,6.24,7.52,118.09,104.05,14.04,3.76,0,0,0,0,0,0,85.97,108.37,49.44,0,7.78,16.29,37.1,110.62,"Nodo 1 - Pies inventariados",2.79,3.75
"62","40_1033_8","IFN2","40_1033",NA,NA,8,NA,14.15,30.7,12.28,740.04,0,96.43,40,0.45,5.21,6.78,8.27,389.68,374.98,14.69,0,0,0,0,279.58,247.6,27.24,367.13,178.17,0,37.01,54.78,122.49,392.44,"Nodo 3 - Pies inventariados",4.7,3.28,26,"40_1033_11","IFN3","40_1033",11,11,8,14.15,31.65,12.33,786.91,0,1.11,99.44,38.96,0.49,5.52,6.28,7.75,414.33,400.51,13.81,5.86,0,0,0,159.57,290.18,257.41,26.54,391.84,190.3,0,40.09,58.3,130.25,418.94,"Nodo 1 - Pies inventariados",5.65,3.33
"63","40_1033_9","IFN2","40_1033",NA,NA,9,NA,31.83,20.5,10.76,330.22,18.15,64.42,52.5,0.41,3.48,6.37,7.63,161.27,146.69,14.57,0,0,0,0,68.75,0,67.06,149.05,69.7,0,13.78,26.25,54.66,164.39,"Nodo 3 - Pies inventariados",4.5,3.26,16,"40_1033_12","IFN3","40_1033",12,12,9,31.83,19.56,10.42,300.47,15.35,0.96,61.45,53.26,0.46,3.44,5.65,6.86,142.82,129.17,13.66,4.55,0,0,0,0,62.21,0,69.22,129.06,61.37,0,12.47,24.58,49.73,148.15,"Nodo 1 - Pies inventariados",3.56,2.92
"64","40_1062_1","IFN2","40_1062",NA,NA,1,NA,133.64,14.34,8.06,161.61,21.07,45.06,56.16,0.45,2.61,4.46,5.44,61.6,53.73,7.87,0,0,0,0,0,0,50.85,54.73,25.53,0,6.71,16.71,26.75,75.7,"Nodo 3 - Pies inventariados",4.34,3.06,10,"40_1062_1","IFN3","40_1062",1,1,1,31.83,13.34,8.33,139.82,15,0.45,41.92,62.46,0.49,2.48,4.22,5.25,55.83,48.09,7.75,1.78,0,0,0,0,0,0,47.02,49.09,22.85,0,5.34,13.71,23.14,65.04,"Nodo 1 - Pies inventariados",3.34,3.33
"65","40_1062_10","IFN2","40_1062",NA,NA,10,NA,127.32,14.66,7.56,168.84,18.92,46.06,51.55,0.46,2.7,4.11,5.06,60,52.66,7.34,0,0,0,0,0,0,49.75,54.01,25.02,0,7.55,18.88,27.95,79.39,"Nodo 3 - Pies inventariados",4.36,3.06,10.3,"40_1062_13","IFN3","40_1062",13,13,10,31.83,13.87,7.83,151.14,14.52,0.48,43.58,56.47,0.5,2.61,3.93,4.92,56.24,48.86,7.38,1.79,0,0,0,0,0,0,48.34,50.14,23.21,0,6.28,16.04,25.02,70.55,"Nodo 1 - Pies inventariados",3.57,3.33
