"","PLOT_ID","Hoja_arboles.x","INVENTORY_ID_IFN2","Anho.x","T_IFN2","N_IFN2","N_muerto_IFN2","N_incorporado_IFN2","G_IFN2","G_muerta_IFN2","G_incorporada_IFN2","dg_IFN2","Do_IFN2","Seccion_dominante_IFN2","Ho_IFN2","d_copa_IFN2","Do_copa_IFN2","FCC_IFN2","Esbeltez.x","Esbeltez_dominante.x","SDI_IFN2","Hart_IFN2","Hart_tresbolillo_IFN2","SI_IFN2","VOB_IFN2","VUB_IFN2","VBARK_IFN2","V_muerto_IFN2","V_incorporado_IFN2","V_sierra_gruesa_IFN2","V_sierra_IFN2","V_sierra_canter_IFN2","V_trituracion_IFN2","WSW_IFN2","WB2_t_IFN2","WTBL_IFN2","WR_IFN2","WT_IFN2","WT_muerta_IFN2","WT_incorporada_IFN2","ID_escenario","Hoja_arboles.y","INVENTORY_ID_IFN3","Anho.y","T_IFN3","N_IFN3","N_muerto_IFN3.x","N_incorporado_IFN3.x","G_IFN3","G_muerta_IFN3.x","G_incorporada_IFN3.x","dg_IFN3","Do_IFN3","Seccion_dominante_IFN3","Ho_IFN3","d_copa_IFN3","Do_copa_IFN3","FCC_IFN3","Esbeltez.y","Esbeltez_dominante.y","SDI_IFN3","Hart_IFN3","Hart_tresbolillo_IFN3","SI_IFN3","VOB_IFN3","VUB_IFN3","VBARK_IFN3","V_muerto_IFN3.x","V_incorporado_IFN3.x","V_sierra_gruesa_IFN3","V_sierra_IFN3","V_sierra_canter_IFN3","V_trituracion_IFN3","WSW_IFN3","WB2_t_IFN3","WTBL_IFN3","WR_IFN3","WT_IFN3","WT_muerta_IFN3.x","WT_incorporada_IFN3.x","G_incorporada_IFN3.y","N_incorporado_IFN3.y","V_incorporado_IFN3.y","WT_incorporada_IFN3.y","G_cortada_IFN3","N_cortado_IFN3","V_cortado_IFN3","WT_cortada_IFN3","G_muerta_IFN3.y","N_muerto_IFN3.y","V_muerto_IFN3.y","WT_muerta_IFN3.y"
"11","19_2197","Nodo 3 - Pies inventariados","IFN2",10,31,226.35,0,0,14.41,NA,0,28.47,31.92,802.1,9.66,4.35,4.41,0.35,33.17,30.25,279.77,68.82,73.95,19.99,62.76,42.57,20.18,0,0,0,12.39,32.15,58.13,30.28,3.31,6.97,12.33,52.89,NA,0,"Nodo 1 - Pies inventariados",25,"IFN3",2003,30,173.3,0,0,10.53,NA,NA,27.82,31.25,769.41,9.63,4.28,4.36,0.26,31.93,30.83,206.21,78.86,84.74,18.91,44.24,29.99,14.25,NA,NA,0,10.04,20.73,40.88,21.63,2.41,5.08,8.97,38.09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","19_2200","Nodo 3 - Pies inventariados","IFN2",10,21,766.89,0,34.77,17.67,NA,0.35,17.13,21.88,378.07,8.73,2.64,2.68,0.43,40.62,39.92,414.18,41.34,44.43,24.44,60.78,39.6,21.18,0,0.84,0,0,15.93,54.38,29.54,2.32,7.29,10.15,49.29,NA,0.29,"Nodo 1 - Pies inventariados",25,"IFN3",2003,20,523.44,0,0,9.77,NA,NA,15.42,19.95,313.84,9.92,2.36,2.42,0.24,58.07,49.74,238.12,44.05,47.34,23.6,43.33,28.23,15.1,NA,NA,0,0,12.12,38.71,18.95,1.18,3.92,5.27,29.32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","19_241","Nodo 3 - Pies inventariados","IFN2",10,30,701.78,0,33.33,15.74,NA,0.35,16.9,21.7,370.18,10.78,2.59,2.62,0.38,51.83,49.65,370.75,35.03,37.64,20.49,67.04,43.81,23.23,0,1.08,0,0,13.82,60.57,30.06,2.01,6.45,8.89,47.41,NA,0.35,"Nodo 1 - Pies inventariados",25,"IFN3",2003,30,891.27,0,0,18.32,NA,NA,16.18,21.63,367.79,10.5,2.44,2.49,0.43,55.36,48.53,438.7,31.9,34.28,20.08,80.61,52.63,27.98,NA,NA,0,0,19.34,73.3,35.56,2.29,7.45,10.16,55.46,NA,NA,10.37883993,604.77,43.7748441,29.8094316,NA,NA,NA,NA,NA,NA,NA,NA
"14","19_242","Nodo 3 - Pies inventariados","IFN2",10,30,63.66,0,0,2.7,NA,0,23.23,23.06,423.94,10.03,3.73,3.76,0.07,43.5,43.5,56.5,124.96,134.28,18.71,12.72,8.51,4.21,0,0,0,0,7.98,11.8,5.77,0.49,1.22,1.95,9.42,NA,0,"Nodo 1 - Pies inventariados",25,"IFN3",2003,30,120.25,0,0,4.85,NA,NA,22.65,23.04,421.43,8.87,3.62,3.64,0.13,38.73,38.49,102.42,102.85,110.52,17.93,19.94,13.27,6.66,NA,NA,0,0,10.99,18.24,9.46,0.85,2.17,3.42,15.9,NA,NA,2.99118522,74.28,12.5948814,9.9002974,NA,NA,NA,NA,NA,NA,NA,NA
"15","19_248","Nodo 3 - Pies inventariados","IFN2",10,35,109.64,0,0,4.89,NA,0,23.83,23.85,453.64,11.41,3.73,3.76,0.12,48.24,47.85,101.39,83.68,89.92,18.52,26.23,17.65,8.58,0,0,0,2.4,16.33,24.4,11.39,0.91,2.23,3.6,18.14,NA,0,"Nodo 1 - Pies inventariados",25,"IFN3",2003,35,113.18,0,0,6.71,NA,NA,27.47,27.67,613.45,10.15,4.28,4.32,0.17,37.7,36.69,131.97,92.6,99.5,18.21,32.76,22.26,10.49,NA,NA,0,5.62,18.59,30.43,14.99,1.49,3.21,5.58,25.27,NA,NA,3.1663738,56.6,13.925864,11.1998665,NA,NA,NA,NA,NA,NA,NA,NA
"16","19_259","Nodo 3 - Pies inventariados","IFN2",10,35,536.85,0,20.48,22.78,NA,0.22,23.24,30.58,741.48,12.36,3.37,3.49,0.51,47.65,40.43,476.73,34.92,37.52,21.26,116.47,78.46,38.01,0,0.94,0,14.81,62.21,108.36,51.67,4.46,10.48,17.31,83.92,NA,0.29,"Nodo 1 - Pies inventariados",25,"IFN3",2003,35,456.24,0,0,22.97,NA,NA,25.32,32,814.84,12.5,3.7,3.79,0.51,44.78,39.05,465.72,37.47,40.26,20.69,120.73,81.77,38.95,NA,NA,0,18.86,65.11,112.83,53.59,4.82,10.79,18.35,87.55,NA,NA,7.83991981,173.33,41.3390234,29.1442349,0,0,0,NA,NA,NA,NA,NA
"17","19_262","Nodo 3 - Pies inventariados","IFN2",10,40,1471.7,0,42.84,52.92,NA,0.42,21.4,28.71,647.73,11.54,2.98,3.06,1.08,49.82,40.21,1142.1,22.58,24.27,19.04,265.31,177.25,88.06,0,1.46,0,4.36,143.57,246,116.76,9.15,23.56,36.92,186.38,NA,0.62,"Nodo 1 - Pies inventariados",25,"IFN3",2003,40,633.08,0,0,27.85,NA,NA,23.67,28.61,644.21,13.35,3.44,3.48,0.6,52.88,46.66,578.98,29.77,31.99,20.2,160.32,107.98,52.34,NA,NA,0,4.65,98.15,150.32,67.82,5.18,12.68,20.5,106.17,NA,NA,6.60110235,141.5,38.7731225,25.438021,0,0,0,NA,NA,NA,NA,NA
"18","19_270","Nodo 3 - Pies inventariados","IFN2",10,35,91.96,0,0,6.76,NA,0,30.6,30.39,735.59,12.62,4.71,4.74,0.16,41.55,41.55,127.84,82.6,88.76,20.71,38.94,26.71,12.23,0,0,0,10.71,21.34,36.62,17.15,1.67,3.34,6.08,28.25,NA,0,"Nodo 1 - Pies inventariados",25,"IFN3",2003,35,99.03,0,0,8.28,NA,NA,32.62,31.99,835.61,11.64,4.95,5.05,0.2,36.39,36.39,152.74,86.31,92.75,19.81,44.45,30.64,13.8,NA,NA,0,18.66,16.4,41.75,20.38,2.29,4.2,8.04,34.91,NA,NA,2.2740465,42.45,11.2290155,8.402553,NA,NA,NA,NA,NA,NA,NA,NA
"19","19_271","Nodo 3 - Pies inventariados","IFN2",10,35,1440.34,0,25.63,54.73,NA,0.23,22,30.23,718.34,13.83,2.99,3.07,1.07,61.28,45.74,1169.17,19.05,20.47,23.37,340.1,228.78,111.32,0,1.05,0,20.24,196.17,318.36,138.98,9.78,24.59,39.08,212.43,NA,0.34,"Nodo 1 - Pies inventariados",25,"IFN3",2003,35,445.63,0,0,24.72,NA,NA,26.58,32.14,814.07,15.77,3.77,3.84,0.52,57.78,49.06,492.28,30.04,32.28,23.98,171.48,117.12,54.36,NA,NA,0,36.12,105.83,162.25,69.19,5.36,11.75,20.26,106.56,NA,NA,7.28562275,141.5,49.4968415,30.3946245,0,0,0,NA,NA,NA,NA,NA
"20","19_274","Nodo 3 - Pies inventariados","IFN2",10,35,484.54,0,0,22.82,NA,0,24.49,28.82,652.92,11.44,3.66,3.7,0.52,41.65,39.71,468.39,39.7,42.66,20.59,109.02,73.33,35.69,0,0,0,4.41,63.22,101.17,49.67,4.41,10.51,17.26,81.85,NA,0,"Nodo 1 - Pies inventariados",25,"IFN3",2003,35,311.24,0,0,22.24,NA,NA,30.16,33.77,897.8,12.56,4.47,4.5,0.5,39.42,37.18,422.58,45.14,48.51,20.62,120.08,82.13,37.95,NA,NA,0,32.81,63.37,112.62,53.97,5.37,10.91,19.72,89.98,NA,NA,11.45047715,169.8,61.1383295,45.566679,0,0,0,NA,NA,NA,NA,NA
