"","TREE_ID","INVENTORY_ID_IFN2","PLOT_ID.x","expan_IFN2","dbh_IFN2","h_IFN2","g_IFN2","bal_IFN2","circ_normal_IFN2","esbeltez_IFN2","cr_IFN2","lcw_IFN2","hcb_IFN2","hlcw_IFN2","vob_IFN2","vub_IFN2","vbark_IFN2","v_sierra_gruesa_IFN2","v_sierra_IFN2","v_sierra_canter_IFN2","v_trituracion_IFN2","wsw_IFN2","wb2_t_IFN2","wtbl_IFN2","wr_IFN2","wt_IFN2","sheet_SM4_IFN2","dbh_i_IFN2","h_i_IFN2","dbh","TREE_ID.y","INVENTORY_ID_IFN3","PLOT_ID.y","TREE_ID_IFN3_2","TREE_ID_IFN3","TREE_ID_IFN2","expan_IFN3","dbh_IFN3","h_IFN3","g_IFN3","bal_IFN3","g_ha","circ_normal_IFN3","esbeltez_IFN3","cr_IFN3","lcw_IFN3","hcb_IFN3","hlcw_IFN3","vob_IFN3","vub_IFN3","vbark_IFN3","v_ha","v_sierra_gruesa_IFN3","v_sierra_IFN3","v_sierra_canter_IFN3","v_trituracion_IFN3","wsw_IFN3","wb2_t_IFN3","wtbl_IFN3","wr_IFN3","wt_IFN3","sheet_SM4_IFN3","dbh_i_IFN3","h_i_IFN3"
"981","19_616_13","IFN2","19_616",31.83,18.37,8.68,264.93,29.72,57.7,47.25,0.36,2.73,5.55,6.38,108.61,71.09,37.52,0,0,0,99.36,49.82,3.56,11.04,15.55,79.97,"Nodo 3 - Pies inventariados",4.97,2.18,13.4,"19_616_18","IFN3","19_616",18,18,13,31.83,17.25,10,233.71,29.57,0.74,54.19,57.97,0.35,2.53,6.48,7.45,110.53,72.27,38.26,3.52,0,0,0,101.07,47.63,2.92,9.55,13.04,73.14,"Nodo 1 - Pies inventariados",3.85,3.5
"982","19_616_14","IFN2","19_616",31.83,24.65,11.29,477.35,14.87,77.45,45.8,0.38,3.64,7.03,8.23,247.83,166.68,81.16,0,0,173.1,232.37,109.26,8.97,21.86,35.5,175.59,"Nodo 3 - Pies inventariados",5.3,2.29,19.35,"19_616_20","IFN3","19_616",20,20,14,14.15,27.8,11.5,606.99,10.85,0.86,87.34,41.37,0.39,4.11,7.07,8.31,318.1,215.86,102.24,4.5,0,0,205.63,296.7,142.47,13.08,28.89,49.71,234.15,"Nodo 1 - Pies inventariados",8.45,2.5
"983","19_616_15","IFN2","19_616",31.83,21.73,10.24,370.71,24.51,68.25,47.14,0.36,3.2,6.53,7.55,176.54,117.4,59.14,0,0,80.41,161.27,78.73,6.03,16.31,24.9,125.97,"Nodo 3 - Pies inventariados",5.13,2.24,16.6,"19_616_21","IFN3","19_616",21,21,15,14.15,22.7,11.5,404.71,23.2,0.57,71.31,50.66,0.36,3.31,7.4,8.57,215.16,143.92,71.24,3.04,0,0,150.31,200.69,92.8,6.92,18.05,28.16,145.94,"Nodo 1 - Pies inventariados",6.1,3.5
"984","19_616_16","IFN2","19_616",31.83,22.52,10.79,398.41,22,70.76,47.91,0.36,3.31,6.86,7.96,199.15,132.94,66.21,0,0,144.27,184.7,87.75,6.75,17.73,27.55,139.78,"Nodo 3 - Pies inventariados",5.17,2.29,17.35,"19_616_22","IFN3","19_616",22,22,16,31.83,21.55,10.5,364.74,25.56,1.16,67.7,48.72,0.36,3.16,6.74,7.79,178.09,118.43,59.66,5.67,0,0,79.62,166.3,78.59,5.88,16,24.34,124.82,"Nodo 1 - Pies inventariados",4.2,2
"985","19_616_17","IFN2","19_616",31.83,23.34,9.6,427.95,19.32,73.33,41.13,0.38,3.47,5.97,6.94,190.37,127.04,63.32,0,0,90.88,176.3,88.05,7.56,19.26,30.46,145.32,"Nodo 3 - Pies inventariados",5.24,2.1,18.1,"19_616_24","IFN3","19_616",24,24,17,31.83,22.15,12.5,385.33,24.33,1.23,69.59,56.43,0.35,3.2,8.16,9.44,222.62,148.95,73.68,7.09,0,0,147.34,209.71,92.77,6.41,17.06,26.29,142.52,"Nodo 1 - Pies inventariados",4.05,5
"986","19_616_18","IFN2","19_616",31.83,24.17,10.72,458.72,17.86,75.92,44.35,0.37,3.57,6.71,7.82,226.67,152.04,74.63,0,0,165.09,211.15,101.44,8.43,20.88,33.57,164.31,"Nodo 3 - Pies inventariados",5.27,2.22,18.9,"19_616_26","IFN3","19_616",26,26,18,14.15,24.4,10.5,467.59,20.03,0.66,76.65,43.03,0.37,3.6,6.61,7.68,226.31,151.83,74.48,3.2,0,0,166.82,211.33,102.2,8.68,21.35,34.48,166.72,"Nodo 1 - Pies inventariados",5.5,2
"987","19_616_19","IFN2","19_616",31.83,19.79,9.18,307.65,26.85,62.18,46.4,0.36,2.93,5.84,6.74,132.59,87.37,45.22,0,0,65.42,119.5,60.43,4.5,13.14,19.17,97.24,"Nodo 3 - Pies inventariados",5.04,2.18,14.75,"19_616_27","IFN3","19_616",27,27,19,31.83,18.55,10.5,270.26,28.71,0.86,58.28,56.6,0.35,2.72,6.82,7.85,133.37,87.75,45.61,4.25,0,0,59.62,121.68,57.24,3.67,11.3,15.99,88.2,"Nodo 1 - Pies inventariados",3.8,3.5
"988","19_616_2","IFN2","19_616",31.83,22.91,9.61,412.4,20.68,71.99,41.96,0.38,3.41,6.01,6.98,183.96,122.61,61.35,0,0,87.82,170.57,84.75,7.13,18.45,28.92,139.25,"Nodo 3 - Pies inventariados",5.21,2.11,17.7,"19_616_2","IFN3","19_616",2,2,2,14.15,25.2,11,498.76,17.24,0.71,79.17,43.65,0.37,3.72,6.89,8.04,252.03,169.66,82.37,3.57,0,0,176.85,232.62,112.61,9.61,23.01,37.75,182.98,"Nodo 1 - Pies inventariados",7.5,3.5
"989","19_616_20","IFN2","19_616",14.15,28.44,11.76,635.29,1.81,89.35,41.34,0.41,4.23,6.99,8.32,339.62,230.95,108.67,0,0,213.29,319.15,151.55,14.05,30.46,52.99,249.06,"Nodo 3 - Pies inventariados",5.49,2.26,22.95,"19_616_28","IFN3","19_616",28,28,20,14.15,30.7,11.5,740.23,2.23,1.05,96.45,37.46,0.41,4.58,6.83,8.13,385.21,263.24,121.97,5.45,0,160.55,214.45,359.3,175.73,17.87,36.37,65.66,295.63,"Nodo 1 - Pies inventariados",7.75,2
"990","19_616_21","IFN2","19_616",14.15,28.62,10.62,643.28,0,89.91,37.12,0.42,4.31,6.19,7.38,311.37,211.33,100.04,0,0,207.99,290.77,144.25,14.33,30.91,53.93,243.42,"Nodo 3 - Pies inventariados",5.52,2.12,23.1,"19_616_30","IFN3","19_616",30,30,21,14.15,30.6,11,735.42,3.27,1.04,96.13,35.95,0.41,4.58,6.53,7.75,366.53,250.16,116.38,5.19,0,158.11,212.59,342.82,169.8,17.68,36.1,65.06,288.64,"Nodo 1 - Pies inventariados",7.5,2.5
