"","X.2","X.1","X","PLOT_ID","Hoja_arboles.x","INVENTORY_ID_IFN2","Anho.x","T_IFN2","N_IFN2","N_muerto_IFN2","N_incorporado_IFN2","G_IFN2","G_muerta_IFN2","G_incorporada_IFN2","dg_IFN2","Do_IFN2","Seccion_dominante_IFN2","Ho_IFN2","d_copa_IFN2","Do_copa_IFN2","FCC_IFN2","Esbeltez.x","Esbeltez_dominante.x","SDI_IFN2","Hart_IFN2","Hart_tresbolillo_IFN2","SI_IFN2","VOB_IFN2","VUB_IFN2","VBARK_IFN2","V_muerto_IFN2","V_incorporado_IFN2","V_desenrollo.x","V_chapa.x","V_sierra_gruesa_IFN2","V_sierra_IFN2","V_sierra_canter_IFN2","V_postes.x","V_estacas.x","V_trituracion_IFN2","WSW_IFN2","WTHICKB_IFN2","WB2_7_IFN2","WTBL_IFN2","WR_IFN2","WT_IFN2","WT_muerta_IFN2","WT_incorporada_IFN2","Hoja_arboles.y","INVENTORY_ID_IFN3","Anho.y","T_IFN3","N_IFN3","N_muerto_IFN3.x","N_incorporado_IFN3.x","G_IFN3","G_muerta_IFN3.x","G_incorporada_IFN3.x","dg_IFN3","Do_IFN3","Seccion_dominante_IFN3","Ho_IFN3","d_copa_IFN3","Do_copa_IFN3","FCC_IFN3","Esbeltez.y","Esbeltez_dominante.y","SDI_IFN3","Hart_IFN3","Hart_tresbolillo_IFN3","SI_IFN3","VOB_IFN3","VUB_IFN3","VBARK_IFN3","V_muerto_IFN3.x","V_incorporado_IFN3.x","V_desenrollo.y","V_chapa.y","V_sierra_gruesa_IFN3","V_sierra_IFN3","V_sierra_canter_IFN3","V_postes.y","V_estacas.y","V_trituracion_IFN3","WSW_IFN3","WTHICKB_IFN3","WB2_7_IFN3","WTBL_IFN3","WR_IFN3","WT_IFN3","WT_muerta_IFN3.x","WT_incorporada_IFN3.x","G_incorporada_IFN3.y","N_incorporado_IFN3.y","V_incorporado_IFN3.y","WT_incorporada_IFN3.y","G_cortada_IFN3","N_cortado_IFN3","V_cortado_IFN3","WT_cortada_IFN3","G_muerta_IFN3.y","N_muerto_IFN3.y","V_muerto_IFN3.y","WT_muerta_IFN3.y"
"1",1,1,1,"40_1022","Nodo 3 - Pies inventariados","IFN2",10,35,1054.52,0,110.21,46.93,NA,4.54,23.8,33.56,889.31,15.48,3.54,3.65,1.1,60.4,46.12,967.76,19.9,21.38,11.87,299.41,277.92,21.49,0,27.08,0,0,0,23.84,167.05,136.75,68.57,281.71,132.05,0,17.81,28.06,77.67,255.59,NA,18.8,"Nodo 1 - Pies inventariados","IFN3",2004,37,802.85,0,0,32.94,NA,NA,22.85,34.35,935.28,14.53,3.5,3.7,0.86,58.33,42.29,686.19,24.29,26.1,14.44,196.56,183.4,13.16,NA,NA,0,0,0,26.65,96.65,75.22,49.12,184.45,87.14,0.02,13.34,21.2,54.52,176.22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.61619697,31.83,3.6088854,3.0926028
"2",2,2,2,"40_1033","Nodo 3 - Pies inventariados","IFN2",10,35,1224.57,0,160,40.42,NA,5.66,20.5,27.29,587.69,12.53,3.35,3.42,1.12,53.01,45.92,865.22,22.8,24.5,8.71,201.01,184.08,16.93,0,26.43,0,0,0,0,92.97,39.54,74.24,186.05,87.46,0,17.21,32.01,66.9,203.58,NA,22.37,"Nodo 1 - Pies inventariados","IFN3",2004,37,700.28,0,0,22.43,NA,NA,20.19,26.48,555.81,11.66,3.48,3.54,0.69,55.19,44.04,482.01,32.4,34.82,11.47,113.31,103.28,10.03,NA,NA,0,0,0,2.26,44.83,12.33,46.44,104.8,49.07,0,9.32,17.43,37.13,112.95,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA
"3",3,3,3,"40_1062","Nodo 3 - Pies inventariados","IFN2",10,38,1161.53,0,142.94,29.29,NA,4.12,17.92,24.41,468.04,10.54,3.16,3.22,0.94,49.12,43.17,648.52,27.84,29.92,6.87,118.7,107.45,11.25,0,16.68,0,0,0,0,32.57,0,62.95,107.46,51.06,0,13.63,28.82,48.48,141.99,NA,15.89,"Nodo 1 - Pies inventariados","IFN3",2004,40,679.06,0,0,16.67,NA,NA,17.68,22.88,415.29,9.74,3.23,3.31,0.58,49.6,42.57,370.29,39.4,42.34,9.72,65.97,59.69,6.27,NA,NA,0,0,0,0,10.24,0,34.38,59.49,28.36,0,7.94,16.82,27.59,80.71,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4",4,4,4,"40_1089","Nodo 3 - Pies inventariados","IFN2",10,42,453.07,0,120.61,18.83,NA,4.84,23,26.08,535.94,10.43,4.09,4.12,0.6,46.64,40,391.68,45.04,48.4,7.79,89.53,83.09,6.44,0,21.33,0,0,0,0,49.97,15.12,24.17,82.88,39.48,0,8.73,15.52,31.17,94.9,NA,18.97,"Nodo 1 - Pies inventariados","IFN3",2004,44,275.87,0,0,10.5,NA,NA,22.02,24.85,491.34,10.52,4.07,4.12,0.33,47.26,42.33,220.88,57.25,61.52,10.59,42.58,39.4,3.18,NA,NA,0,0,0,0,21.57,2.71,14.08,39.34,18.72,0,4.41,8.02,15.42,46.57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5",5,5,5,"40_1141","Nodo 3 - Pies inventariados","IFN2",10,29,930.86,0,103.26,41.34,NA,4.48,23.78,29.13,667.31,13.65,3.73,3.77,1.04,56.57,46.86,852.71,24.01,25.8,10.19,246.42,227.64,18.78,0,24.72,0,0,0,2.72,149.09,111.57,59.19,231.32,108.16,0,16.17,26.59,68.42,219.33,NA,18.25,"Nodo 1 - Pies inventariados","IFN3",2004,31,650.77,0,0,29.92,NA,NA,24.19,31.2,766.88,14.38,3.85,3.91,0.78,58.3,46.09,614.53,27.26,29.29,14.51,187.56,173.81,13.75,NA,NA,0,0,0,14.03,113.51,88.49,43.08,176.7,82.58,0,11.44,18.24,49.52,161.78,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",6,6,6,"40_1145","Nodo 3 - Pies inventariados","IFN2",10,38,520.53,0,74.89,28.82,NA,3.56,26.55,33.66,893.22,13.24,4.3,4.38,0.78,50.52,39.34,578.35,33.1,35.57,9.81,166.83,157.22,9.61,0,19.31,0,0,0,22.59,97.51,87.97,27.27,157.41,74.7,0,12.54,19.24,47.7,154.18,NA,14.69,"Nodo 1 - Pies inventariados","IFN3",2004,40,205.13,0,0,12.58,NA,NA,27.95,32.66,846.96,12.25,4.83,4.97,0.4,45.92,37.49,249.31,57.02,61.27,12.48,68.09,64.98,3.11,NA,NA,0,0,0,17.6,35.88,32.79,10.02,63.8,30.87,0,6.11,9.15,20.83,66.96,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA
"7",7,7,7,"40_1396","Nodo 3 - Pies inventariados","IFN2",10,28,29.43,0,0,4.04,NA,0,41.79,40.54,1371.38,11.1,7.82,8.04,0.15,27.39,27.39,72.3,166.05,178.44,8.12,18.8,19.23,-0.42,0,0,0,0,0,10.53,4.5,3.09,0.36,17.69,9.13,1,2.84,3.5,6.68,23.16,NA,0,"Nodo 1 - Pies inventariados","IFN3",2004,30,10.19,0,0,2.4,NA,NA,54.73,54.69,2352.43,9.96,11.05,11.06,0.1,18.21,18.21,40.13,314.64,338.1,9.96,9.25,9.83,-0.57,NA,NA,0,0,2.2,6.84,0,0,0,8.62,4.67,1.29,2.23,2.54,3.97,14.7,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA
"8",8,8,8,"40_1808","Nodo 3 - Pies inventariados","IFN2",10,35,2550.74,0,131.58,45.6,NA,2.32,15.09,20.44,328.9,10.14,2.56,2.6,1.35,59.64,49.62,1054.02,19.52,20.97,7,193.14,169.81,23.33,0,9.06,0,0,0,0,11.05,0,135.62,173.43,80.68,0,18.3,42.38,75.48,216.84,NA,8.15,"Nodo 1 - Pies inventariados","IFN3",2004,37,1114.08,0,0,18.99,NA,NA,14.73,20.88,343.18,10.24,2.7,2.78,0.68,47.7,49.04,441.63,29.26,31.44,10.19,70.16,62.74,7.43,NA,NA,0,0,0,0,12.61,0,39.15,62.29,29.81,0,9.37,24.25,31.44,94.87,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA
"9",9,9,9,"42_1194","Nodo 3 - Pies inventariados","IFN2",10,32,1166.99,0,180.23,25.77,NA,4.61,16.77,23.48,433.02,11.47,2.92,2.98,0.82,57.5,48.86,580.11,25.51,27.42,7.87,116.69,104.27,12.42,0,21.16,0,0,0,0,27.75,0,66.35,105.53,49.54,0,10.49,22.35,42.66,125.04,NA,17.13,"Nodo 1 - Pies inventariados","IFN3",2004,34,1779,0,0,21.71,NA,NA,12.47,21.16,354.82,10.76,2.64,2.73,0.44,68.36,50.87,526.33,22.03,23.67,10.66,62.98,55.5,7.48,NA,NA,0,0,0,0,12.23,0,39.86,56.66,26.37,0,5.17,11.38,22.46,65.38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10",10,10,10,"42_124","Nodo 3 - Pies inventariados","IFN2",10,22,271.35,0,80.37,7.02,NA,1.77,18.15,18.82,278.22,8.82,3.56,3.56,0.27,47.49,46.85,154.92,68.85,73.99,5.87,27.7,24.98,2.72,0,6.43,0,0,0,0,0,0,18.19,25.19,11.87,0,3.27,7.04,11.62,33.8,NA,6.27,"Nodo 1 - Pies inventariados","IFN3",2004,24,222.82,0,0,6.45,NA,NA,19.2,20.71,337.67,10.14,3.69,3.7,0.24,51.71,48.99,140.39,66.04,70.97,10.04,29.26,26.48,2.78,NA,NA,0,0,0,0,6.64,0,14.77,26.76,12.58,0,2.77,5.57,10.68,31.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11",11,11,11,"42_586","Nodo 3 - Pies inventariados","IFN2",10,28,867.25,0,135.13,15.54,NA,2.2,15.1,18.25,262.19,8.03,2.88,2.9,0.57,50.18,44,359.06,42.27,45.42,5.07,54.97,48.6,6.38,0,7.05,0,0,0,0,0,0,42.18,47.89,23.09,0,7.19,17.5,25.72,73.5,NA,7.75,"Nodo 1 - Pies inventariados","IFN3",2004,30,254.65,0,0,5.02,NA,NA,15.84,18.17,259.85,8.19,3.17,3.2,0.2,48.31,45.05,114.61,76.55,82.26,8.02,17.96,16,1.95,NA,NA,0,0,0,0,0,0,12.55,15.95,7.6,0,2.38,5.62,8.31,23.91,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14",14,14,14,"42_828","Nodo 3 - Pies inventariados","IFN2",10,30,477.66,0,95.68,6.49,NA,1.4,13.15,14.64,168.42,7.24,2.65,2.66,0.27,53.14,49.46,155.27,63.18,67.89,4.5,21.62,18.76,2.86,0,4.6,0,0,0,0,0,0,17.33,18.73,8.91,0,2.89,7.78,10.74,30.33,NA,4.66,"Nodo 1 - Pies inventariados","IFN3",2004,32,286.48,0,0,3.39,NA,NA,12.28,13.01,135.06,7.49,2.51,2.53,0.14,61.96,57.6,82.53,78.85,84.73,7.43,12.42,10.62,1.8,NA,NA,0,0,0,0,0,0,8.96,10.59,5.05,0,1.34,3.65,5.61,15.65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15",16,17,17,"5_1035","Nodo 3 - Pies inventariados","IFN2",10,45,568.87,0,70.19,32.96,NA,3.32,27.16,37.38,1099.98,13.78,4.31,4.44,0.88,48.07,36.87,657.64,30.43,32.7,10.12,186.17,177.06,9.11,0,17.31,0,0,0,41.97,96.41,70.48,29.15,174.58,84.13,0.04,15.09,22.71,54.55,176.51,NA,13.79,"Nodo 1 - Pies inventariados","IFN3",2002,45,611.86,0,0,37.29,NA,NA,27.85,38.41,1165.17,14.66,4.3,4.44,0.95,50.04,38.16,739.31,27.58,29.64,14.66,222.62,211.99,10.63,NA,NA,0,0,0,57.57,116.06,93.03,32.08,209.64,100.72,0.21,16.62,24.29,61.71,203.55,NA,NA,8.89629855,187.48,52.4556245,47.40466,NA,NA,NA,NA,0.7198105,14.15,4.3727745,3.8608275
"16",17,18,18,"5_1037","Nodo 3 - Pies inventariados","IFN2",10,30,1776.44,0,121.23,37.84,NA,2.17,16.47,21.98,379.66,9.23,2.86,2.9,1.17,52.54,41.97,855.7,25.72,27.63,6.37,152.82,136.44,16.37,0,7.99,0,0,0,0,20.12,0,97.46,137.08,64.83,0,16.65,37.14,62.64,181.25,NA,7.76,"Nodo 1 - Pies inventariados","IFN3",2002,30,594.18,0,0,16.03,NA,NA,18.53,23.05,417.68,8.89,3.45,3.52,0.58,42.5,38.55,351.9,46.17,49.61,8.89,58.36,53.38,4.98,NA,NA,0,0,0,0,13.5,0,26.84,52.64,25.36,0,8.45,18.05,26.53,78.4,NA,NA,3.67796746,102.58,13.9943978,18.228563,0,0,0,NA,NA,NA,NA,NA
"17",18,19,19,"5_390","Nodo 3 - Pies inventariados","IFN2",10,20,357.73,0,103.09,4.86,NA,1.4,13.15,13.8,149.49,7.24,2.68,2.68,0.2,55.13,52.44,116.25,73.07,78.52,4.5,16.78,14.52,2.26,0,4.69,0,0,0,0,0,0,12.09,14.38,6.9,0,2.09,5.59,8.04,22.63,NA,4.5,"Nodo 1 - Pies inventariados","IFN3",2002,20,1559.72,0,0,13.11,NA,NA,10.35,15.65,194.37,5.64,2.06,2.11,0.55,45.87,36.03,333.05,44.92,48.27,5.5,30.45,26.12,4.33,NA,NA,0,0,0,0,0,0,17.6,22.61,12.41,0,7.18,23.73,21.7,65.03,NA,NA,11.55559503,1400.52,26.4185817,57.5737857,NA,NA,NA,NA,NA,NA,NA,NA
"18",19,20,20,"5_614","Nodo 3 - Pies inventariados","IFN2",10,25,951.5,0,92.06,23.13,NA,1.89,17.59,21.52,364.16,9.78,3.17,3.2,0.76,51.77,45.44,514.53,33.15,35.62,7.53,97.26,87.34,9.92,0,7.24,0,0,0,0,20.41,0,57.33,88.13,41.5,0,10.14,21.68,38.29,111.61,NA,6.71,"Nodo 1 - Pies inventariados","IFN3",2002,25,1106.59,0,0,20.81,NA,NA,15.48,25.63,575.28,9.81,2.63,2.71,0.57,49.39,38.27,478.04,30.65,32.94,9.59,53.3,47.15,6.15,NA,NA,0,0,0,0,4.14,0,35.17,46.56,22.4,0,7.47,18.54,25.92,74.34,NA,NA,2.40233742,254.64,6.2364519,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19",20,21,21,"5_615","Nodo 3 - Pies inventariados","IFN2",10,30,1325.56,0,144.27,43.08,NA,5.66,20.34,31.97,808.74,10.46,3.36,3.49,1.27,46.69,32.73,924.01,26.25,28.21,6.65,181.82,168.12,13.69,0,21.9,0,0,0,7.46,66.87,13.89,68.54,166.2,79.88,0,21.5,40.69,71.3,213.37,NA,23.6,"Nodo 1 - Pies inventariados","IFN3",2002,30,548.2,0,0,30.22,NA,NA,26.49,36.56,1063.72,11.06,4.45,4.59,0.91,40.03,30.25,606.8,38.61,41.49,10.94,137.59,131.66,5.93,NA,NA,0,0,0,25.35,69.72,27.72,23.68,127.54,62.56,0.23,16.56,26.58,50.02,155.95,NA,NA,6.27488825,113.2,29.440773,32.14597,0,0,0,NA,0.92638032,31.83,4.1296242,4.5236796
"20",21,22,22,"5_667","Nodo 3 - Pies inventariados","IFN2",10,30,293.31,0,91.71,14.34,NA,4.16,24.95,29.59,692.66,10.17,4.55,4.62,0.49,39.25,34.36,292.36,57.43,61.72,7.35,61.45,58.17,3.27,0,16.33,0,0,0,3.82,37.15,9.66,11.77,56.55,27.64,0,7.76,13.36,23.74,72.5,NA,16.79,"Nodo 1 - Pies inventariados","IFN3",2002,30,102.57,0,0,6.73,NA,NA,28.9,28.33,665.39,8.81,5.49,5.64,0.26,31.16,31.09,132.21,112.09,120.45,8.76,25.85,25.2,0.65,NA,NA,0,0,0,5.08,12.91,3.19,2.9,23.74,11.97,0.01,4.49,7.22,11.14,34.82,NA,NA,0.93602481,31.83,2.8538778,4.6118487,0,0,0,NA,NA,NA,NA,NA
"21",22,23,23,"5_669","Nodo 3 - Pies inventariados","IFN2",10,25,786.69,0,118.24,17.2,NA,2.17,16.68,20.8,339.95,8.48,3.15,3.19,0.63,44.58,40.76,387.61,42.06,45.2,5.37,59.02,53.13,5.89,0,6.72,0,0,0,0,5.01,0,35.67,52.2,25.25,0,8.77,20.23,28.46,82.71,NA,8.02,"Nodo 1 - Pies inventariados","IFN3",2002,25,845.29,0,0,21.58,NA,NA,18.03,25,494.37,8.81,3.29,3.39,0.76,42.48,35.26,477.15,39.02,41.93,8.81,75.29,68.89,6.4,NA,NA,0,0,0,0,18.23,0,36.6,67.05,32.73,0,11.85,25.83,35.73,106.14,NA,NA,11.80305444,498.69,41.8477388,57.4653083,NA,NA,NA,NA,NA,NA,NA,NA
"22",23,24,24,"5_670","Nodo 3 - Pies inventariados","IFN2",10,25,1028.72,0,137.45,17.89,NA,2.36,14.88,20.14,319.4,8.14,2.83,2.87,0.67,46.52,40.42,414.85,38.3,41.15,4.87,57.88,51.38,6.5,0,6.99,0,0,0,0,2.79,0,39.18,50.35,24.41,0,8.97,22.41,29.61,85.4,NA,8.78,"Nodo 1 - Pies inventariados","IFN3",2002,25,880.66,0,0,21.19,NA,NA,17.5,23.61,438.71,8.37,3.28,3.35,0.77,38.64,35.45,471.95,40.26,43.26,8.35,66,60.31,5.69,NA,NA,0,0,0,0,11.64,0,34.8,58.17,28.66,0,12.43,28.58,35.08,104.75,NA,NA,13.10060759,615.39,38.5703412,64.9118953,NA,NA,NA,NA,NA,NA,NA,NA
"23",24,25,25,"5_672","Nodo 3 - Pies inventariados","IFN2",10,30,135.45,0,18.74,10.82,NA,1.11,31.9,34.07,931.47,10.49,5.8,5.93,0.37,33.59,30.79,207.48,81.91,88.02,7.5,47.78,46.84,0.94,0,4.24,0,0,0,17.71,22.94,11.01,3.56,44.69,22.26,0.12,6.69,9.79,17.92,56.77,NA,4.68,"Nodo 1 - Pies inventariados","IFN3",2002,30,254.22,0,0,9.07,NA,NA,21.31,31.05,789.1,10.07,6,6.1,0.28,39.64,32.43,192.21,62.29,66.94,9.63,33.23,32.63,0.59,NA,NA,0,0,0,11.8,16.87,9.76,2.38,30.81,15.5,0.28,4.99,7.36,12.88,41.01,NA,NA,2.07759704,173.3,4.1758065,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24",25,26,26,"5_707","Nodo 3 - Pies inventariados","IFN2",10,28,988.17,0,132.27,36.53,NA,5.17,21.7,27.31,587.49,12.34,3.6,3.65,1.03,50.96,45.2,771.07,25.77,27.69,8.59,182.01,167.52,14.49,0,24.36,0,0,0,0,83.89,37.02,61,168.7,79.59,0,15.79,28.6,60.47,184.45,NA,20.51,"Nodo 1 - Pies inventariados","IFN3",2002,28,901.88,0,0,36.64,NA,NA,22.74,30.35,726.55,14.07,3.59,3.66,0.95,57.06,46.36,764.21,23.66,25.43,14.07,217.05,200.37,16.68,NA,NA,0,0,0,5.22,123.83,92.89,58.48,203.39,95.2,0,14.28,24.02,60.64,194.14,NA,NA,12.56949364,258.23,77.0454149,67.6566257,NA,NA,NA,NA,NA,NA,NA,NA
"25",26,27,27,"5_708","Nodo 3 - Pies inventariados","IFN2",10,41,1057.97,0,127.79,39.71,NA,5.07,21.86,28.91,657.25,11.52,3.59,3.66,1.12,49.6,39.84,836.56,26.69,28.68,7.97,192.6,178,14.59,0,22.85,0,0,0,0,95.94,37.63,61.13,178.38,84.58,0,17.83,32.02,65.73,200.16,NA,20.35,"Nodo 1 - Pies inventariados","IFN3",2002,41,838.22,0,0,27.57,NA,NA,20.47,27.18,581.98,10.61,3.55,3.64,0.87,46.71,39.03,590.54,32.57,34.99,10.51,119.16,109.79,9.37,NA,NA,0,0,0,0,54.25,9.33,42.4,109.41,52.17,0,13.4,25.88,45.64,137.09,NA,NA,5.43546873,145.03,23.9530136,27.2325316,NA,NA,NA,NA,0.45561462,31.83,1.9693221,2.1316551
"26",27,28,28,"5_721","Nodo 3 - Pies inventariados","IFN2",10,20,97.88,0,66.05,2.91,NA,1.68,19.45,19.45,297.11,7.74,4.02,4.02,0.12,39.79,39.79,63.08,130.6,140.33,5,10.14,9.29,0.85,0,5.36,0,0,0,0,0,0,4.78,9.1,4.41,0,1.57,3.35,4.81,14.14,NA,6.26,"Nodo 1 - Pies inventariados","IFN3",2002,20,1460.69,0,0,24.05,NA,NA,14.48,21.33,360.37,7.42,2.68,2.74,0.86,48.47,34.77,561.53,35.28,37.91,7.37,77.76,68.91,8.85,NA,NA,0,0,0,0,2.45,0,51.25,67.34,32.74,0,12.1,30.14,39.8,114.78,NA,NA,23.34452537,1446.5,75.076113,111.2700222,NA,NA,NA,NA,NA,NA,NA,NA
"27",28,29,29,"5_724","Nodo 3 - Pies inventariados","IFN2",10,28,1168.19,0,153.14,37.5,NA,5.84,20.22,28.59,644.18,12.74,3.26,3.34,1.02,58.03,44.55,805.51,22.97,24.69,9.87,202.26,184.44,17.82,0,30.07,0,0,0,4.47,87.63,54.76,78.41,187.33,87.63,0,14.79,27.03,62.06,191.52,NA,23.34,"Nodo 1 - Pies inventariados","IFN3",2002,28,739.19,0,0,28.1,NA,NA,22,29.49,686.92,12.73,3.67,3.76,0.82,51.15,43.17,591.04,28.9,31.05,12.71,144.29,133.61,10.68,NA,NA,0,0,0,6.9,78.61,42.53,40.74,134.3,63.48,0,12.23,21.61,46.51,143.83,NA,NA,8.00721665,205.16,40.9927063,41.0063552,NA,NA,NA,NA,NA,NA,NA,NA
"28",29,30,30,"5_725","Nodo 3 - Pies inventariados","IFN2",10,29,558.25,0,105.54,24.37,NA,4.6,23.57,30.21,722,11.76,4.09,4.15,0.75,44.26,38.93,503.74,35.99,38.67,8.26,113.45,106.19,7.25,0,20.16,0,0,0,3.81,54.12,23.41,27.64,104.94,50.46,0,11.81,20.68,40.33,123.28,NA,18.46,"Nodo 1 - Pies inventariados","IFN3",2002,29,509.3,0,0,28.09,NA,NA,26.5,34.06,920.1,13.17,4.39,4.48,0.8,44.05,38.67,563.96,33.65,36.16,13.3,149.05,141.65,7.4,NA,NA,0,0,0,23.52,85.45,75.28,21.58,139.88,67.3,0.1,13.96,23.16,46.49,151.01,NA,NA,11.96337369,215.78,62.6848226,62.6916841,NA,NA,NA,NA,NA,NA,NA,NA
"29",30,31,31,"5_733","Nodo 3 - Pies inventariados","IFN2",10,36,1403.61,0,102.07,63.34,NA,4.32,23.97,31.27,768.93,14.59,3.58,3.62,1.45,55.83,46.67,1304.06,18.29,19.66,10.81,380.25,352.17,28.08,0,24.25,0,0,0,15.39,234.15,180.54,86.1,357.18,167.33,0,24.8,40.64,104.85,337.62,NA,17.9,"Nodo 1 - Pies inventariados","IFN3",2002,36,912.49,0,0,45.49,NA,NA,25.19,33.22,869.71,14.42,3.84,3.91,1.1,55.78,43.4,924.9,22.96,24.67,14.47,281.71,262.84,18.87,NA,NA,0,0,0,20.16,175.52,139.34,53.91,265.41,124.88,0,18.04,28.15,75.29,246.36,NA,NA,10.4688492,198.1,63.708111,56.433313,0,0,0,NA,NA,NA,NA,NA
"30",31,32,32,"5_980","Nodo 3 - Pies inventariados","IFN2",10,30,86.25,0,54.42,2.87,NA,1.57,20.57,20.57,332.31,7.19,4.29,4.29,0.12,34.98,34.98,61.31,149.66,160.82,4.5,9.18,8.51,0.67,0,4.56,0,0,0,0,5.19,0,3.89,8.28,4.04,0,1.72,3.63,4.74,14.14,NA,6.26,"Nodo 1 - Pies inventariados","IFN3",2002,30,14.15,0,0,0.86,NA,NA,27.8,27.8,606.99,6.5,6.14,6.14,0.04,23.38,23.38,17.04,409.03,439.53,6.5,2.36,2.3,0.06,NA,NA,0,0,0,0,1.35,0,0.32,2.08,1.09,0,0.71,1.3,1.42,4.52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31",32,33,33,"5_984","Nodo 3 - Pies inventariados","IFN2",10,30,745.96,0,116.42,29.77,NA,4.92,22.54,28.63,647.12,11.26,3.86,3.91,0.9,46.21,39.32,622.37,32.52,34.95,7.93,138.57,128.63,9.94,0,21.53,0,0,0,3.36,72.41,27.97,39.49,127.72,61.12,0,13.99,25.18,49.28,149.56,NA,19.78,"Nodo 1 - Pies inventariados","IFN3",2002,30,484.54,0,0,20.13,NA,NA,23,29.49,685,10,4.15,4.22,0.68,38.99,33.92,418.74,45.43,48.82,10,80.47,75.61,4.85,NA,NA,0,0,0,2.25,39.7,12.83,21.47,73.49,35.93,0,11.01,20.24,33.32,100.49,NA,NA,4.50622315,84.9,19.06854,22.7810755,0,0,0,NA,NA,NA,NA,NA
"32",33,34,34,"5_995","Nodo 3 - Pies inventariados","IFN2",10,30,1121.54,0,170.15,35.84,NA,5.84,20.17,27.38,592.8,10.25,3.45,3.54,1.11,44.95,37.44,770.39,29.12,31.3,6.59,146.06,134.78,11.27,0,22.33,0,0,0,0,57.74,10.54,52.58,133.05,64.04,0,18.05,35.28,59.32,176.69,NA,23.51,"Nodo 1 - Pies inventariados","IFN3",2002,30,820.53,0,0,27.8,NA,NA,20.77,28.53,643.58,9.21,3.61,3.76,0.91,40.75,32.28,593.2,37.92,40.74,9.12,106.24,99.11,7.13,NA,NA,0,0,0,2.42,47.47,3.34,31.8,96.26,47.09,0,15.25,29.36,46.01,137.72,NA,NA,8.8990482,183.95,34.251773,44.5664155,NA,NA,NA,NA,NA,NA,NA,NA
"33",34,35,35,"9_1043","Nodo 3 - Pies inventariados","IFN2",10,34,390.43,0,121.63,15.74,NA,4.91,22.66,26.34,548.94,8.65,4.27,4.31,0.57,34.97,32.85,328.7,58.47,62.83,5.34,55.42,52.11,3.31,0,16.12,0,0,0,0,27.27,0,15.16,50.3,24.76,0,9.39,18.12,26.06,78.33,NA,20.47,"Nodo 1 - Pies inventariados","IFN3",2003,35,198.06,0,0,7.68,NA,NA,22.23,24.94,497,9.06,4.22,4.29,0.29,42.22,36.32,161.2,78.45,84.3,9.02,31.48,29.34,2.15,NA,NA,0,0,0,0,15.05,0,10.81,28.76,13.94,0,4.06,7.53,12.72,38.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34",35,36,36,"9_1095","Nodo 3 - Pies inventariados","IFN2",10,29,1500.64,0,163.73,35.17,NA,4.24,17.27,22.55,399.6,11.02,2.96,2.99,1.06,56.7,48.86,785.78,23.43,25.17,7.25,159.93,142.8,17.12,0,19.36,0,0,0,0,23.4,0,100.29,145.58,67.85,0,14.31,30.32,58.21,170.69,NA,15.95,"Nodo 1 - Pies inventariados","IFN3",2003,30,937.25,0,0,21.58,NA,NA,17.12,21.37,359.67,10.07,3.08,3.13,0.72,52.67,47.15,483.23,32.43,34.84,10.04,90.37,80.98,9.39,NA,NA,0,0,0,0,10.61,2.47,54.94,81.81,38.48,0,9.44,20.44,35.72,104.07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
