"","TREE_ID","INVENTORY_ID_IFN2","PLOT_ID.x","expan_IFN2","dbh_IFN2","h_IFN2","g_IFN2","bal_IFN2","circ_normal_IFN2","esbeltez_IFN2","cr_IFN2","lcw_IFN2","hcb_IFN2","hlcw_IFN2","vob_IFN2","vub_IFN2","vbark_IFN2","v_sierra_gruesa_IFN2","v_sierra_IFN2","v_sierra_canter_IFN2","v_trituracion_IFN2","wsw_IFN2","wb2_t_IFN2","wtbl_IFN2","wr_IFN2","wt_IFN2","sheet_SM4_IFN2","dbh_i_IFN2","h_i_IFN2","TREE_ID.y","INVENTORY_ID_IFN3","PLOT_ID.y","TREE_ID_IFN3_2","TREE_ID_IFN3","TREE_ID_IFN2","expan_IFN3","dbh_IFN3","h_IFN3","g_IFN3","bal_IFN3","circ_normal_IFN3","esbeltez_IFN3","cr_IFN3","lcw_IFN3","hcb_IFN3","hlcw_IFN3","vob_IFN3","vub_IFN3","vbark_IFN3","v_sierra_gruesa_IFN3","v_sierra_IFN3","v_sierra_canter_IFN3","v_trituracion_IFN3","wsw_IFN3","wb2_t_IFN3","wtbl_IFN3","wr_IFN3","wt_IFN3","sheet_SM4_IFN3","dbh_i_IFN3","h_i_IFN3"
"441","19_271_0",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"19_271_38","IFN3","19_271",38,21,0,14.15,23.3,16,426.38,22.03,73.2,68.67,0.35,3.31,10.4,12.2,312.36,210.97,101.39,0,0,231.68,296.45,120.27,7.51,19.18,30.3,177.26,"Nodo 1 - Pies mayores",.,.
"442","19_271_1","IFN2","19_271",33.87,21.42,12.46,360.35,26.65,67.29,58.16,0.3,3.03,8.72,9.92,208.01,138.83,69.18,0,0,138.14,193.55,86.24,5.77,15.78,23.93,131.72,"Nodo 3 - Pies mayores",2.47,1.46,"19_271_1","IFN3","19_271",1,1,1,14.15,23.5,14,433.74,20.8,73.83,59.57,0.37,3.4,8.88,10.43,278.74,187.78,90.96,0,0,171.55,262.99,112.76,7.72,19.56,31.04,171.08,"Nodo 1 - Pies mayores",4.55,3
"443","19_271_10","IFN2","19_271",17.19,27.89,12.84,610.86,3.33,87.61,46.04,0.35,4.03,8.37,9.78,356.44,242.56,113.88,0,0,212.89,333.44,153.54,13.21,29.11,50.16,246.02,"Nodo 3 - Pies mayores",2.84,1.34,"19_271_11","IFN3","19_271",11,7,10,14.15,29.35,16,676.56,9.07,92.21,54.51,0.38,4.23,9.92,11.84,487.59,334.75,152.84,0,156.91,322.26,462.75,195.97,15.51,32.77,57.88,302.13,"Nodo 1 - Pies mayores",4.3,4.5
"444","19_271_11","IFN2","19_271",33.65,17.68,10.9,245.54,39.42,55.55,61.66,0.28,2.5,7.81,8.78,126.14,82.79,43.35,0,0,54.77,116.79,52.94,3.16,10.11,13.98,80.18,"Nodo 3 - Pies mayores",2.18,1.4,"19_271_12","IFN3","19_271",12,8,11,31.83,20.7,13,336.54,23.21,65.03,62.8,0.37,3.01,8.23,9.64,202.99,135.29,67.7,0,0,131.38,189.54,82.36,5.18,14.58,21.75,123.87,"Nodo 1 - Pies mayores",5.2,3.5
"445","19_271_12","IFN2","19_271",33.44,15.82,11.04,196.54,42.46,49.7,69.8,0.28,2.23,7.98,8.95,103.02,67.1,35.92,0,0,0,95.35,42.16,2.23,7.81,10.23,62.42,"Nodo 3 - Pies mayores",2.07,1.54,"19_271_13","IFN3","19_271",13,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Nodo 1 - Pies mayores",.,.
"446","19_271_13","IFN2","19_271",17.19,26.62,13.42,556.67,8.34,83.64,50.41,0.33,3.81,8.95,10.39,340.23,231.01,109.22,0,0,260.35,321.69,143.02,11.42,26.13,44.03,224.61,"Nodo 3 - Pies mayores",2.77,1.42,"19_271_14","IFN3","19_271",14,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Nodo 1 - Pies mayores",.,.
"447","19_271_14","IFN2","19_271",17.2,28.4,13.38,633.57,1.17,89.23,47.12,0.35,4.09,8.71,10.2,384.45,262.22,122.23,0,0,284.85,362.67,163.72,13.99,30.36,52.79,260.88,"Nodo 3 - Pies mayores",2.85,1.38,"19_271_15","IFN3","19_271",15,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Nodo 1 - Pies mayores",.,.
"448","19_271_15","IFN2","19_271",33.86,20.96,12.45,344.91,30.21,65.84,59.41,0.29,2.96,8.8,9.98,199.29,132.8,66.49,0,0,132.34,185.35,82.31,5.38,15,22.51,125.2,"Nodo 3 - Pies mayores",2.41,1.45,"19_271_16","IFN3","19_271",16,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Nodo 1 - Pies mayores",.,.
"449","19_271_16","IFN2","19_271",17.2,29.46,14.44,681.87,0,92.57,49,0.35,4.22,9.45,11.08,444.38,304.43,139.95,0,155.25,307.62,422.89,185.44,15.7,33.07,58.52,292.73,"Nodo 3 - Pies mayores",2.86,1.44,"19_271_17","IFN3","19_271",17,9,16,14.15,36.1,15.5,1023.54,0,113.41,42.94,0.41,5.27,9.22,11.14,704.71,490.6,214.12,0,404.87,219.22,670.09,297.71,29.72,52.97,103.43,483.83,"Nodo 1 - Pies mayores",9.5,2.5
"450","19_271_17","IFN2","19_271",33.59,17.04,12.1,227.93,40.24,53.52,71,0.28,2.38,8.76,9.84,129.92,85.26,44.67,0,0,0,120.89,52.17,2.81,9.28,12.59,76.85,"Nodo 3 - Pies mayores",2.14,1.6,"19_271_18","IFN3","19_271",18,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Nodo 1 - Pies mayores",.,.
