"","TREE_ID","INVENTORY_ID_IFN2","PLOT_ID.x","expan_IFN2","dbh_IFN2","h_IFN2","g_IFN2","bal_IFN2","circ_normal_IFN2","esbeltez_IFN2","cr_IFN2","lcw_IFN2","hcb_IFN2","hlcw_IFN2","vob_IFN2","vub_IFN2","vbark_IFN2","v_sierra_gruesa_IFN2","v_sierra_IFN2","v_sierra_canter_IFN2","v_trituracion_IFN2","wsw_IFN2","wb2_t_IFN2","wtbl_IFN2","wr_IFN2","wt_IFN2","sheet_SM4_IFN2","dbh_i_IFN2","h_i_IFN2","dbh","TREE_ID.y","INVENTORY_ID_IFN3","PLOT_ID.y","TREE_ID_IFN3_2","TREE_ID_IFN3","TREE_ID_IFN2","expan_IFN3","dbh_IFN3","h_IFN3","g_IFN3","bal_IFN3","circ_normal_IFN3","esbeltez_IFN3","cr_IFN3","lcw_IFN3","hcb_IFN3","hlcw_IFN3","vob_IFN3","vub_IFN3","vbark_IFN3","v_sierra_gruesa_IFN3","v_sierra_IFN3","v_sierra_canter_IFN3","v_trituracion_IFN3","wsw_IFN3","wb2_t_IFN3","wtbl_IFN3","wr_IFN3","wt_IFN3","sheet_SM4_IFN3","dbh_i_IFN3","h_i_IFN3"
"613","19_582_18","IFN2","19_582",36.91,19.22,10.31,290.15,36.26,60.38,53.62,0.31,2.76,7.15,8.08,140.25,92.48,47.78,0,0,63.48,128.7,61,4.1,12.27,17.66,95.04,"Nodo 3 - Pies inventariados",5.07,2.31,14.15,"19_582_23","IFN3","19_582",23,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Nodo 1 - Pies mayores",.,.
"614","19_582_19","IFN2","19_582",36.05,23.36,11.23,428.42,27.84,73.37,48.08,0.32,3.36,7.66,8.73,222.09,148.77,73.32,0,0,157.23,206.1,97.12,7.57,19.29,30.5,154.48,"Nodo 3 - Pies inventariados",5.31,2.23,18.05,"19_582_24","IFN3","19_582",24,14,19,31.83,22.35,12,392.32,14.88,70.21,53.69,0.42,3.34,6.96,8.41,217.67,145.58,72.08,0,0,148.2,203.5,92.19,6.59,17.41,26.96,143.16,"Nodo 1 - Pies mayores",4.3,3
"615","19_582_2","IFN2","19_582",16.35,28.76,12.81,649.43,3.42,90.34,44.56,0.36,4.18,8.18,9.59,377.3,257.3,120,0,0,223.09,356.45,163.59,14.55,31.25,54.66,264.04,"Nodo 3 - Pies inventariados",5.66,2.31,23.1,"19_582_4","IFN3","19_582",4,3,2,14.15,29.05,12.5,662.8,3.27,91.26,43.03,0.45,4.38,6.93,8.53,375.64,256.2,119.44,0,0,224.43,353.85,164.62,15.02,32,56.24,267.88,"Nodo 1 - Pies mayores",5.95,2
"616","19_582_20","IFN2","19_582",16.35,30.19,10.5,715.79,1.17,94.84,34.79,0.38,4.48,6.48,7.62,341.35,232.49,108.86,0,152.61,210.44,318.84,160.36,16.95,34.98,62.64,274.94,"Nodo 3 - Pies inventariados",5.74,2,24.45,"19_582_27","IFN3","19_582",27,17,20,14.15,31.05,11.5,757.2,1.19,97.55,37.04,0.46,4.73,6.23,7.69,393.72,269.28,124.45,0,164.1,213.77,367.24,180,18.51,37.34,67.78,303.63,"Nodo 1 - Pies mayores",6.6,3
"617","19_582_21","IFN2","19_582",37.09,21.93,8.98,377.84,32.33,68.91,40.94,0.32,3.19,6.08,6.9,158.14,104.91,53.23,0,0,79.26,143.75,74.06,6.21,16.67,25.58,122.52,"Nodo 3 - Pies inventariados",5.23,1.98,16.7,"19_582_28","IFN3","19_582",28,18,21,31.83,22,10,380.13,16.12,69.12,45.45,0.43,3.34,5.69,6.86,176.71,117.55,59.16,0,0,81.7,161.59,79.67,6.27,16.79,25.8,128.52,"Nodo 1 - Pies mayores",5.3,3
"618","19_582_22","IFN2","19_582",36.77,27.38,11.11,588.65,13.28,86.01,40.6,0.35,3.99,7.22,8.36,298.71,202.32,96.4,0,0,197.98,279.12,135.04,12.47,27.88,47.62,223.01,"Nodo 3 - Pies inventariados",5.58,2.11,21.8,"19_582_30","IFN3","19_582",30,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Nodo 1 - Pies mayores",.,.
"619","19_582_23","IFN2","19_582",36.06,23.58,11.23,436.76,26.26,74.08,47.62,0.32,3.39,7.62,8.7,226.24,151.66,74.58,0,0,160.16,209.94,99.12,7.8,19.72,31.34,157.98,"Nodo 3 - Pies inventariados",5.33,2.23,18.25,"19_582_32","IFN3","19_582",32,21,23,14.15,22.9,11.5,411.87,13.15,71.94,50.22,0.43,3.44,6.58,7.97,218.83,146.47,72.36,0,0,152.87,204.11,94.54,7.11,18.43,28.86,148.94,"Nodo 1 - Pies mayores",4.65,2.5
"620","19_582_24","IFN2","19_582",36.97,19.89,12.01,310.65,35.11,62.48,60.39,0.3,2.82,8.43,9.54,173.94,115.38,58.56,0,0,70.18,162.73,72.07,4.57,13.28,19.44,109.36,"Nodo 3 - Pies inventariados",5.09,2.51,14.8,"19_582_33","IFN3","19_582",33,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Nodo 1 - Pies mayores",.,.
"621","19_582_25","IFN2","19_582",36.77,27.92,12.27,612.4,6.58,87.72,43.94,0.36,4.06,7.88,9.2,341.78,232.35,109.43,0,0,211.1,322.16,149.68,13.27,29.19,50.34,242.48,"Nodo 3 - Pies inventariados",5.62,2.27,22.3,"19_582_34","IFN3","19_582",34,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Nodo 1 - Pies mayores",.,.
"622","19_582_26","IFN2","19_582",36.73,25.17,12.31,497.66,21.11,79.08,48.9,0.33,3.61,8.3,9.53,280.7,189.45,91.25,0,0,184.49,265.33,120.44,9.58,22.95,37.63,190.6,"Nodo 3 - Pies inventariados",5.42,2.31,19.75,"19_582_35","IFN3","19_582",35,22,26,14.15,23.85,12,446.75,11.93,74.93,50.31,0.43,3.58,6.87,8.34,246.73,165.78,80.95,0,0,167.98,230.67,105.77,8.08,20.25,32.35,166.45,"Nodo 1 - Pies mayores",4.1,2
"623","19_582_27","IFN2","19_582",36.76,17.79,11.03,248.66,37.33,55.9,61.96,0.3,2.54,7.72,8.72,129.08,84.78,44.3,0,0,55.49,119.35,54.02,3.22,10.26,14.23,81.73,"Nodo 3 - Pies inventariados",4.99,2.53,12.8,"19_582_36","IFN3","19_582",36,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Nodo 1 - Pies mayores",.,.
"624","19_582_28","IFN2","19_582",37.08,21.7,9.56,369.83,33.74,68.17,44.06,0.32,3.14,6.54,7.41,164.71,109.34,55.37,0,0,78.85,152.06,75.27,6.01,16.26,24.82,122.36,"Nodo 3 - Pies inventariados",5.2,2.06,16.5,"19_582_37","IFN3","19_582",37,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Nodo 1 - Pies mayores",.,.
