"","Provincia","Estadillo","TREE_ID_IFN2","rumbo","distancia","specie","dbh_1","dbh_2","height","quality","shape","special_param","INVENTORY_ID","PLOT_ID","TREE_ID","IFN_TREE_ID","dbh","expan","basal_area"
"43",40,1022,18,220,NA,21,285,289,12,2,2,1,"IFN2","40_1022","40_1022_18","IFN2_40_1022_18",28.7,14.1471060526129,646.924613208844
"44",40,1022,19,225,NA,21,275,273,12,2,2,NA,"IFN2","40_1022","40_1022_19","IFN2_40_1022_19",27.4,14.1471060526129,589.645525152268
"45",40,1022,2,4,NA,21,246,254,11.5,2,2,NA,"IFN2","40_1022","40_1022_2","IFN2_40_1022_2",25,14.1471060526129,490.873852123405
"46",40,1022,20,238,NA,21,94,95,9,3,3,NA,"IFN2","40_1022","40_1022_20","IFN2_40_1022_20",9.45,127.323954473516,70.1380194868006
"47",40,1022,21,248,NA,21,332,320,12,2,2,NA,"IFN2","40_1022","40_1022_21","IFN2_40_1022_21",32.6,14.1471060526129,834.689752132272
"48",40,1022,22,249,NA,21,227,220,10.5,2,2,NA,"IFN2","40_1022","40_1022_22","IFN2_40_1022_22",22.35,31.8309886183791,392.324054075702
"49",40,1022,23,251,NA,21,201,210,10.5,2,2,NA,"IFN2","40_1022","40_1022_23","IFN2_40_1022_23",20.55,31.8309886183791,331.675607898151
"50",40,1022,24,251,NA,21,233,236,10.5,2,2,NA,"IFN2","40_1022","40_1022_24","IFN2_40_1022_24",23.45,14.1471060526129,431.892413547665
"51",40,1022,25,259,NA,21,161,165,10,2,2,NA,"IFN2","40_1022","40_1022_25","IFN2_40_1022_25",16.3,31.8309886183791,208.672438033068
"52",40,1022,26,272,NA,21,249,252,10.5,2,2,NA,"IFN2","40_1022","40_1022_26","IFN2_40_1022_26",25.05,14.1471060526129,492.839311027307
"53",40,1022,27,283,NA,21,125,125,11,2,2,NA,"IFN2","40_1022","40_1022_27","IFN2_40_1022_27",12.5,31.8309886183791,122.718463030851
"54",40,1022,28,291,NA,21,177,171,10.5,2,2,NA,"IFN2","40_1022","40_1022_28","IFN2_40_1022_28",17.4,31.8309886183791,237.787147950211
"55",40,1022,29,301,NA,21,180,180,10,2,2,NA,"IFN2","40_1022","40_1022_29","IFN2_40_1022_29",18,31.8309886183791,254.469004940773
"56",40,1022,3,10,NA,21,157,149,9.5,2,2,NA,"IFN2","40_1022","40_1022_3","IFN2_40_1022_3",15.3,31.8309886183791,183.853856069709
"57",40,1022,30,318,NA,21,157,152,10,2,2,NA,"IFN2","40_1022","40_1022_30","IFN2_40_1022_30",15.45,31.8309886183791,187.476505098379
"58",40,1022,31,341,NA,21,222,217,11,2,2,NA,"IFN2","40_1022","40_1022_31","IFN2_40_1022_31",21.95,31.8309886183791,378.406798620299
"59",40,1022,32,354,NA,21,245,242,12.5,2,2,NA,"IFN2","40_1022","40_1022_32","IFN2_40_1022_32",24.35,14.1471060526129,465.680242537024
"60",40,1022,33,365,NA,21,162,155,12.5,2,2,NA,"IFN2","40_1022","40_1022_33","IFN2_40_1022_33",15.85,31.8309886183791,197.309690104115
"61",40,1022,34,373,NA,21,160,154,8,2,2,NA,"IFN2","40_1022","40_1022_34","IFN2_40_1022_34",15.7,31.8309886183791,193.592793295837
"62",40,1022,35,388,NA,21,250,250,12.5,2,2,NA,"IFN2","40_1022","40_1022_35","IFN2_40_1022_35",25,14.1471060526129,490.873852123405
"63",40,1022,4,37,NA,21,189,194,9.5,2,2,NA,"IFN2","40_1022","40_1022_4","IFN2_40_1022_4",19.15,31.8309886183791,288.023177976521
"64",40,1022,5,47,NA,21,221,222,11,2,2,NA,"IFN2","40_1022","40_1022_5","IFN2_40_1022_5",22.15,31.8309886183791,385.334010421465
"65",40,1022,6,50,NA,21,229,240,11,2,2,NA,"IFN2","40_1022","40_1022_6","IFN2_40_1022_6",23.45,14.1471060526129,431.892413547665
"66",40,1022,7,50,NA,21,239,246,11,2,2,NA,"IFN2","40_1022","40_1022_7","IFN2_40_1022_7",24.25,14.1471060526129,461.863207462912
"67",40,1022,8,50,NA,21,142,142,9,2,2,NA,"IFN2","40_1022","40_1022_8","IFN2_40_1022_8",14.2,31.8309886183791,158.367685667461
"68",40,1022,9,89,NA,21,182,185,11,2,2,NA,"IFN2","40_1022","40_1022_9","IFN2_40_1022_9",18.35,31.8309886183791,264.461233074597
"69",40,1033,1,15,NA,21,211,209,9,2,2,NA,"IFN2","40_1033","40_1033_1","IFN2_40_1033_1",21,31.8309886183791,346.360590058275
"70",40,1033,10,169,NA,21,205,207,7.5,2,2,NA,"IFN2","40_1033","40_1033_10","IFN2_40_1033_10",20.6,31.8309886183791,333.291564619341
"71",40,1033,11,171,NA,21,181,183,8,2,2,NA,"IFN2","40_1033","40_1033_11","IFN2_40_1033_11",18.2,31.8309886183791,260.155287643771
"72",40,1033,12,173,NA,21,158,161,8,2,2,NA,"IFN2","40_1033","40_1033_12","IFN2_40_1033_12",15.95,31.8309886183791,199.807256263719
"73",40,1033,13,214,NA,21,205,202,8,2,2,NA,"IFN2","40_1033","40_1033_13","IFN2_40_1033_13",20.35,31.8309886183791,325.25105092156
"74",40,1033,14,223,NA,21,176,178,8,2,2,NA,"IFN2","40_1033","40_1033_14","IFN2_40_1033_14",17.7,31.8309886183791,246.057390610787
"75",40,1033,15,238,NA,21,137,137,6.5,2,2,2,"IFN2","40_1033","40_1033_15","IFN2_40_1033_15",13.7,31.8309886183791,147.411381288067
