"","Provincia","Estadillo","Clase","Subclase","TREE_ID_IFN3_2","TREE_ID_IFN3","TREE_ID_IFN2","rumbo","distancia","DRed","specie","dbh_1","dbh_2","height","quality","shape","special_param","Agente","Import","Elemento","Compara","INVENTORY_ID","PLOT_ID","TREE_ID","IFN_TREE_ID","IFN3_ID","dbh","expan","basal_area"
"71",40,1022,"A","3C",37,37,0,276,10.6,NA,21,271,269,15,2,2,NA,NA,NA,NA,"","IFN3","40_1022","40_1022_0","IFN3_40_1022_0","40_1022_A_3C",27,14.1471060526129,572.55526111674
"72",40,1022,"A","3C",38,38,27,282,9.4,NA,21,184,165,14,2,2,NA,NA,NA,NA,"","IFN3","40_1022","40_1022_27","IFN3_40_1022_27","40_1022_A_3C",17.45,31.8309886183791,239.155704249931
"73",40,1022,"A","3C",39,39,28,289,8.5,NA,21,220,210,13.5,2,2,NA,NA,NA,NA,"","IFN3","40_1022","40_1022_28","IFN3_40_1022_28","40_1022_A_3C",21.5,31.8309886183791,363.05030103047
"74",40,1022,"A","3C",40,40,29,297,7.6,NA,21,205,204,13.5,2,2,NA,NA,NA,NA,"","IFN3","40_1022","40_1022_29","IFN3_40_1022_29","40_1022_A_3C",20.45,31.8309886183791,328.455475428221
"75",40,1022,"A","3C",41,41,0,303,13.4,NA,21,277,257,11.5,2,2,NA,NA,NA,NA,"","IFN3","40_1022","40_1022_0","IFN3_40_1022_0","40_1022_A_3C",26.7,14.1471060526129,559.902496704407
"76",40,1022,"A","3C",42,42,30,316,6.2,NA,21,198,181,12.5,2,2,NA,NA,NA,NA,"","IFN3","40_1022","40_1022_30","IFN3_40_1022_30","40_1022_A_3C",18.95,31.8309886183791,282.038443971432
"77",40,1022,"A","3C",43,43,0,317,11.4,NA,21,234,219,13,2,2,NA,NA,NA,NA,"","IFN3","40_1022","40_1022_0","IFN3_40_1022_0","40_1022_A_3C",22.65,14.1471060526129,402.926929281567
"78",40,1022,"A","3C",44,44,0,320,5.7,NA,21,155,148,13,2,2,NA,NA,NA,NA,"","IFN3","40_1022","40_1022_0","IFN3_40_1022_0","40_1022_A_3C",15.15,31.8309886183791,180.266549958391
"79",40,1022,"A","3C",45,45,0,330,10.8,NA,21,293,293,14.5,2,2,NA,NA,NA,NA,"","IFN3","40_1022","40_1022_0","IFN3_40_1022_0","40_1022_A_3C",29.3,14.1471060526129,674.256469295075
"80",40,1022,"A","3C",46,46,31,338,10.5,NA,21,285,275,14.5,2,2,NA,NA,NA,NA,"","IFN3","40_1022","40_1022_31","IFN3_40_1022_31","40_1022_A_3C",28,14.1471060526129,615.752160103599
"81",40,1022,"A","3C",47,47,32,353,5.4,NA,21,319,297,14.5,2,2,NA,NA,NA,NA,"","IFN3","40_1022","40_1022_32","IFN3_40_1022_32","40_1022_A_3C",30.8,14.1471060526129,745.060113725355
"82",40,1022,"A","3C",48,48,0,360,10.8,NA,21,226,225,13.5,2,2,NA,NA,NA,NA,"","IFN3","40_1022","40_1022_0","IFN3_40_1022_0","40_1022_A_3C",22.55,14.1471060526129,399.376929583011
