"","TREE_ID","INVENTORY_ID_IFN2","PLOT_ID.x","expan_IFN2","dbh_IFN2","h_IFN2","g_IFN2","g_intrasp.x","g_intersp.x","bal_IFN2","bal_intrasp.x","bal_intersp.x","circ_normal_IFN2","esbeltez_IFN2","cr_IFN2","lcw_IFN2","hcb_IFN2","hlcw_IFN2","vob_IFN2","vub_IFN2","vbark_IFN2","v_sierra_gruesa_IFN2","v_sierra_IFN2","v_sierra_canter_IFN2","v_trituracion_IFN2","wsw_IFN2","wb2_t_IFN2","wtbl_IFN2","wr_IFN2","wt_IFN2","n_descorches.x","w_descorchado.x","v_descorchado.x","sheet_SM4_IFN2","dbh_i_IFN2","h_i_IFN2","dbh","TREE_ID.y","INVENTORY_ID_IFN3","PLOT_ID.y","TREE_ID_IFN3_2","TREE_ID_IFN3","TREE_ID_IFN2","expan_IFN3","dbh_IFN3","h_IFN3","g_IFN3","g_intrasp.y","g_intersp.y","bal_IFN3","bal_intrasp.y","bal_intersp.y","g_ha","circ_normal_IFN3","esbeltez_IFN3","cr_IFN3","lcw_IFN3","hcb_IFN3","hlcw_IFN3","vob_IFN3","vub_IFN3","vbark_IFN3","v_ha","v_sierra_gruesa_IFN3","v_sierra_IFN3","v_sierra_canter_IFN3","v_trituracion_IFN3","wsw_IFN3","wb2_t_IFN3","wtbl_IFN3","wr_IFN3","wt_IFN3","n_descorches.y","w_descorchado.y","v_descorchado.y","sheet_SM4_IFN3","dbh_i_IFN3","h_i_IFN3"
"321","19_241_2","IFN2","19_241",31.83,22.29,11.84,390.22,0,0,0,0,0,70.03,53.13,0.47,3.4,6.26,7.84,213.76,142.9,70.86,0,0,146.85,199.91,90.92,6.54,17.31,26.76,141.53,0,0,0,"Nodo 3 - Pies inventariados",6.34,3.34,15.95,"19_241_4","IFN3","19_241",4,4,2,31.83,21.75,11.5,371.54,0,0,1.22,0,0,1.18,68.33,52.87,0.46,3.31,6.26,7.71,198.13,132.13,66,6.31,0,0,138.41,184.8,84.78,6.05,16.35,24.98,132.16,0,0,0,"Nodo 1 - Pies inventariados",5.8,3
"322","19_241_3","IFN2","19_241",127.32,14.62,8.17,167.76,0,0,11.09,0,0,45.91,55.91,0.47,2.27,4.33,5.32,65.91,42.39,23.52,0,0,0,58.64,29.61,1.74,6.5,8.19,46.04,0,0,0,"Nodo 3 - Pies inventariados",5.92,3.17,8.7,"19_241_6","IFN3","19_241",6,6,3,31.83,14.8,8,172.03,0,0,13.35,0,0,0.55,46.5,54.05,0.45,2.29,4.39,5.31,66.15,42.56,23.59,2.11,0,0,0,58.88,30.01,1.81,6.69,8.49,47,0,0,0,"Nodo 1 - Pies inventariados",6.1,3
"323","19_241_4","IFN2","19_241",31.83,19.48,8.88,297.94,0,0,4.55,0,0,61.19,45.6,0.48,3.03,4.6,5.72,124.44,81.83,42.6,0,0,62.85,113.13,57.22,4.28,12.66,18.33,92.49,0,0,0,"Nodo 3 - Pies inventariados",6.23,2.88,13.25,"19_241_7","IFN3","19_241",7,7,4,31.83,18.85,9.5,279.07,0,0,5.49,0,0,0.89,59.22,50.4,0.46,2.9,5.13,6.28,124.75,81.98,42.77,3.97,0,0,60.06,115.56,55.66,3.86,11.73,16.72,87.98,0,0,0,"Nodo 1 - Pies inventariados",5.6,3.5
"324","19_241_5","IFN2","19_241",127.32,17.89,9.09,251.24,0,0,5.5,0,0,56.19,50.83,0.48,2.78,4.75,5.89,107.99,70.63,37.36,0,0,0,98.23,48.47,3.27,10.38,14.43,76.56,0,0,0,"Nodo 3 - Pies inventariados",6.14,3.09,11.75,"19_241_10","IFN3","19_241",10,10,5,31.83,18.35,10,264.46,0,0,7.24,0,0,0.84,57.65,54.5,0.45,2.81,5.48,6.69,124.53,81.78,42.75,3.96,0,0,57.57,113.87,54.28,3.55,11.02,15.51,84.36,0,0,0,"Nodo 1 - Pies inventariados",6.6,4
"325","19_241_6","IFN2","19_241",127.32,15.49,8.04,188.41,0,0,8.69,0,0,48.66,51.88,0.48,2.42,4.2,5.18,72.53,46.82,25.71,0,0,0,64.75,33.13,2.08,7.44,9.64,52.29,0,0,0,"Nodo 3 - Pies inventariados",5.99,3.04,9.5,"19_241_14","IFN3","19_241",14,14,6,31.83,16.5,9,213.82,0,0,9.56,0,0,0.68,51.84,54.55,0.45,2.54,4.92,5.98,91.53,59.51,32.02,2.91,0,0,0,83.34,40.62,2.54,8.61,11.51,63.29,0,0,0,"Nodo 1 - Pies inventariados",7,4
"326","19_241_7","IFN2","19_241",127.32,14.13,7.5,156.71,0,0,13.23,0,0,44.38,53.1,0.47,2.2,3.98,4.87,56.77,36.35,20.42,0,0,0,48.62,26.13,1.56,6.01,7.45,41.14,0,0,0,"Nodo 3 - Pies inventariados",5.88,3,8.25,"19_241_21","IFN3","19_241",21,21,7,31.83,13.55,8,144.2,0,0,15.41,0,0,0.46,42.57,59.04,0.45,2.09,4.43,5.34,55.8,35.67,20.12,1.78,0,0,0,49.66,24.9,1.37,5.45,6.63,38.35,0,0,0,"Nodo 1 - Pies inventariados",5.3,3.5
"327","19_241_8","IFN2","19_241",31.83,19.78,10.19,307.28,0,0,3.57,0,0,62.14,51.49,0.47,3.05,5.35,6.66,146.53,96.79,49.75,0,0,66.94,134.56,64.34,4.49,13.12,19.14,101.09,0,0,0,"Nodo 3 - Pies inventariados",6.23,3.19,13.55,"19_241_22","IFN3","19_241",22,22,8,31.83,21.35,10.5,358,0,0,2.4,0,0,1.14,67.07,49.18,0.46,3.27,5.67,6.97,174.91,116.24,58.67,5.57,0,0,78.2,163.34,77.06,5.71,15.66,23.71,122.14,0,0,0,"Nodo 1 - Pies inventariados",7.8,3.5
"328","19_241_9","IFN2","19_241",31.83,21.58,9.98,365.65,0,0,1.24,0,0,67.79,46.24,0.48,3.34,5.17,6.46,169.84,112.82,57.02,0,0,78.76,156.43,76.35,5.9,16.05,24.43,122.73,0,0,0,"Nodo 3 - Pies inventariados",6.33,2.98,15.25,"19_241_25","IFN3","19_241",25,25,9,31.83,22.05,9.5,381.86,0,0,0,0,0,1.22,69.27,43.08,0.47,3.41,5,6.17,168.82,112.18,56.64,5.37,0,0,81.27,156.38,77.55,6.32,16.88,25.96,126.71,0,0,0,"Nodo 1 - Pies inventariados",6.8,2.5
"329","19_242_0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"19_242_6","IFN3","19_242",6,6,0,14.15,27,10.5,572.56,0,0,0,0,0,0.81,84.82,38.89,0.57,4.3,4.53,6.51,275.12,185.91,89.22,3.89,0,0,190.09,256.92,126.61,11.94,27,45.81,211.35,0,0,0,"Nodo 1 - Pies inventariados",NA,NA
"330","19_242_0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"19_242_5","IFN3","19_242",5,5,0,14.15,23.15,8.5,420.91,0,0,1.56,0,0,0.6,72.73,36.72,0.58,3.73,3.59,5.14,166.36,110.64,55.72,2.35,0,0,86.78,152.11,80.25,7.36,18.9,29.76,136.26,0,0,0,"Nodo 1 - Pies inventariados",NA,NA
