"","TREE_ID","INVENTORY_ID_IFN2","PLOT_ID.x","expan_IFN2","dbh_IFN2","h_IFN2","g_IFN2","bal_IFN2","circ_normal_IFN2","esbeltez_IFN2","cr_IFN2","lcw_IFN2","hcb_IFN2","hlcw_IFN2","vob_IFN2","vub_IFN2","vbark_IFN2","v_sierra_gruesa_IFN2","v_sierra_IFN2","v_sierra_canter_IFN2","v_trituracion_IFN2","wsw_IFN2","wb2_t_IFN2","wtbl_IFN2","wr_IFN2","wt_IFN2","sheet_SM4_IFN2","dbh_i_IFN2","h_i_IFN2","dbh","TREE_ID.y","INVENTORY_ID_IFN3","PLOT_ID.y","TREE_ID_IFN3_2","TREE_ID_IFN3","TREE_ID_IFN2","expan_IFN3","dbh_IFN3","h_IFN3","g_IFN3","bal_IFN3","circ_normal_IFN3","esbeltez_IFN3","cr_IFN3","lcw_IFN3","hcb_IFN3","hlcw_IFN3","vob_IFN3","vub_IFN3","vbark_IFN3","v_sierra_gruesa_IFN3","v_sierra_IFN3","v_sierra_canter_IFN3","v_trituracion_IFN3","wsw_IFN3","wb2_t_IFN3","wtbl_IFN3","wr_IFN3","wt_IFN3","sheet_SM4_IFN3","dbh_i_IFN3","h_i_IFN3"
"789","19_602_0",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"19_602_20","IFN3","19_602",20,20,0,31.83,19.05,8,285.02,8.52,59.85,41.99,0.46,2.96,4.3,5.23,107.65,70.51,37.14,0,0,0,95.82,51.18,3.99,12.02,17.23,84.42,"Nodo 1 - Pies mayores",.,.
"790","19_602_0",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"19_602_3","IFN3","19_602",3,3,0,31.83,19.45,8,297.12,7.57,61.1,41.13,0.47,3.02,4.28,5.21,112.05,73.5,38.55,0,0,60.92,99.74,53.48,4.26,12.61,18.26,88.62,"Nodo 1 - Pies mayores",.,.
"791","19_602_0",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"19_602_4","IFN3","19_602",4,4,0,14.15,22.85,9,410.07,0,71.79,39.39,0.48,3.55,4.71,5.8,171.53,114.13,57.4,0,0,85.74,156.18,80.87,7.07,18.33,28.69,134.96,"Nodo 1 - Pies mayores",.,.
"792","19_602_0",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"19_602_6","IFN3","19_602",6,6,0,31.83,21.85,7.5,374.97,2.36,68.64,34.32,0.48,3.42,3.88,4.77,131.69,86.96,44.72,0,0,74.85,119.07,65.73,6.14,16.52,25.3,113.7,"Nodo 1 - Pies mayores",.,.
"793","19_602_0",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"19_602_7","IFN3","19_602",7,7,0,127.32,11.6,5.5,105.68,15.04,36.44,47.41,0.47,1.82,2.94,3.54,28.68,17.97,10.7,0,0,0,21.84,14.22,0.84,3.8,4.29,23.15,"Nodo 1 - Pies mayores",.,.
"794","19_602_0",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"19_602_9","IFN3","19_602",9,9,0,31.83,14.55,6,166.27,13.07,45.71,41.24,0.47,2.28,3.2,3.87,48.34,30.85,17.49,0,0,0,40.68,24.23,1.71,6.43,8.09,40.47,"Nodo 1 - Pies mayores",.,.
"795","19_602_0",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"19_602_10","IFN3","19_602",10,10,0,31.83,19.55,7.5,300.18,6.62,61.42,38.36,0.47,3.05,3.96,4.84,106.26,69.62,36.64,0,0,60.4,96.08,51.95,4.33,12.77,18.53,87.57,"Nodo 1 - Pies mayores",.,.
"796","19_602_0",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"19_602_15","IFN3","19_602",15,15,0,31.83,17.25,8,233.71,10.96,54.19,46.38,0.46,2.67,4.35,5.27,88.89,57.82,31.08,0,0,0,79.12,41.49,2.92,9.55,13.04,67,"Nodo 1 - Pies mayores",.,.
"797","19_602_0",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"19_602_17","IFN3","19_602",17,17,0,31.83,19.9,8.5,311.03,5.63,62.52,42.71,0.47,3.08,4.54,5.54,124.25,81.75,42.5,0,0,64.81,113.61,58.28,4.58,13.3,19.47,95.63,"Nodo 1 - Pies mayores",.,.
"798","19_602_0",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"19_602_16","IFN3","19_602",16,16,0,127.32,9.6,6.5,72.38,17.61,30.16,67.71,0.45,1.49,3.57,4.28,23.43,14.55,8.88,0,0,0,19.16,10.57,0.46,2.45,2.52,16,"Nodo 1 - Pies mayores",.,.
