"","PLOT_ID","Hoja árboles","INVENTORY_ID_IFN2","T_IFN2","N_IFN2","N_muerto_IFN2","N_incorporado_IFN2","G_IFN2","G_muerta_IFN2","G_incorporada_IFN2","dg_IFN2","Do_IFN2","Seccion_domi.nte_IFN2","Ho_IFN2","d_copa_IFN2","Do_copa_IFN2","FCC_IFN2","Esbeltez (hq/dq).x","Esbeltez (h100/d100).x","SDI_IFN2","Hart_IFN2","Hart_tresbolillo_IFN2","SI_IFN2","VOB_IFN2","VUB_IFN2","VBARK_IFN2","V_muerto_IFN2","V_incorporado_IFN2","V_sierra_gruesa_IFN2","V_sierra_IFN2","V_sierra_canter_IFN2","V_trituracion_IFN2","WSW_IFN2","WB2_t_IFN2","WTBL_IFN2","WR_IFN2","WT_IFN2","WT_muerta_IFN2","WT_incorporada_IFN2","INVENTORY_ID_IFN3","Nombre_modelo","T_IFN3","N_IFN3","G_IFN3","dg_IFN3","Do_IFN3","Seccion_domi.nte_IFN3","Ho_IFN3","d_copa_IFN3","Do_copa_IFN3","FCC_IFN3","Esbeltez (hq/dq).y","Esbeltez (h100/d100).y","SDI_IFN3","Hart_IFN3","SI_IFN3","VOB_IFN3","VUB_IFN3","VBARK_IFN3","V_sierra_gruesa_IFN3","V_sierra_IFN3","V_sierra_canter_IFN3","V_trituracion_IFN3","WSW_IFN3","WB2_t_IFN3","WTBL_IFN3","WR_IFN3","WT_IFN3","G_incorporada_IFN3","N_incorporado_IFN3","V_incorporado_IFN3","WT_incorporada_IFN3","G_cortada_IFN3","N_cortado_IFN3","V_cortado_IFN3","WT_cortada_IFN3","G_muerta_IFN3","N_muerto_IFN3","V_muerto_IFN3","WT_muerta_IFN3"
"38","19_617","Nodo 151 - Pies inventariados","IFN2",35,688.84,4.22,169.62,24.68,0.1,5.47,21.36,27.21,582.22,8.9,3.2,3.29,0.58,33.98,32.71,533.1,42.81,46,18.02,87.1,57.75,29.35,0.13,19.01,0,0,40.34,78.39,43.6,4.26,10.99,17.21,76.06,0.12,11.56,"IFN3","Ppi.ster_me__sim__v01",35,417.34,18.75,23.92,29.47,684.98,9.35,3.63,3.69,0.45,35.62,31.73,388.34,52.36,17.02,74.54,49.87,24.67,0,4.73,40.48,68.15,36.28,3.61,8.61,14.12,62.62,6.22529338,148.56,24.5837875,20.4443098,.,.,.,.,.,.,.,.
"39","42_1858","Nodo 155 - Pies inventariados","IFN2",25,789.83,2.53,187.56,16.12,0.03,3.08,16.12,19.66,303.8,7.14,2.53,2.56,0.41,36.86,36.31,386.47,49.84,53.55,18.93,46,29.62,16.37,0.05,8.19,0,0,5.26,39.96,23.67,1.93,6.5,8.72,40.82,0.04,4.17,"IFN3","Ppi.ster_me__sim__v01",27,700.28,10.15,13.59,20.57,333.68,8.99,2.53,2.6,0.17,56.41,43.67,259.38,42.05,18.78,25.91,16.89,9.01,0,0,6.81,23.5,12.05,0.87,2.75,3.82,19.5,.,.,.,.,.,.,.,.,.,.,.,.
"40","42_1890","Nodo 159 - Pies inventariados","IFN2",30,684.14,3.04,138.98,27.62,0.08,5.19,22.67,30.44,729.77,9.29,3.36,3.44,0.64,38.53,30.5,583.52,41.17,44.24,20.83,111.28,74.22,37.06,0.21,20.22,0,6.45,49.47,101.23,53.54,5.11,12.52,20.19,91.36,0.15,11.88,"IFN3","Ppi.ster_me__sim__v01",32,399.66,.,18.87,30.37,733.01,11.96,4.27,4.33,0.21,51.68,39.36,252.74,41.84,20.8,48.56,33.12,15.44,0,12.86,24.41,45.41,21.72,2.08,4.37,7.73,35.91,.,.,.,.,0,0,0,0,.,.,.,.
"41","42_1902","Nodo 163 - Pies inventariados","IFN2",25,865.93,2.98,200.46,20.86,0.04,4.95,17.51,24.39,468.08,6.74,2.69,2.74,0.51,36.45,27.62,484.99,50.43,54.19,19.88,63.23,41.07,22.15,0.07,14.74,0,0,13.28,56.26,32.38,2.84,8.69,12.3,56.21,0.07,8.72,"IFN3","Ppi.ster_me__sim__v01",27,251.11,5.92,17.33,20.66,339.49,7.94,2.73,2.79,0.15,44.72,38.42,138.2,79.51,18.2,21.79,14.22,7.57,0,0,4.8,19.49,10.38,0.8,2.46,3.48,17.13,.,.,.,.,.,.,.,.,.,.,.,.
"42","42_1927","Nodo 167 - Pies inventariados","IFN2",30,234.7,0.51,107.88,11.34,0.01,4.59,24.8,28.12,624.86,10.63,3.83,3.86,0.28,38.78,37.8,231.65,61.4,65.98,21.48,51.37,34.55,16.81,0.05,20.16,0,0,29.65,47.64,23.87,2.22,5.24,8.67,40,0.04,10.29,"IFN3","Ppi.ster_me__sim__v01",32,155.62,4.77,19.76,21.03,356.74,10.7,3.39,3.43,0.08,53.99,50.9,106.1,74.9,19.66,17.22,11.5,5.71,0,0,10.25,16.06,7.51,0.58,1.5,2.33,11.92,.,.,.,.,.,.,.,.,.,.,.,.
"43","42_1928","Nodo 171 - Pies inventariados","IFN2",30,616.61,2.65,191.31,19.4,0.05,6.52,20.02,28.73,657.32,10.05,3.03,3.11,0.47,34.03,34.99,429.29,40.07,43.06,21.7,68.34,45.32,23.02,0.08,25.26,0,10.8,24.25,61.43,33.92,3.23,8.51,13.12,58.78,0.07,14.27,"IFN3","Ppi.ster_me__sim__v01",32,268.8,.,18.42,20.9,345.03,9.27,3.15,3.18,0.09,47.4,44.34,163.37,65.81,17.92,14.68,9.7,4.98,0,0,6.85,13.51,6.75,0.53,1.49,2.21,10.98,.,.,.,.,0,0,0,0,.,.,.,.
"44","42_1980","Nodo 175 - Pies inventariados","IFN2",27,469.08,1.4,106.19,22.49,0.04,5.14,24.71,31.2,823.35,9.68,3.67,3.77,0.52,36.09,31.04,460.25,47.69,51.25,22.65,95.73,64.61,31.11,0.13,22.1,0,19.67,42.59,87.91,46,4.83,10.57,18.14,79.54,0.11,13.64,"IFN3","Ppi.ster_me__sim__v01",29,807.94,.,14.79,25.77,543.64,11.8,3.63,3.7,0.18,71.09,45.8,343.49,29.81,21.93,42.85,28.92,13.93,0,4.11,22.92,40.09,18.69,1.6,3.66,6.13,30.09,.,.,.,.,0,0,0,0,.,.,.,.
"45","44_1589","Nodo 179 - Pies inventariados","IFN2",35,56.55,0.1,24.82,3.5,0,1.19,28.08,15.88,350.15,4.92,4.56,4.56,0.09,31,31,68.33,270.2,290.35,16.8,13.97,9.42,4.55,0.01,4.24,0,0,10.48,12.71,6.93,0.76,1.67,2.89,12.25,0.01,2.46,"IFN3","Ppi.ster_me__sim__v01",36,14.15,0.8,26.82,3.79,79.93,1.13,4.54,4.54,0.02,29.66,29.66,15.86,2362.56,15.12,2.93,1.97,0.96,0,0,1.53,2.69,1.49,0.17,0.38,0.64,2.67,.,.,.,.,.,.,.,.,.,.,.,.
"46","44_1615","Nodo 183 - Pies inventariados","IFN2",35,444.68,2.22,153.35,18.21,0.07,5.63,22.84,34.76,957.51,8.65,3.34,3.55,0.44,34.93,24.89,383.74,54.81,58.89,17.59,67.2,45.08,22.12,0.09,20.02,0,14.86,16.2,61.14,33.94,3.91,8.53,14.66,61.04,0.08,13.45,"IFN3","Ppi.ster_me__sim__v01",35,908.95,.,17.02,29.41,697.95,8.46,3.9,4.01,0.22,47.19,28.77,486.05,39.19,15.92,35.79,24.11,11.69,0,8.07,14.82,32.77,17.95,2.05,4.43,7.69,32.13,10.95983905,597.71,9.458143,8.214641,0,0,0,0,.,.,.,.
"47","44_164","Nodo 187 - Pies inventariados","IFN2",42,747.31,5.04,80.37,37.61,0.19,3.41,25.31,33.65,891.75,11.5,3.65,3.73,0.82,39.24,34.17,762.69,31.82,34.19,19.05,173.37,117.02,56.35,0.5,15.24,0,30.42,85.08,160.75,80.7,7.85,17.65,29.97,136.17,0.37,9.01,"IFN3","Ppi.ster_me__sim__v01",43,601.25,25.28,23.14,31.64,788.97,10.8,3.38,3.5,0.58,39.95,34.13,529.96,37.76,16.51,110.08,73.9,36.18,0,12.39,53.44,101.4,51.84,4.96,11.63,19.24,87.68,.,.,.,.,.,.,.,.,0.87643905,63.66,3.3701604,2.3095848
"48","44_168","Nodo 191 - Pies inventariados","IFN2",40,1131.05,3.06,179.17,22.66,0.03,2.9,15.97,18.32,263.53,5.64,2.49,2.5,0.56,35.28,30.78,545.03,52.75,56.68,12.37,61.56,39.52,22.04,0.09,7.44,0,0,0,52.84,32.14,2.63,9.06,11.98,55.81,0.08,4.33,"IFN3","Ppi.ster_me__sim__v01",41,477.46,9.23,15.69,18.71,275.04,7.09,2.49,2.52,0.24,40.55,37.88,223.52,64.58,12.82,28.67,18.48,10.19,0,0,0,24.91,14.26,1.08,3.69,4.91,23.95,.,.,.,.,.,.,.,.,.,.,.,.
"49","44_317","Nodo 195 - Pies inventariados","IFN2",40,475.73,1.31,126.9,20.39,0.04,4.81,23.36,26.43,548.51,10.64,3.53,3.56,0.47,41.97,40.26,426,43.09,46.31,18.7,93.35,62.46,30.89,0.12,21.27,0,0,54.08,86.47,42.79,3.7,9.23,14.76,70.48,0.09,11.4,"IFN3","Ppi.ster_me__sim__v01",41,512.83,.,19.36,25.72,523.27,11.48,3.23,3.27,0.17,56.87,44.65,338.14,38.46,17.54,32.59,21.68,10.9,0,0,18.44,30.04,14.63,1.15,3.07,4.71,23.55,.,.,.,.,0,0,0,0,.,.,.,.
