"","TREE_ID","INVENTORY_ID_IFN2","PLOT_ID.x","expan_IFN2","dbh_IFN2","h_IFN2","g_IFN2","bal_IFN2","circ_normal_IFN2","esbeltez_IFN2","cr_IFN2","lcw_IFN2","hcb_IFN2","hlcw_IFN2","vob_IFN2","vub_IFN2","vbark_IFN2","v_sierra_gruesa_IFN2","v_sierra_IFN2","v_sierra_canter_IFN2","v_trituracion_IFN2","wsw_IFN2","wb2_t_IFN2","wtbl_IFN2","wr_IFN2","wt_IFN2","n_descorches","w_descorchado","v_descorchado","sheet_SM4_IFN2","dbh_i_IFN2","h_i_IFN2","dbh","TREE_ID.y","INVENTORY_ID_IFN3","PLOT_ID.y","TREE_ID_IFN3_2","TREE_ID_IFN3","TREE_ID_IFN2","expan_IFN3","dbh_IFN3","h_IFN3","g_IFN3","bal_IFN3","circ_normal_IFN3","esbeltez_IFN3","cr_IFN3","lcw_IFN3","hcb_IFN3","hlcw_IFN3","vob_IFN3","vub_IFN3","vbark_IFN3","v_sierra_gruesa_IFN3","v_sierra_IFN3","v_sierra_canter_IFN3","v_trituracion_IFN3","wsw_IFN3","wb2_t_IFN3","wtbl_IFN3","wr_IFN3","wt_IFN3","sheet_SM4_IFN3","dbh_i_IFN3","h_i_IFN3"
"976","19_616_0",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"19_616_33","IFN3","19_616",33,33,0,14.15,26.5,11.5,551.55,14.93,83.25,43.4,0.38,3.9,7.18,8.4,290.03,196.14,93.89,0,0,192.53,270.52,128.74,11.25,25.85,43.47,209.32,"Nodo 1 - Pies mayores",.,.
"977","19_616_1","IFN2","19_616",31.75,25.18,12.43,498.01,11.74,79.11,49.38,0.38,3.69,7.75,9.1,283.67,191.5,92.17,0,0,185.32,267.45,121.28,9.59,22.97,37.67,191.51,0,0,0,"Nodo 3 - Pies inventariados",5.33,2.43,19.85,"19_616_1","IFN3","19_616",1,1,1,14.15,27.2,13.5,581.07,11.71,85.45,49.63,0.37,3.95,8.51,10,356.68,242.58,114.1,0,0,270.2,338.97,150.21,12.22,27.47,46.76,236.66,"Nodo 1 - Pies mayores",7.35,3.5
"978","19_616_10","IFN2","19_616",31.54,19.78,10.37,307.15,27.75,62.13,52.43,0.35,2.9,6.7,7.72,149.04,98.48,50.56,0,0,67.26,136.06,65.02,4.49,13.11,19.13,101.75,0,0,0,"Nodo 3 - Pies inventariados",5.03,2.37,14.75,"19_616_13","IFN3","19_616",13,13,10,31.83,20.15,11,318.89,26.72,63.3,54.59,0.35,2.94,7.13,8.22,163.71,108.47,55.24,0,0,70.62,151.11,70.17,4.76,13.69,20.16,108.79,"Nodo 1 - Pies mayores",5.4,3
"979","19_616_11","IFN2","19_616",31.73,24.29,10.73,463.26,16.36,76.3,44.16,0.38,3.59,6.67,7.79,228.99,153.65,75.34,0,0,166.8,213.42,102.54,8.56,21.12,34.04,166.25,0,0,0,"Nodo 3 - Pies inventariados",5.29,2.23,19,"19_616_14","IFN3","19_616",14,14,11,14.15,26.6,12,555.72,14.14,83.57,45.11,0.37,3.9,7.51,8.8,304.54,206.22,98.32,0,0,195.6,284.71,133.23,11.39,26.08,43.93,214.63,"Nodo 1 - Pies mayores",7.6,3.5
"980","19_616_12","IFN2","19_616",31.49,19.09,9.82,286.26,28.72,59.98,51.44,0.36,2.81,6.33,7.28,132.07,86.94,45.13,0,0,61.97,121.28,58.37,4.02,12.08,17.33,91.8,0,0,0,"Nodo 3 - Pies inventariados",4.99,2.32,14.1,"19_616_17","IFN3","19_616",17,17,12,31.83,19.7,9.5,304.81,27.74,61.89,48.22,0.36,2.91,6.08,7.01,135.83,89.54,46.29,0,0,65.39,125.82,61.1,4.43,12.99,18.93,97.46,"Nodo 1 - Pies mayores",5.6,2
"981","19_616_13","IFN2","19_616",31.43,18.37,8.68,264.96,29.62,57.7,47.25,0.36,2.73,5.54,6.37,108.63,71.11,37.53,0,0,0,99.39,49.83,3.56,11.05,15.55,79.98,0,0,0,"Nodo 3 - Pies inventariados",4.97,2.18,13.4,"19_616_18","IFN3","19_616",18,18,13,31.83,17.25,10,233.71,29.57,54.19,57.97,0.35,2.53,6.48,7.45,110.53,72.27,38.26,0,0,0,101.07,47.63,2.92,9.55,13.04,73.14,"Nodo 1 - Pies mayores",3.85,3.5
"982","19_616_14","IFN2","19_616",31.74,24.65,11.29,477.39,14.84,77.45,45.8,0.38,3.64,7.03,8.22,247.87,166.7,81.17,0,0,173.12,232.41,109.27,8.97,21.87,35.5,175.61,0,0,0,"Nodo 3 - Pies inventariados",5.3,2.29,19.35,"19_616_20","IFN3","19_616",20,20,14,14.15,27.8,11.5,606.99,10.85,87.34,41.37,0.39,4.11,7.07,8.31,318.1,215.86,102.24,0,0,205.63,296.7,142.47,13.08,28.89,49.71,234.15,"Nodo 1 - Pies mayores",8.45,2.5
"983","19_616_15","IFN2","19_616",31.65,21.73,10.24,370.75,24.45,68.26,47.14,0.36,3.2,6.53,7.55,176.57,117.42,59.15,0,0,80.42,161.3,78.74,6.03,16.31,24.91,125.99,0,0,0,"Nodo 3 - Pies inventariados",5.13,2.24,16.6,"19_616_21","IFN3","19_616",21,21,15,14.15,22.7,11.5,404.71,23.2,71.31,50.66,0.36,3.31,7.4,8.57,215.16,143.92,71.24,0,0,150.31,200.69,92.8,6.92,18.05,28.16,145.94,"Nodo 1 - Pies mayores",6.1,3.5
"984","19_616_16","IFN2","19_616",31.68,22.52,10.79,398.46,21.95,70.76,47.91,0.36,3.31,6.86,7.95,199.18,132.96,66.22,0,0,144.29,184.73,87.76,6.75,17.73,27.55,139.8,0,0,0,"Nodo 3 - Pies inventariados",5.17,2.29,17.35,"19_616_22","IFN3","19_616",22,22,16,31.83,21.55,10.5,364.74,25.56,67.7,48.72,0.36,3.16,6.74,7.79,178.09,118.43,59.66,0,0,79.62,166.3,78.59,5.88,16,24.34,124.82,"Nodo 1 - Pies mayores",4.2,2
"985","19_616_17","IFN2","19_616",31.7,23.34,9.6,427.99,19.28,73.34,41.13,0.38,3.48,5.96,6.94,190.39,127.06,63.33,0,0,90.89,176.34,88.06,7.56,19.26,30.46,145.34,0,0,0,"Nodo 3 - Pies inventariados",5.24,2.1,18.1,"19_616_24","IFN3","19_616",24,24,17,31.83,22.15,12.5,385.33,24.33,69.59,56.43,0.35,3.2,8.16,9.44,222.62,148.95,73.68,0,0,147.34,209.71,92.77,6.41,17.06,26.29,142.52,"Nodo 1 - Pies mayores",4.05,5
