"","X","TREE_ID","INVENTORY_ID_IFN2","PLOT_ID.x","TREE_ID_IFN3_2.x","TREE_ID_IFN3.x","TREE_ID_IFN2.x","TREE_ID_compare","expan_IFN2","dbh_IFN2","h_IFN2","g_IFN2","bal_IFN2","circ_normal_IFN2","esbeltez_IFN2","cr_IFN2","lcw_IFN2","hcb_IFN2","hlcw_IFN2","vob_IFN2","vub_IFN2","vbark_IFN2","v_desenrollo.x","v_chapa.x","v_sierra_gruesa_IFN2","v_sierra_IFN2","v_sierra_canter_IFN2","v_poste.x","v_estaca.x","v_trituracion_IFN2","wsw_IFN2","wthickb_IFN2","wb2_7_IFN2","wtbl_IFN2","wr_IFN2","wt_IFN2","sheet_SM4_IFN2","dbh_i_IFN2","h_i_IFN2","dbh","TREE_ID.y","INVENTORY_ID_IFN3","PLOT_ID.y","TREE_ID_IFN3_2.y","TREE_ID_IFN3.y","TREE_ID_IFN2.y","expan_IFN3","dbh_IFN3","h_IFN3","g_IFN3","bal_IFN3","g_ha","circ_normal_IFN3","esbeltez_IFN3","cr_IFN3","lcw_IFN3","hcb_IFN3","hlcw_IFN3","vob_IFN3","vub_IFN3","vbark_IFN3","v_ha","v_desenrollo.y","v_chapa.y","v_sierra_gruesa_IFN3","v_sierra_IFN3","v_sierra_canter_IFN3","v_poste.y","v_estaca.y","v_trituracion_IFN3","wsw_IFN3","wthickb_IFN3","wb2_7_IFN3","wtbl_IFN3","wr_IFN3","wt_IFN3","sheet_SM4_IFN3","dbh_i_IFN3","h_i_IFN3"
"3703",3703,"9_76_6","IFN2","9_76",NA,NA,6,NA,142.88,16.49,8.41,213.55,15.83,51.8,51.01,0.48,3.04,4.36,5.39,83.34,74.13,9.22,0,0,0,0,0,0,61.83,72.68,35.22,0,9.46,21.6,35.35,101.63,"Nodo 3 - Pies inventariados",4.34,2.91,12.15,"9_76_15","IFN3","9_76",15,15,6,31.83,15.47,9.14,187.99,10.97,0.6,48.6,59.05,0.51,2.87,4.46,5.61,80.78,70.88,9.9,2.57,0,0,0,0,0,0,59.66,72.81,33.68,0,7.38,17.07,31.12,89.24,"Nodo 1 - Pies inventariados",3.32,3.64
"3704",3704,"9_76_7","IFN2","9_76",NA,NA,7,NA,35.75,18.08,9.42,256.62,9.37,56.79,52.09,0.49,3.31,4.77,5.92,111.1,99.71,11.38,0,0,0,0,0,0,70.64,99.52,47.38,0,11,23.22,42.48,124.07,"Nodo 3 - Pies inventariados",4.38,2.92,13.7,"9_76_16","IFN3","9_76",16,16,7,31.83,18.75,9.23,276.25,4.94,0.88,58.92,49.2,0.53,3.51,4.36,5.54,116.43,105.19,11.24,3.71,0,0,0,0,0,0,67.7,104.75,49.98,0,12.39,25.77,45.73,133.87,"Nodo 1 - Pies inventariados",5.05,2.73
"3705",3705,"9_76_8","IFN2","9_76",NA,NA,8,NA,142.92,16.65,7.92,217.8,12.72,52.32,47.54,0.49,3.12,4.02,5,79.66,71.15,8.51,0,0,0,0,0,0,59.93,71,33.81,0,10.27,23.68,36.05,103.8,"Nodo 3 - Pies inventariados",4.35,2.92,12.3,"9_76_17","IFN3","9_76",17,17,8,31.83,14.64,8.18,168.41,11.57,0.54,46,55.87,0.51,2.77,3.97,5.02,65.03,56.86,8.17,2.07,0,0,0,0,0,0,52.69,57.49,27.02,0,7,17.18,27.88,79.08,"Nodo 1 - Pies inventariados",2.34,3.18
"3706",3706,"9_76_9","IFN2","9_76",NA,NA,9,NA,35.76,18.95,8.91,281.95,7.41,59.52,47.05,0.5,3.51,4.44,5.55,114.46,103.73,10.73,0,0,0,0,0,0,65.51,103.96,49.29,0,13.14,27.42,46.67,136.52,"Nodo 3 - Pies inventariados",4.4,2.91,14.55,"9_76_18","IFN3","9_76",18,18,9,31.83,18.3,9.64,263.14,6.67,0.84,57.5,52.65,0.52,3.39,4.62,5.83,116.49,104.64,11.84,3.71,0,0,0,0,0,0,70.69,107.07,49.72,0,11.15,23.24,43.55,127.66,"Nodo 1 - Pies inventariados",3.75,3.64
"3708",3708,"9_77_2","IFN2","9_77",NA,NA,2,NA,151.63,14.5,6.75,165.17,5.06,45.56,46.56,0.57,2.89,2.89,3.86,52.26,46.02,6.24,0,0,0,0,0,0,38.38,45.77,21.87,0,8.11,20.98,27.34,78.3,"Nodo 3 - Pies inventariados",4.4,2.75,10.1,"9_77_4","IFN3","9_77",4,4,2,31.83,13.63,6.73,145.8,0.71,0.46,42.8,49.37,0.66,2.86,2.27,3.59,46.4,40.48,5.92,1.48,0,0,0,0,0,0,34.77,40.55,19.23,0,6.85,18.37,24.13,68.59,"Nodo 1 - Pies inventariados",3.53,2.73
"3709",3709,"9_77_3","IFN2","9_77",NA,NA,3,NA,111.62,17.01,7.25,227.2,0,53.43,42.61,0.58,3.39,3.02,4.06,75.52,67.95,7.58,0,0,0,0,0,0,48.34,68.08,32.28,0,11.78,27.46,37.61,109.13,"Nodo 3 - Pies inventariados",4.46,2.75,12.55,"9_77_5","IFN3","9_77",5,5,3,31.83,16.83,7.68,222.49,0,0.71,52.88,45.64,0.66,3.49,2.59,4.11,78.73,70.53,8.2,2.51,0,0,0,0,0,0,59.59,70.72,33.51,0,10.86,25.09,36.83,106.29,"Nodo 1 - Pies inventariados",4.28,3.18
"3710",3710,"9_77_4","IFN2","9_77",NA,NA,4,NA,151.66,14.55,7.26,166.37,2.54,45.72,49.85,0.58,2.89,3.08,4.11,56.72,49.81,6.9,0,0,0,0,0,0,48.29,48.37,23.67,0,7.67,19.47,27.54,78.35,"Nodo 3 - Pies inventariados",4.4,2.76,10.15,"9_77_8","IFN3","9_77",8,8,4,31.83,13.27,6.77,138.35,1.17,0.44,41.7,51.03,0.66,2.78,2.29,3.62,44.52,38.67,5.85,1.42,0,0,0,0,0,0,33.23,38.84,18.37,0,6.34,17.21,22.9,64.82,"Nodo 1 - Pies inventariados",3.12,2.27
"3711",3711,"9_903_1","IFN2","9_903",NA,NA,1,NA,14.15,25.15,12.5,496.78,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Nodo 3 - Pies inventariados",0,0,25.15,"9_903_2","IFN3","9_903",2,2,1,14.15,32.96,10.59,853.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Nodo 1 - Pies inventariados",7.81,NA
"3712",3712,"9_903_2","IFN2","9_903",NA,NA,2,NA,14.09,41.72,12.16,1367.3,0,131.08,29.14,0.66,8.15,4.17,6.66,679.8,686.15,-6.36,0,0,0,445.95,124.25,0,0,642.11,326.02,7.05,86.61,108.78,226.32,754.78,"Nodo 3 - Pies inventariados",6.77,3.16,34.95,"9_903_4","IFN3","9_903",4,4,2,14.15,37.91,8.73,1128.58,0,1.6,119.09,23.02,0.66,7.75,2.96,4.69,402.64,406.46,-3.82,5.7,0,0,0,199.37,119.8,0,0,372.59,193.13,0.07,89.71,129.14,186.8,598.84,"Nodo 1 - Pies inventariados",2.95999999999999,NA
"3713",3713,"9_904_1","IFN2","9_904",NA,NA,1,NA,6.94,49.44,9.94,1919.39,0,155.31,20.11,0.58,9.43,4.22,5.63,753.28,787.57,-34.28,0,0,0,557.87,104.95,0,0,702.01,374.2,60.07,165.24,199.22,317.7,1116.42,"Nodo 3 - Pies inventariados",5.23999999999999,2.94,44.2,"9_904_1","IFN3","9_904",1,1,1,5.09,48.6,7.55,1855.32,0,0.94,152.69,15.52,0.57,9.56,3.27,4.3,547.18,577.72,-30.54,2.79,0,0,0,299.56,0,0,0,501.68,274.5,55.5,202.12,263.8,307.09,1103.02,"Nodo 1 - Pies inventariados",4.4,0.55
"3714",3714,"9_904_10","IFN2","9_904",NA,NA,10,NA,19.25,27.7,9.48,602.53,5.27,87.01,34.24,0.56,5.28,4.15,5.48,246.07,235.8,10.27,0,0,0,0,173.12,0,27.29,227.2,112.03,0,35.21,58.86,99.73,305.84,"Nodo 3 - Pies inventariados",4.95,2.98,22.75,"9_904_11","IFN3","9_904",11,11,10,14.15,24.04,6.86,453.97,4.17,0.64,75.53,28.55,0.56,4.75,3.03,3.97,135.17,128.59,6.58,1.91,0,0,0,0,78.79,0,26.56,122.46,61.1,0,31.94,62.59,75.14,230.77,"Nodo 1 - Pies inventariados",1.29,0.36
"3715",3715,"9_904_11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"9_904_12","IFN3","9_904",12,12,11,31.83,20.61,6,333.51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Nodo 1 - Pies inventariados",3.16,1
"3716",3716,"9_904_2","IFN2","9_904",NA,NA,2,NA,19.27,41.76,7.95,1369.86,1.33,131.2,19.04,0.58,8.22,3.35,4.49,436.97,449.63,-12.66,0,0,0,230.83,109.86,0,0,400.35,213.63,8.09,127.18,177.85,226.74,753.5,"Nodo 3 - Pies inventariados",5.16,2.95,36.6,"9_904_2","IFN3","9_904",2,2,2,14.15,39.45,5.55,1222.25,0.94,1.73,123.93,14.06,0.58,8.03,2.35,3.14,269.82,279.71,-9.89,3.82,0,0,0,0,0,0,0,240.78,132.9,1.8,150.44,237.79,202.31,725.24,"Nodo 1 - Pies inventariados",2.85,0.55
"3718",3718,"9_904_4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"9_904_4","IFN3","9_904",4,4,4,127.32,11.35,6.59,101.17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Nodo 1 - Pies inventariados",1.6,1.09
"3719",3719,"9_904_5","IFN2","9_904",NA,NA,5,NA,19.26,29.27,10.98,672.78,3.97,91.95,37.52,0.56,5.45,4.82,6.36,317.57,304.89,12.68,0,0,0,0,197.37,221.03,27.24,295.05,144.86,0,35.9,56.1,111.36,348.23,"Nodo 3 - Pies inventariados",4.97,2.98,24.3,"9_904_5","IFN3","9_904",5,5,5,14.15,27.41,7.64,590.12,2.67,0.83,86.11,27.86,0.56,5.36,3.37,4.41,192.5,185.97,6.53,2.72,0,0,0,0,99.32,0,25.16,172.23,88.36,0,41.58,73.84,97.68,301.46,"Nodo 1 - Pies inventariados",3.11,NA
"3720",3720,"9_904_6","IFN2","9_904",NA,NA,6,NA,43.3,26.47,10.99,550.11,6.43,83.14,41.51,0.55,4.91,4.89,6.43,263.82,249.38,14.44,0,0,0,0,173.93,194.91,42.82,245.17,118.49,0,27.23,44.95,91.05,281.73,"Nodo 3 - Pies inventariados",4.92,2.99,21.55,"9_904_6","IFN3","9_904",6,6,6,14.15,24.41,8.45,468.11,3.51,0.66,76.7,34.63,0.55,4.7,3.78,4.92,172.9,163.33,9.57,2.45,0,0,0,0,87.48,0,27.93,158.24,77.6,0,27.62,50.9,77.48,233.61,"Nodo 1 - Pies inventariados",2.86,0.449999999999999
