"","TREE_ID","INVENTORY_ID_IFN2","PLOT_ID.x","expan_IFN2","dbh_IFN2","h_IFN2","g_IFN2","g_intrasp.x","g_intersp.x","bal_IFN2","bal_intrasp.x","bal_intersp.x","circ_normal_IFN2","esbeltez_IFN2","cr_IFN2","lcw_IFN2","hcb_IFN2","hlcw_IFN2","vob_IFN2","vub_IFN2","vbark_IFN2","v_sierra_gruesa_IFN2","v_sierra_IFN2","v_sierra_canter_IFN2","v_trituracion_IFN2","wsw_IFN2","wb2_t_IFN2","wtbl_IFN2","wr_IFN2","wt_IFN2","n_descorches.x","w_descorchado.x","v_descorchado.x","sheet_SM4_IFN2","dbh_i_IFN2","h_i_IFN2","dbh","TREE_ID.y","INVENTORY_ID_IFN3","PLOT_ID.y","TREE_ID_IFN3_2","TREE_ID_IFN3","TREE_ID_IFN2","expan_IFN3","dbh_IFN3","h_IFN3","g_IFN3","g_intrasp.y","g_intersp.y","bal_IFN3","bal_intrasp.y","bal_intersp.y","g_ha","circ_normal_IFN3","esbeltez_IFN3","cr_IFN3","lcw_IFN3","hcb_IFN3","hlcw_IFN3","vob_IFN3","vub_IFN3","vbark_IFN3","v_ha","v_sierra_gruesa_IFN3","v_sierra_IFN3","v_sierra_canter_IFN3","v_trituracion_IFN3","wsw_IFN3","wb2_t_IFN3","wtbl_IFN3","wr_IFN3","wt_IFN3","n_descorches.y","w_descorchado.y","v_descorchado.y","sheet_SM4_IFN3","dbh_i_IFN3","h_i_IFN3"
"411","19_262_38","IFN2","19_262",34.25,21.23,9.8,353.99,0,0,39.51,0,0,66.7,46.18,0.27,3,7.13,7.99,161.81,107.31,54.49,0,0,76.15,149.69,72.98,5.61,15.46,23.34,117.39,0,0,0,"Nodo 3 - Pies inventariados",4.28,1.8,16.95,"19_262_46","IFN3","19_262",46,30,38,31.83,19.05,9.5,285.02,0,0,25.39,0,0,0.91,59.85,49.87,0.38,2.83,5.93,6.89,127.32,83.73,43.59,4.05,0,0,61.3,117.94,56.92,3.99,12.02,17.23,90.16,0,0,0,"Nodo 1 - Pies inventariados",2.1,1.5
"412","19_262_39","IFN2","19_262",34.25,18.4,8.76,265.95,0,0,49.07,0,0,57.81,47.61,0.26,2.6,6.48,7.2,110.05,72.06,37.99,0,0,0,100.62,50.32,3.58,11.09,15.63,80.63,0,0,0,"Nodo 3 - Pies inventariados",4.1,1.76,14.3,"19_262_47","IFN3","19_262",47,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Nodo 1 - Pies inventariados",.,.
"413","19_262_4","IFN2","19_262",16.23,28.88,11.37,654.96,0,0,2.26,0,0,90.72,39.38,0.34,4.19,7.5,8.74,338.57,230.3,108.26,0,0,216.28,316.09,153.33,14.74,31.56,55.31,254.93,0,0,0,"Nodo 3 - Pies inventariados",4.73,1.87,24.15,"19_262_4","IFN3","19_262",4,3,4,14.15,30.3,13,721.07,0,0,1.06,0,0,1.02,95.19,42.9,0.41,4.49,7.68,9.2,423.34,289.87,133.47,5.99,0,160.52,227.61,395.29,184.38,17.14,35.28,63.29,300.1,0,0,0,"Nodo 1 - Pies inventariados",6.15,3.5
"414","19_262_40","IFN2","19_262",34.25,20.33,9.83,324.61,0,0,41.88,0,0,63.87,48.37,0.27,2.87,7.2,8.05,149.28,98.71,50.57,0,0,70.05,137.21,66.72,4.9,13.98,20.67,106.26,0,0,0,"Nodo 3 - Pies inventariados",4.23,1.83,16.1,"19_262_50","IFN3","19_262",50,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Nodo 1 - Pies inventariados",.,.
"415","19_262_41","IFN2","19_262",34.25,20.74,11.5,337.78,0,0,40.72,0,0,65.15,55.43,0.26,2.89,8.49,9.5,180.66,120.07,60.59,0,0,75.3,168.45,76.63,5.21,14.64,21.86,118.34,0,0,0,"Nodo 3 - Pies inventariados",4.24,2,16.5,"19_262_49","IFN3","19_262",49,32,41,31.83,21.7,13.5,369.84,0,0,22.18,0,0,1.18,68.17,62.21,0.36,3.14,8.69,10.13,230.68,154.39,76.29,7.34,0,0,145.73,216.5,93.15,6.01,16.26,24.82,140.25,0,0,0,"Nodo 1 - Pies inventariados",5.2,4
"416","19_262_42","IFN2","19_262",34.25,18.67,9.89,273.84,0,0,47.2,0,0,58.66,52.96,0.26,2.62,7.34,8.17,127.39,83.74,43.65,0,0,59.42,117.59,55.93,3.75,11.48,16.29,87.44,0,0,0,"Nodo 3 - Pies inventariados",4.12,1.89,14.55,"19_262_51","IFN3","19_262",51,33,42,31.83,18.4,12,265.9,0,0,26.3,0,0,0.85,57.81,65.22,0.36,2.68,7.72,8.96,149.58,98.67,50.9,4.76,0,0,60.35,139.84,61.1,3.58,11.09,15.63,91.4,0,0,0,"Nodo 1 - Pies inventariados",3.85,4
"417","19_262_43","IFN2","19_262",34.25,21.34,10.92,357.55,0,0,38.29,0,0,67.03,51.19,0.27,2.99,7.98,8.96,181.56,120.77,60.79,0,0,78.57,168.33,78.85,5.7,15.64,23.67,123.86,0,0,0,"Nodo 3 - Pies inventariados",4.29,1.92,17.05,"19_262_52","IFN3","19_262",52,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Nodo 1 - Pies inventariados",.,.
"418","19_262_44","IFN2","19_262",34.4,24.51,11.98,471.74,0,0,22.58,0,0,76.99,48.9,0.29,3.47,8.46,9.64,259.69,174.82,84.87,0,0,176.76,242.53,111.94,8.81,21.57,34.91,177.23,0,0,0,"Nodo 3 - Pies inventariados",4.51,1.98,20,"19_262_54","IFN3","19_262",54,35,44,14.15,23.5,13,433.74,0,0,16.25,0,0,0.61,73.83,55.32,0.37,3.43,8.15,9.57,259.28,174.36,84.92,3.67,0,0,167.81,242.1,107.71,7.72,19.56,31.04,166.03,0,0,0,"Nodo 1 - Pies inventariados",3.5,3
"419","19_262_45","IFN2","19_262",16.23,27.3,11.94,585.52,0,0,10.23,0,0,85.78,43.72,0.32,3.91,8.12,9.38,318.63,216.13,102.5,0,0,203.43,296.67,140.34,12.36,27.71,47.27,227.68,0,0,0,"Nodo 3 - Pies inventariados",4.65,1.94,22.65,"19_262_55","IFN3","19_262",55,36,45,14.15,27.35,13,587.5,0,0,5.56,0,0,0.83,85.92,47.53,0.4,4.03,7.82,9.31,347.44,236.18,111.26,4.92,0,0,209.44,324.41,148.47,12.43,27.82,47.49,236.2,0,0,0,"Nodo 1 - Pies inventariados",4.7,3
"420","19_262_5","IFN2","19_262",16.23,28.73,10.27,648.44,0,0,3.33,0,0,90.27,35.74,0.35,4.2,6.72,7.83,303.53,205.9,97.63,0,0,205.99,283.48,142.44,14.51,31.19,54.54,242.69,0,0,0,"Nodo 3 - Pies inventariados",4.73,1.77,24,"19_262_5","IFN3","19_262",5,4,5,14.15,26.1,12.5,535.02,0,0,7.94,0,0,0.76,82,47.89,0.4,3.86,7.55,8.96,305.53,206.81,98.72,4.32,0,0,192.73,287.81,131.26,10.73,24.96,41.65,208.6,0,0,0,"Nodo 1 - Pies inventariados",2.1,4
